name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04390-1.mata;0.0; 9.6e-05;0.000542;0.0005510000000000001; 0.00012; false; 0.002509;0.05; 0.000117;0.057929;0.000447;0.000295; 4.5e-05; false; 0.060035
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04451-1.mata;0.0; 7.8e-05;0.000526;0.000536; 0.000114; false; 0.002475;0.07; 7.4e-05;0.077914;0.000566;0.000328; 6.8e-05; false; 0.080355
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.0; 8.1e-05;0.00046100000000000004;0.00046200000000000006; 9.6e-05; false; 0.001994;0.05; 5.1e-05;0.059756000000000004;0.000408;0.000295; 7.4e-05; false; 0.061686
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;0.06; 0.000267;0.016460000000000002;0.013333; 0.001215; false; 0.063043;11.79; 0.000194;11.960257;0.010084;0.009648; 0.001194; false; 12.0053
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;0.29; 0.001657;0.095918;0.03605; 0.007273; false; 0.31461;TO; 0.001677;15.044418;0.028304000000000003;0.015109;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;0.06; 0.000298;0.017697;0.013295000000000001; 0.002486; false; 0.065737;11.73; 0.000297;11.876012;0.012458;0.008605999999999999; 0.002613; false; 11.9252
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;0.03; 0.000178;0.010871;0.008923; 0.002451; false; 0.04126;7.37; 0.000195;7.480462;0.008955;0.0063549999999999995; 0.001523; false; 7.51596
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;0.05; 0.000202;0.013301;0.012702; 0.002901; false; 0.057515;16.96; 0.000207;17.098855;0.016939000000000003;0.01252; 0.002562; false; 17.1653
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;0.18; 0.000878;0.06592;0.015210000000000001; 0.001594; false; 0.191754;18.45; 0.000871;18.523749;0.051632;0.015295; 0.001551; false; 18.6834
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;0.09; 0.000343;0.024901;0.021696; 0.004948; false; 0.096638;28.75; 0.000292;29.074237;0.013603;0.011273; 0.002483; false; 29.1318
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;0.0; 7.6e-05;0.000536;0.000463; 0.000133; false; 0.002154;0.07; 8.5e-05;0.079355;0.00045;0.00028399999999999996; 5.5e-05; false; 0.08199
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.03; 0.000185;0.01109;0.008902; 0.001968; false; 0.042842;13.84; 0.000284;14.004638;0.014153;0.008774; 0.002097; false; 14.0563
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.03; 0.000204;0.01064;0.004057; 0.000684; false; 0.035279;18.57; 0.000324;18.731507;0.010203;0.004734; 0.000709; false; 18.7667
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.09; 0.000359;0.028157;0.024480000000000002; 0.005779; false; 0.107273;38.57; 0.000399;38.965247000000005;0.015192;0.016024; 0.00411; false; 39.038
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.06; 0.000362;0.020502;0.0073939999999999995; 0.001299; false; 0.068052;5.71; 0.000316;5.787935;0.013271999999999999;0.006377; 0.001101; false; 5.83422
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;1.63; 0.008312;0.590114;0.12495; 0.024009; false; 1.70492;TO; 0.006975;8.142738;0.081734;0.022809000000000003;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.0; 0.000119;0.0027949999999999997;0.000678; 0.000224; false; 0.008622;0.39; 0.000129;0.39857400000000004;0.002542;0.0006969999999999999; 0.000188; false; 0.406602
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;0.02; 0.000198;0.007873999999999999;0.001684; 0.000548; false; 0.022257;1.43; 0.000201;1.439375;0.006743;0.001582; 0.000456; false; 1.45875
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;0.01; 0.000195;0.007273999999999999;0.0014849999999999998; 0.000474; false; 0.020255;1.24; 0.000225;1.243873;0.007315;0.001627; 0.000456; false; 1.26479
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-13.mata;0.0; 8.4e-05;0.000563;0.000546; 0.000131; false; 0.002563;0.07; 8.4e-05;0.077738;0.000562;0.000325; 6.5e-05; false; 0.080136
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-14.mata;0.0; 0.000115;0.002477;0.000598; 0.000174; false; 0.007521;0.38; 0.000119;0.395023;0.0023569999999999997;0.0006360000000000001; 0.000171; false; 0.402826
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-15.mata;0.02; 0.000207;0.009235;0.001988; 0.00059; false; 0.026349;1.19; 0.00021;1.205673;0.008394;0.001803; 0.000592; false; 1.22965
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-16.mata;0.01; 0.000148;0.004654999999999999;0.001017; 0.000352; false; 0.013482;0.58; 0.000122;0.591351;0.003939;0.0011099999999999999; 0.000402; false; 0.603526
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-17.mata;0.0; 9.9e-05;0.000596;0.000589; 0.000132; false; 0.002679;0.08; 8.3e-05;0.084702;0.000625;0.00035800000000000003; 6.8e-05; false; 0.087397
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-18.mata;0.0; 0.000125;0.00303;0.000694; 0.000217; false; 0.009167;0.34; 0.000113;0.349834;0.002228;0.000588; 0.000153; false; 0.356722
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-19.mata;0.02; 0.000215;0.009349;0.001845; 0.000601; false; 0.026469;1.45; 0.000207;1.452078;0.008451;0.001725; 0.000527; false; 1.47591
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-2.mata;0.0; 0.000124;0.003239;0.000737; 0.000239; false; 0.009903;0.35; 0.000109;0.354152;0.002218;0.000591; 0.000169; false; 0.360954
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-20.mata;0.01; 0.000174;0.006863;0.0014069999999999998; 0.00043; false; 0.018904;1.16; 0.000218;1.162674;0.008548;0.0017490000000000001; 0.000649; false; 1.18701
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-21.mata;0.0; 9.2e-05;0.00057;0.000553; 0.000124; false; 0.002518;0.06; 8.1e-05;0.066421;0.00042100000000000004;0.000265; 5.1e-05; false; 0.068354
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-22.mata;0.0; 0.000122;0.003127;0.000719; 0.000224; false; 0.009642;0.47; 0.000147;0.47903900000000005;0.0027140000000000003;0.0007669999999999999; 0.000159; false; 0.487706
