name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;1.78; 0.416933; 0.080361; 0.997032; 0.486181; 0.000403; false; 1.99581;1.15; 0.291653; 0.063296; 0.457163; 0.269255; 0.14084; 7.9e-05; false; 1.23324
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;2.41; 0.427262; 0.110749; 1.55695; 0.55334; 0.000474; false; 2.67638;1.66; 0.444075; 0.090845; 0.546518; 0.483841; 0.227206; 0.000229; false; 1.80785
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;1.65; 0.440897; 0.112311; 0.930248; 0.376572; 0.000194; false; 1.88285;1.99; 0.420882; 0.112776; 0.865439; 0.497052; 0.201939; 0.000102; false; 2.11748
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;1.93; 0.280148; 0.087083; 1.25715; 0.510307; 0.000302; false; 2.15953;2.22; 0.470854; 0.120402; 1.01188; 0.556276; 0.199923; 0.000147; false; 2.38294
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.09; 0.052875; 0.021874; 0.014144; 0.01313; 4.6e-05; false; 0.105453;0.09; 0.056474; 0.022232; 0.008955; 0.006321; 0.006073; 2.6e-05; false; 0.103531
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;3.16; 0.57196; 0.165842; 2.0063; 0.767172; 0.000474; false; 3.54524;2.16; 0.436682; 0.110919; 0.972829; 0.44015; 0.325394; 0.000137; false; 2.30517
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.12; 0.074135; 0.021159; 0.029277; 0.01601; 4.6e-05; false; 0.144061;0.14; 0.081796; 0.028142; 0.020153; 0.01302; 0.011189; 2.9e-05; false; 0.157987
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.22; 0.113176; 0.032942; 0.05665; 0.030925; 4.4e-05; false; 0.238444;0.12; 0.065507; 0.026063; 0.021729; 0.012631; 0.011142; 1.9e-05; false; 0.140526
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.22; 0.140099; 0.034469; 0.046785; 0.029357; 3.6e-05; false; 0.254056;0.23; 0.116508; 0.031779; 0.045765; 0.034598; 0.020595; 3.2e-05; false; 0.253807
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.36; 0.151043; 0.042663; 0.128386; 0.067618; 0.000109; false; 0.396421;0.2; 0.088594; 0.028823; 0.044154; 0.027229; 0.021272; 4.4e-05; false; 0.214308
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.49; 0.177865; 0.055426; 0.217703; 0.081249; 6.8e-05; false; 0.540686;0.26; 0.100834; 0.029635; 0.063098; 0.043952; 0.037679; 7.4e-05; false; 0.280533
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.55; 0.194261; 0.061216; 0.236156; 0.103727; 0.000105; false; 0.605304;0.5; 0.17245; 0.053008; 0.141661; 0.119346; 0.050149; 6.8e-05; false; 0.543901
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.61; 0.233258; 0.065043; 0.267019; 0.100471; 0.000111; false; 0.676402;0.47; 0.13043; 0.042407; 0.119816; 0.13623; 0.066761; 0.000112; false; 0.504175
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.03; 0.02333; 0.010283; 0.002507; 0.000964; 1.1e-05; false; 0.039085;0.03; 0.024272; 0.010023; 0.001909; 0.001485; 0.00053; 1e-05; false; 0.040504
