name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06730.mata;0.02; 0.019036; 0.001725; 0.000108; 5.5e-05; false; 0.024294;0.05; 0.020461; 0.029264; 0.001734; 8.6e-05; 0.000103; false; 0.054918
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06770.mata;0.07; 0.032428; 0.0382; 0.001719; 0.000243; false; 0.081413;0.29; 0.060297; 0.153034; 0.069789; 0.00198; 0.000194; false; 0.300001
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06780.mata;0.0; 0.001401; 0.000475; 5.3e-05; 4.2e-05; false; 0.002607;0.0; 0.001295; 0.001247; 0.000504; 6.4e-05; 4.4e-05; false; 0.003681
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06846.mata;0.03; 0.033097; 0.002521; 0.000179; 8.3e-05; false; 0.041079;0.14; 0.03232; 0.106647; 0.002717; 0.000179; 9.9e-05; false; 0.147174
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06848.mata;0.0; 0.001197; 0.001342; 0.00022; 0.000115; false; 0.00403;0.0; 0.001109; 0.002422; 0.00118; 0.000145; 0.000102; false; 0.005789
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06892.mata;0.0; 0.004149; 0.000592; 6.7e-05; 4.6e-05; false; 0.005805;0.01; 0.004091; 0.003736; 0.000665; 5.2e-05; 5e-05; false; 0.009582
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06928.mata;14.9; 15.294; 0.251326; 0.000364; 0.000176; false; 16.1608;TO; 14.9218;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06935.mata;0.08; 0.068467; 0.003298; 0.000312; 0.000276; false; 0.084115;0.4; 0.101061; 0.318059; 0.003168; 0.000191; 0.000196; false; 0.433341
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06956.mata;0.0; 0.001001; 0.000627; 7.6e-05; 4.2e-05; false; 0.002365;0.0; 0.00081; 0.001151; 0.000625; 5.9e-05; 4.2e-05; false; 0.003202
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06963.mata;0.04; 0.033497; 0.012737; 0.000367; 8.3e-05; false; 0.052146;0.09; 0.039465; 0.043147; 0.013183; 0.00043; 8.1e-05; false; 0.101961
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06975.mata;0.0; 0.001922; 0.001943; 0.000106; 7.2e-05; false; 0.004937;0.0; 0.001841; 0.001482; 0.001843; 0.000103; 7.4e-05; false; 0.006228
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07006.mata;0.13; 0.110637; 0.008596; 0.000487; 0.000324; false; 0.139819;0.65; 0.136419; 0.52908; 0.009212; 0.000395; 0.000259; false; 0.694197
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07019.mata;0.02; 0.017889; 0.001383; 6.8e-05; 4.7e-05; false; 0.022336;0.04; 0.018158; 0.02756; 0.00145; 6.9e-05; 9.3e-05; false; 0.050252
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07040.mata;0.0; 0.000781; 0.000626; 7.7e-05; 4.2e-05; false; 0.002028;0.0; 0.000733; 0.000812; 0.000573; 7.2e-05; 4.4e-05; false; 0.00273
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07045.mata;0.01; 0.01293; 0.001888; 0.000275; 3.9e-05; false; 0.018627;0.37; 0.012645; 0.367636; 0.001862; 0.000229; 4.4e-05; false; 0.385642
