name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.28; 0.233315; 0.067296; 0.000492; 0.000602; 0.000129; false; 0.31308;0.77; 0.410143; 0.099155; 0.286142; 0.001107; 0.000493; 0.000125; false; 0.813015
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.51; 0.425129; 0.110452; 0.001609; 0.001103; 0.000191; false; 0.559767;0.58; 0.24523; 0.071953; 0.278218; 0.001285; 0.000916; 0.000137; false; 0.609287
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.54; 0.456743; 0.116473; 0.001021; 0.000895; 0.00018; false; 0.593327;0.91; 0.45496; 0.105714; 0.379806; 0.001257; 0.000711; 0.000152; false; 0.954085
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.33; 0.271646; 0.081985; 0.000593; 0.000903; 0.000157; false; 0.368114;0.83; 0.414128; 0.083867; 0.361542; 0.000689; 0.000392; 9e-05; false; 0.875497
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.06; 0.053216; 0.016631; 0.00021; 8.2e-05; 3.2e-05; false; 0.072509;0.05; 0.036613; 0.014988; 0.003048; 0.000148; 5.6e-05; 2.8e-05; false; 0.057076
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.55; 0.444553; 0.129745; 0.001425; 0.001404; 0.000309; false; 0.599684;1.09; 0.440858; 0.124211; 0.551054; 0.001321; 0.000782; 0.000133; false; 1.13983
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.08; 0.07326; 0.020044; 0.000188; 0.000113; 4.3e-05; false; 0.096574;0.1; 0.079197; 0.022424; 0.006393; 0.000207; 0.000113; 3.7e-05; false; 0.111397
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.13; 0.111033; 0.035569; 0.00031; 0.000164; 6.3e-05; false; 0.151067;0.07; 0.055631; 0.016334; 0.008133; 0.000148; 6.4e-05; 3.2e-05; false; 0.082569
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.07; 0.072017; 0.023442; 0.000152; 0.000123; 4.8e-05; false; 0.098578;0.15; 0.115126; 0.036528; 0.024969; 0.000399; 0.000255; 7.2e-05; false; 0.183214
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.1; 0.088431; 0.027707; 0.000183; 0.000144; 5.8e-05; false; 0.120015;0.2; 0.151386; 0.040142; 0.034618; 0.000401; 0.000166; 7.5e-05; false; 0.232205
