name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-100-rhs.mata;TO; 0.050759; 0.015257;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-200-rhs.mata;TO; 0.098821; 0.027602;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-250-rhs.mata;TO; 0.124088; 0.03264;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-450-rhs.mata;TO; 0.224672; 0.058892;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;TO; 0.144003; 0.04159;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;TO; 0.275999; 0.073129;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;TO; 0.338047; 0.085743;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;ERR;ERR;ERR;TO; 0.408004; 0.096112; 0.258524
