name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.05; 0.04875; 0.006064; 0.000394; 0.000166; false; 0.061551;0.06; 0.050063; 0.008284; 0.00246; 0.000168; 0.000113; false; 0.066982
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;0.08; 0.077424; 0.007599; 0.000545; 0.000212; false; 0.093709;0.08; 0.065915; 0.010893; 0.002502; 0.000123; 0.000146; false; 0.08714
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.08; 0.070181; 0.007133; 0.00041; 0.000192; false; 0.085525;0.07; 0.061939; 0.008808; 0.002418; 8.5e-05; 0.000116; false; 0.080475
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.01; 0.014429; 0.003022; 0.000163; 7e-05; false; 0.019578;0.01; 0.013808; 0.002441; 0.001223; 9.3e-05; 4.3e-05; false; 0.019388
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.02; 0.017225; 0.003188; 0.000205; 7.7e-05; false; 0.022733;0.02; 0.014699; 0.002508; 0.00136; 5.9e-05; 4.7e-05; false; 0.02056
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.06; 0.052927; 0.006316; 0.000373; 0.000171; false; 0.065983;0.06; 0.052028; 0.008323; 0.002452; 0.000171; 0.00011; false; 0.069077
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.06; 0.061113; 0.006321; 0.000414; 0.000175; false; 0.074294;0.06; 0.053066; 0.008503; 0.002445; 0.000169; 0.000112; false; 0.070164
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.07; 0.062206; 0.007382; 0.000429; 0.000196; false; 0.077593;0.07; 0.061371; 0.01055; 0.002609; 0.000184; 0.000116; false; 0.08168
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.08; 0.071312; 0.007516; 0.000488; 0.000206; false; 0.086935;0.07; 0.061798; 0.010328; 0.002628; 0.000177; 0.000117; false; 0.081956
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.06; 0.059292; 0.006338; 0.000409; 0.000183; false; 0.072563;0.06; 0.053079; 0.008207; 0.00239; 0.000163; 0.000103; false; 0.069831
