name;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result;java-brics-interpretation;java-brics-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;1.94;0.188023774;0.056642182; 0.01885553; true; 0.112843395; 0.510260748;1.46;0.11161067399999999;0.013677148; 0.002438143; true; 0.024123809; 0.370877212;0.05; 0.043795; 0.013578;6.099999999999999e-05;2e-05; 1e-05; true; 0.059861;0.06; 0.05078; 0.019175;0.001705;1.7e-05;7e-06; 6e-06; true; 0.073368;0.07; 0.050981; 0.021576;6.9e-05;2e-05; 1.9e-05; true; 0.075472
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;2.7;0.48529608999999996;0.037709319; 0.037110667; true; 0.081368485; 0.957777499;1.82;0.07127740299999999;0.0024112590000000002; 0.061808676; true; 0.074946978; 0.365922419;0.1; 0.077233; 0.039229;0.00010699999999999999;3e-05; 1.3e-05; true; 0.124017;0.1; 0.076556; 0.0296;0.014221;5.2e-05;9e-06; 1e-05; true; 0.124407;0.09; 0.053775; 0.036074;0.00013;2.9e-05; 9e-06; true; 0.096224
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.31;0.03696596800000001;0.004038038; 0.002708939; true; 0.013929052; 0.270928161;0.02; 0.022051; 0.010146;2.8e-05;1.1000000000000001e-05; 7e-06; true; 0.033632;0.02; 0.016523; 0.008803;0.001142;1.3000000000000001e-05;7e-06; 7e-06; true; 0.027998;0.02; 0.017132; 0.00881;2.6000000000000002e-05;1e-05; 7e-06; true; 0.027547
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;2.14;0.28808470500000005;0.064801053; 0.014716703; true; 0.08660481; 0.548716028;1.55;0.061015096;0.032780328000000004; 0.001852137; true; 0.042756809; 0.277631682;0.09; 0.071298; 0.027838;0.0013260000000000001;0.000619; 1.1e-05; true; 0.1061;0.1; 0.074723; 0.030629;0.008197;0.00031600000000000004;7.900000000000001e-05; 7e-06; true; 0.119136;0.08; 0.057105; 0.029478;0.0014759999999999999;0.0007570000000000001; 7e-06; true; 0.093825
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;2.52;0.43512829799999997;0.137301963; 0.028982304; true; 0.187977562; 0.850477789;1.59;0.09094849900000002;0.044859227; 0.004470762; true; 0.059245719; 0.301461874;0.08; 0.075405; 0.024381;0.000607;0.00031299999999999996; 8e-06; true; 0.104521;0.11; 0.079045; 0.035229;0.010974;0.000262;6.599999999999999e-05; 8e-06; true; 0.131851;0.11; 0.080015; 0.033054;0.00105;0.000504; 8e-06; true; 0.119995
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;2.23;0.268379731;0.135797761; 0.033308727; true; 0.177667182; 0.752026865;1.72;0.166305396;0.127332509; 0.00427769; true; 0.140768255; 0.639406023;0.07; 0.066074; 0.01899;0.001428;0.0006299999999999999; 0.000759; true; 0.091172;0.1; 0.068699; 0.027107;0.012119;0.000411;0.000116; 0.000115; true; 0.113596;0.08; 0.060592; 0.025869;0.00313;0.001372; 0.001992; true; 0.097509
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;1.59;0.217041329;0.059187261; 0.011282159; true; 0.085420114; 0.469216432;1.15;0.027530981;0.005010396; 0.001044275; true; 0.013296189; 0.243054117;0.02; 0.014964; 0.010004;0.000167;5.2000000000000004e-05; 8e-06; true; 0.027265;0.02; 0.013906; 0.009946;0.0021809999999999998;0.000125;4.9999999999999996e-05; 7e-06; true; 0.028308;0.02; 0.014787; 0.009997;0.00017499999999999997;5.1e-05; 9e-06; true; 0.02702
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;1.46;0.191976312;0.06780288599999999; 0.007564577; true; 0.091218155; 0.416228711;1.27;0.054986784000000004;0.006788556; 0.002520268; true; 0.025572012; 0.20165997;0.04; 0.035177; 0.014309;0.0007819999999999999;0.000219; 1e-05; true; 0.052622;0.04; 0.036277; 0.010153;0.0013210000000000001;0.00010600000000000002;5.1000000000000006e-05; 9e-06; true; 0.049295;0.04; 0.031581; 0.012784;0.000886;0.000257; 1.9e-05; true; 0.047487
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;1.56;0.151496443;0.037855335000000004; 0.009333164; true; 0.062759811; 0.348488741;1.21;0.060377617999999994;0.010831009999999999; 0.004098001; true; 0.026346866; 0.241619122;0.05; 0.045309; 0.016816;0.000128;5.5e-05; 1e-05; true; 0.064517;0.05; 0.046633; 0.01589;0.001264;4.3e-05;2.2000000000000003e-05; 1e-05; true; 0.065691;0.05; 0.044387; 0.015845;0.00011499999999999999;3.9999999999999996e-05; 1e-05; true; 0.062038
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;TO;0.176020684;MISSING;MISSING;MISSING;MISSING;MISSING;4.3;0.406798199;0.03402812300000001; 0.518019373; true; 0.567772418; 1.405976972;0.4; 0.33871; 0.089034;0.002082;0.000773; 9e-06; true; 0.444392;0.54; 0.366677; 0.132335;0.072356;0.001309;0.000308; 1.1e-05; true; 0.594501;0.48; 0.372338; 0.130031;0.004746;0.001944; 1.4e-05; true; 0.532442
