name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.72; 0.37661; 0.150815; 0.204868; false; 0.762483;2.01; 0.364788; 0.148391; 1.51286; false; 2.05964;2.86; 0.364234; 0.148532; 2.36442; false; 2.90637
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.63; 0.362012; 0.142172; 0.156974; false; 0.689335;1.97; 0.360749; 0.142594; 1.4772; false; 2.0095;2.77; 0.361164; 0.143892; 2.28079; false; 2.81474
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;0.61; 0.36388; 0.148452; 0.123033; false; 0.665575;1.97; 0.362329; 0.147826; 1.46681; false; 2.00659;2.76; 0.359684; 0.145731; 2.27437; false; 2.80733
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.26; 0.183689; 0.069038; 0.023583; false; 0.290248;0.41; 0.185102; 0.068726; 0.166628; false; 0.434334;0.44; 0.172828; 0.067544; 0.210703; false; 0.464944
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.27; 0.178184; 0.070716; 0.026807; false; 0.289943;0.4; 0.180076; 0.068239; 0.167719; false; 0.429171;0.44; 0.172422; 0.068138; 0.212905; false; 0.467021
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.27; 0.179976; 0.071238; 0.024763; false; 0.28898;0.41; 0.179072; 0.071803; 0.170374; false; 0.434807;0.45; 0.177862; 0.071223; 0.216871; false; 0.480161
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.26; 0.18241; 0.069958; 0.019463; false; 0.284822;0.43; 0.191835; 0.071536; 0.176474; false; 0.454042;0.47; 0.185323; 0.070946; 0.227497; false; 0.49737
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.26; 0.185705; 0.068416; 0.019563; false; 0.287439;0.39; 0.172959; 0.068052; 0.167123; false; 0.421924;0.45; 0.174851; 0.069153; 0.212351; false; 0.470206
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.22; 0.152077; 0.05836; 0.020346; false; 0.242613;0.37; 0.148005; 0.058247; 0.171926; false; 0.390002;0.42; 0.147334; 0.058008; 0.221774; false; 0.439083
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.22; 0.157249; 0.058146; 0.017012; false; 0.244035;0.36; 0.151013; 0.056645; 0.165334; false; 0.383819;0.42; 0.157865; 0.058127; 0.214154; false; 0.44176
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.22; 0.159609; 0.063387; 0.011048; false; 0.246874;0.41; 0.160412; 0.063494; 0.202074; false; 0.438804;0.47; 0.159444; 0.063306; 0.259675; false; 0.495148
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.2; 0.883156; 0.341829; 0.0259; false; 1.30248;3.35; 0.89456; 0.342514; 2.17877; false; 3.46773;5.49; 0.894184; 0.338965; 4.31216; false; 5.59698
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;1.23; 0.901064; 0.352931; 0.035526; false; 1.34312;9.04; 0.905581; 0.350911; 7.86475; false; 9.17506;12.05; 0.90115; 0.348319; 10.857; false; 12.1602
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.24; 0.899262; 0.351164; 0.035779; false; 1.34002;9.0; 0.909758; 0.348575; 7.80197; false; 9.11399;12.02; 0.904485; 0.35031; 10.8276; false; 12.136
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.31; 0.235018; 0.093821; 0.002323; false; 0.344025;0.51; 0.235588; 0.094361; 0.199824; false; 0.542811;0.52; 0.245639; 0.093338; 0.198147; false; 0.550202
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.32; 0.246184; 0.094415; 0.001319; false; 0.35612;0.5; 0.243814; 0.092148; 0.191151; false; 0.540494;0.5; 0.235245; 0.093773; 0.197866; false; 0.539856
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.01; 0.011118; 0.006737; 1.5e-05; false; 0.019011;0.02; 0.012464; 0.008923; 2.1e-05; false; 0.023099;0.02; 0.018104; 0.009789; 0.000182; false; 0.029601
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.28; 0.218587; 0.079788; 0.000682; false; 0.316538;0.27; 0.20112; 0.078438; 0.008304; false; 0.303638;0.27; 0.207932; 0.076528; 0.002605; false; 0.302743
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.01; 0.010877; 0.006594; 1.4e-05; false; 0.018591;0.01; 0.011297; 0.00706; 1.5e-05; false; 0.019546;0.01; 0.010779; 0.006977; 0.000137; false; 0.019156
