Average / Median / Average with Timeouts
------------------------------------
op     automata-min    automata
-----  --------------  -------------
compl  0.1, 0.1, 2.4   0.1, 0.1, 2.0
empti  0.0, 0.0, 1.5   0.0, 0.0, 1.4
fair-  0.2, 0.1, 1.9   0.2, 0.1, 1.6
inclu  0.2, 0.0, 3.3   0.3, 0.0, 1.1
inter  0.2, 0.0, 1.8   0.2, 0.0, 1.5
inter  0.6, 0.0, 1.1   0.6, 0.0, 0.8
overa  0.3, 0.1, 2.0   0.3, 0.1, 1.7
parsi  0.1, 0.0, 0.4   0.1, 0.1, 0.2
runti  1.1, 0.8, 2.7   0.3, 0.1, 1.7
trim   0.0, 0.0, 0.4   0.0, 0.0, 0.1
union  0.1, 0.0, 4.7   0.1, 0.0, 4.5
