name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.3; 0.257884; 0.065721; 0.000645; 0.000872; 0.000217; false; 0.335838;0.29; 0.249986; 0.05616; 0.00029; 0.000269; 9.5e-05; false; 0.312788;0.3; 0.264551; 0.069334; 0.000838; 0.000633; 0.000154; false; 0.347764;1.3; 0.2132; 0.0000; 0.0016; 0.0006; 0.0007; False; 0.0030; 0.2169
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.34; 0.291129; 0.077826; 0.000683; 0.000489; 8.3e-05; false; 0.380828;0.19; 0.163008; 0.050756; 0.00034; 0.000366; 6.4e-05; false; 0.220963;0.33; 0.279824; 0.072874; 0.000795; 0.000513; 8.6e-05; false; 0.364395;1.52; 0.4217; 0.0000; 0.0029; 0.0014; 0.0014; False; 0.0057; 0.4287
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;0.25; 0.229662; 0.051841; 0.000351; 0.000358; 6.4e-05; false; 0.289784;0.36; 0.307998; 0.07369; 0.000826; 0.000581; 0.000112; false; 0.394582;0.38; 0.309454; 0.087802; 0.001036; 0.001231; 0.000179; false; 0.416909;1.3; 0.3308; 0.0000; 0.0031; 0.0019; 0.0023; False; 0.0073; 0.3396
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.26; 0.213724; 0.062325; 0.000411; 0.00083; 0.000147; false; 0.287782;0.4; 0.335568; 0.090142; 0.000988; 0.000897; 0.000113; false; 0.442719;0.4; 0.336556; 0.087718; 0.00077; 0.000733; 0.000176; false; 0.439855;1.52; 0.4906; 0.0000; 0.0031; 0.0018; 0.0022; False; 0.0072; 0.4995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;0.24; 0.206733; 0.056164; 0.000437; 0.00079; 9.3e-05; false; 0.273959;0.44; 0.367538; 0.093806; 0.001099; 0.001304; 0.000188; false; 0.481023;0.41; 0.354855; 0.089713; 0.000446; 0.000732; 8.4e-05; false; 0.455993;1.2; 0.3164; 0.0000; 0.0023; 0.0014; 0.0014; False; 0.0052; 0.3228
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;0.44; 0.37176; 0.098577; 0.001142; 0.001041; 0.000176; false; 0.488642;0.47; 0.388948; 0.103794; 0.001154; 0.001043; 0.000131; false; 0.513336;0.29; 0.252361; 0.06885; 0.000525; 0.000609; 0.000125; false; 0.331884;1.4; 0.3783; 0.0000; 0.0028; 0.0018; 0.0019; False; 0.0067; 0.3864
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.48; 0.410973; 0.102255; 0.001142; 0.001061; 0.000155; false; 0.532501;0.3; 0.236799; 0.076969; 0.000988; 0.001058; 0.000245; false; 0.338277;0.48; 0.411666; 0.098064; 0.00097; 0.001169; 0.000142; false; 0.528917;1.46; 0.3988; 0.0000; 0.0029; 0.0019; 0.0020; False; 0.0069; 0.4069
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.53; 0.438364; 0.120851; 0.001392; 0.001815; 0.000254; false; 0.584858;0.53; 0.445577; 0.115439; 0.001226; 0.000946; 0.000152; false; 0.580817;0.34; 0.249657; 0.108483; 0.000493; 0.000575; 9.8e-05; false; 0.369832;1.68; 0.5715; 0.0000; 0.0037; 0.0023; 0.0024; False; 0.0085; 0.5813
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.32; 0.273011; 0.077286; 0.000547; 0.000675; 0.000114; false; 0.364175;0.55; 0.465071; 0.121137; 0.001501; 0.001158; 0.000181; false; 0.60854;0.57; 0.454044; 0.123572; 0.001342; 0.001319; 0.000203; false; 0.60055;1.8; 0.6709; 0.0000; 0.0066; 0.0040; 0.0045; False; 0.0153; 0.6888
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.37; 0.310522; 0.090858; 0.000544; 0.000699; 0.000106; false; 0.414478;0.53; 0.482736; 0.086013; 0.000584; 0.000868; 0.000141; false; 0.58405;0.58; 0.489029; 0.123294; 0.001121; 0.001182; 0.00017; false; 0.634572;1.65; 0.5946; 0.0000; 0.0068; 0.0041; 0.0043; False; 0.0154; 0.6146
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.03; 0.028692; 0.00984; 6.8e-05; 4.8e-05; 2.2e-05; false; 0.040167;0.03; 0.028505; 0.010059; 6.9e-05; 5.7e-05; 2.2e-05; false; 0.040266;0.03; 0.027588; 0.009412; 6.6e-05; 4.6e-05; 2.1e-05; false; 0.038519;1.2; 0.0883; 0.0000; 0.0008; 0.0002; 0.0002; False; 0.0014; 0.0901
