name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.43; 0.141658; 0.040621; 0.197273; 0.108034; 0.000141; false; 0.494982;0.65; 0.252712; 0.069992; 0.281788; 0.116308; 0.000164; false; 0.735526;0.77; 0.255917; 0.074801; 0.000506; 0.360557; 0.176183; 0.000215; false; 0.881537;4.4; 0.3692; 0.0000; 2.5528; 0.8339; 0.0044; False; 3.3913; 3.7642
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.75; 0.284409; 0.072602; 0.357769; 0.135326; 0.000148; false; 0.862588;0.84; 0.264283; 0.076049; 0.457411; 0.150581; 0.000123; false; 0.960308;0.93; 0.280699; 0.086959; 0.000498; 0.468316; 0.228917; 0.00017; false; 1.08145;4.45; 0.2636; 0.0000; 2.8217; 0.9279; 0.0022; False; 3.7519; 4.0177
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;0.65; 0.17013; 0.049221; 0.352824; 0.168763; 0.000182; false; 0.751488;0.87; 0.223441; 0.049867; 0.47964; 0.253711; 0.000293; false; 1.01715;1.02; 0.300163; 0.076203; 0.000651; 0.537278; 0.25061; 0.00017; false; 1.18038;5.5; 0.2603; 0.0000; 3.5516; 1.0885; 0.0032; False; 4.6434; 4.9065
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;1.17; 0.331585; 0.085069; 0.632336; 0.279921; 0.000399; false; 1.34601;1.14; 0.282038; 0.072485; 0.648508; 0.294586; 0.000182; false; 1.31256;1.22; 0.292292; 0.073388; 0.000556; 0.713657; 0.305032; 0.000195; false; 1.40316;6.68; 0.2764; 0.0000; 4.7892; 1.3409; 0.0060; False; 6.1362; 6.4175
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;1.09; 0.299798; 0.078565; 0.923692; 0.327311; 0.004225; false; 1.64997;0.97; 0.243408; 0.05915; 0.557054; 0.217903; 0.002845; false; 1.0955;1.17; 0.331398; 0.107063; 0.000692; 0.660973; 0.215044; 0.003384; false; 1.3376;8.63; 0.5296; 0.0000; 5.8688; 1.8752; 0.0060; False; 7.7502; 8.2845
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;1.37; 0.345992; 0.084668; 0.75765; 0.368649; 0.000182; false; 1.57415;0.99; 0.217073; 0.063091; 0.563544; 0.270145; 0.000348; false; 1.12885;1.06; 0.268309; 0.067253; 0.00036; 0.604389; 0.249117; 0.000149; false; 1.20186;8.96; 0.3255; 0.0000; 6.5057; 2.1552; 0.0065; False; 8.6674; 8.9976
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;1.68; 0.390692; 0.101447; 1.02094; 0.418441; 0.000447; false; 1.95508;1.4; 0.224277; 0.06336; 0.875854; 0.454152; 0.00045; false; 1.63372;1.68; 0.377068; 0.09738; 0.000705; 1.11297; 0.383202; 0.000201; false; 1.99161;10.21; 0.3839; 0.0000; 7.1971; 2.4661; 0.0129; False; 9.6762; 10.0726
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;2.07; 0.444705; 0.14292; 1.29426; 0.483966; 0.000248; false; 2.39549;2.02; 0.4382; 0.117109; 1.21301; 0.519125; 0.000251; false; 2.31209;1.28; 0.248367; 0.07673; 0.000422; 0.802905; 0.321451; 0.00037; false; 1.46704;11.79; 0.6050; 0.0000; 8.8877; 2.4298; 0.0110; False; 11.3286; 11.9477
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;2.33; 0.475845; 0.121594; 1.46602; 0.578526; 0.000485; false; 2.66747;1.53; 0.363714; 0.076963; 0.903013; 0.370885; 0.000194; false; 1.73159;1.69; 0.268999; 0.084947; 0.00046; 0.982054; 0.552988; 0.000309; false; 1.91007;12.88; 0.3971; 0.0000; 10.2195; 2.6306; 0.0021; False; 12.8523; 13.2543
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;2.65; 0.496515; 0.130041; 1.68273; 0.707208; 0.000589; false; 3.0523;2.83; 0.484478; 0.130486; 1.94236; 0.659987; 0.000489; false; 3.24798;1.54; 0.280939; 0.080971; 0.000472; 0.913276; 0.445333; 0.000232; false; 1.73937;14.76; 0.4495; 0.0000; 11.7311; 3.0237; 0.0033; False; 14.7582; 15.2161
