name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;0.87; 0.080468; 0.024751; 0.775096; false; 0.884257;0.13; 0.102412; 0.039499; 0.002326; false; 0.150348;0.92; 0.073118; 0.033148; 0.043022; 0.782625; false; 0.937778;1.16; 0.1801; 0.0000; 0.0033; False; 0.0034; 0.1838
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;3.58; 0.551956; 0.212457; 2.846; false; 3.64537;1.06; 0.666045; 0.178853; 0.246337; false; 1.13249;3.11; 0.707686; 0.267537; 0.002406; 2.14447; false; 3.18178;1.7; 0.6782; 0.0000; 0.2612; False; 0.2612; 0.9407
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;3.71; 0.658929; 0.261204; 2.81758; false; 3.80397;1.31; 0.674998; 0.257104; 0.409761; false; 1.39377;3.01; 0.399958; 0.186448; 0.001238; 2.43539; false; 3.06442;2.4; 1.0668; 0.0000; 0.3188; False; 0.3189; 1.3871
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;2.39; 0.375674; 0.164124; 1.87181; false; 2.44396;0.74; 0.378743; 0.168727; 0.20006; false; 0.781869;2.98; 0.621151; 0.240817; 0.002067; 2.14572; false; 3.05784;1.98; 0.6401; 0.0000; 0.3485; False; 0.3485; 0.9904
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;3.35; 0.438821; 0.188698; 2.72452; false; 3.40165;1.17; 0.650241; 0.255631; 0.278988; false; 1.24423;3.67; 0.658483; 0.262742; 0.001923; 2.75976; false; 3.74658;1.59; 0.6441; 0.0000; 0.1683; False; 0.1683; 0.8137
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.74; 0.319323; 0.127099; 0.307247; false; 0.778614;0.41; 0.270491; 0.123785; 0.03015; false; 0.44383;0.5; 0.235952; 0.081011; 0.000581; 0.190487; false; 0.522865;1.71; 0.5376; 0.0000; 0.0523; False; 0.0523; 0.5911
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.77; 0.3429; 0.128448; 0.315697; false; 0.812543;0.3; 0.190714; 0.086007; 0.033849; false; 0.327351;0.49; 0.233205; 0.082376; 0.000574; 0.190422; false; 0.522288;1.18; 0.3619; 0.0000; 0.0384; False; 0.0384; 0.4009
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.79; 0.346312; 0.134981; 0.314878; false; 0.821433;0.31; 0.197487; 0.085591; 0.031252; false; 0.330534;0.78; 0.327639; 0.131421; 0.001448; 0.335379; false; 0.827265;1.53; 0.5449; 0.0000; 0.0558; False; 0.0558; 0.6020
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.57; 0.266503; 0.102892; 0.206956; false; 0.60223;0.34; 0.236592; 0.089216; 0.024917; false; 0.36725;0.79; 0.354659; 0.131768; 0.001158; 0.321726; false; 0.837172;1.69; 0.5752; 0.0000; 0.0455; False; 0.0456; 0.6222
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.78; 0.348537; 0.136627; 0.312995; false; 0.825498;0.3; 0.189847; 0.088288; 0.02448; false; 0.319705;0.49; 0.191027; 0.082551; 0.000598; 0.222184; false; 0.512013;1.26; 0.3343; 0.0000; 0.0431; False; 0.0431; 0.3787
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.57; 0.277406; 0.089505; 0.23583; false; 0.615662;0.29; 0.162348; 0.083963; 0.0409; false; 0.310135;0.71; 0.292414; 0.104373; 0.000863; 0.322126; false; 0.738991;1.42; 0.2700; 0.0000; 0.0430; False; 0.0430; 0.3140
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.72; 0.292987; 0.119088; 0.309151; false; 0.748379;0.26; 0.164923; 0.073486; 0.024547; false; 0.280477;0.58; 0.209592; 0.075059; 0.00055; 0.308038; false; 0.60834;1.64; 0.4802; 0.0000; 0.0404; False; 0.0404; 0.5218
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.48; 0.183446; 0.07771; 0.231498; false; 0.507738;0.45; 0.315212; 0.1272; 0.021808; false; 0.487765;0.77; 0.288531; 0.122817; 0.000942; 0.36974; false; 0.805558;1.67; 0.5385; 0.0000; 0.0264; False; 0.0264; 0.5664
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;4.59; 1.04188; 0.632832; 2.94373; false; 4.71517;2.03; 1.43429; 0.614864; 0.048226; false; 2.19571;4.64; 1.03168; 0.420037; 0.0018; 3.22556; false; 4.75659;4.24; 3.2425; 0.0000; 0.0352; False; 0.0353; 3.2797
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;16.74; 1.7224; 0.616154; 14.4951; false; 16.9375;2.14; 1.52773; 0.629875; 0.065304; false; 2.34236;13.79; 1.62907; 0.60877; 0.003146; 11.6674; false; 14.0228;4.69; 3.8428; 0.0000; 0.0764; False; 0.0765; 3.9227
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;15.78; 1.61194; 0.630409; 13.6156; false; 15.9615;1.41; 0.969675; 0.425283; 0.040874; false; 1.53605;11.93; 1.45994; 0.440871; 0.002349; 10.1073; false; 12.1027;3.78; 3.0299; 0.0000; 0.0450; False; 0.0450; 3.0769
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.94; 0.422122; 0.174636; 0.364713; false; 0.990798;0.57; 0.423928; 0.170378; 0.004743; false; 0.627274;0.61; 0.260286; 0.147816; 0.008583; 0.215013; false; 0.649112;1.41; 0.4707; 0.0000; 0.0037; False; 0.0038; 0.4750
