name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;pymata-runtime
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;TO; 0.042974; 0.012446;TO; 0.068704; 0.018943;TO; 0.066282; 0.017981; 0.006028;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;TO; 0.100977; 0.024987;TO; 0.102732; 0.025672;TO; 0.099256; 0.024505; 0.011088;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;TO; 0.128824; 0.031949;TO; 0.124963; 0.031079;TO; 0.070579; 0.021068; 0.011733;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;TO; 0.083812; 0.024281;TO; 0.143907; 0.037125;TO; 0.149015; 0.036597; 0.026921;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;TO; 0.17332; 0.042022;TO; 0.16846; 0.043438;TO; 0.168541; 0.040862; 0.037824;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;TO; 0.198032; 0.0472;TO; 0.194951; 0.046747;TO; 0.184233; 0.04445; 0.053425;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;TO; 0.217796; 0.052448;TO; 0.128371; 0.035045;TO; 0.21976; 0.052742; 0.070536;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;TO; 0.013449; 0.006589;TO; 0.022352; 0.009271;TO; 0.023948; 0.009394; 0.000998;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;TO; 0.239491; 0.054845;TO; 0.258826; 0.063223;TO; 0.232947; 0.056412; 0.000195;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;TO; 0.171155; 0.049315;TO; 0.254605; 0.059282;TO; 0.260072; 0.061226; 0.000222;TO
