name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09460.mata;0.0; 0.00154; 0.001265; 0.00014; 7.6e-05; false; 0.004006;0.0; 0.00149; 0.001278; 0.000143; 7.4e-05; false; 0.003935;0.0; 0.001193; 0.000838; 0.00059; 7.1e-05; 4.4e-05; false; 0.003275;1.11; 0.0085; 0.0000; 0.0021; 0.0002; 0.0000; False; 0.0023; 0.0113
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09507.mata;0.03; 0.025074; 0.00141; 9.1e-05; 5.3e-05; false; 0.030435;0.02; 0.02119; 0.001531; 0.000103; 5.1e-05; false; 0.026659;0.06; 0.021403; 0.04209; 0.001525; 9.7e-05; 0.000117; false; 0.069125;1.23; 0.0434; 0.0000; 0.0047; 0.0003; 0.0000; False; 0.0051; 0.0494
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09604.mata;0.0; 0.003641; 0.000915; 0.0001; 4.1e-05; false; 0.005875;0.0; 0.003649; 0.000942; 0.000108; 3.5e-05; false; 0.005979;0.01; 0.003762; 0.009127; 0.001083; 0.000238; 0.000116; false; 0.015915;0.9; 0.0114; 0.0000; 0.0021; 0.0002; 0.0000; False; 0.0023; 0.0142
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09609.mata;0.0; 0.000459; 0.000329; 4.6e-05; 2.6e-05; false; 0.00127;0.0; 0.000828; 0.000598; 9.9e-05; 4.1e-05; false; 0.002252;0.0; 0.000495; 0.000793; 0.00032; 3.5e-05; 2.7e-05; false; 0.002014;0.93; 0.0079; 0.0000; 0.0013; 0.0001; 0.0000; False; 0.0014; 0.0097
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09685.mata;0.01; 0.00506; 0.001826; 0.000319; 0.000169; false; 0.009529;0.01; 0.005627; 0.002372; 0.000305; 0.000157; false; 0.010903;0.01; 0.00569; 0.008359; 0.002122; 0.000285; 0.000161; false; 0.018632;0.99; 0.0183; 0.0000; 0.0047; 0.0004; 0.0000; False; 0.0052; 0.0243
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09752.mata;0.02; 0.014319; 0.008448; 0.000505; 6.2e-05; false; 0.026984;0.02; 0.014678; 0.006782; 0.000839; 5.9e-05; false; 0.026169;0.04; 0.016079; 0.013149; 0.008345; 0.000721; 7.6e-05; false; 0.042054;1.26; 0.0282; 0.0000; 0.0131; 0.0005; 0.0000; False; 0.0137; 0.0427
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09781.mata;0.0; 0.002075; 0.001056; 0.000173; 0.000105; false; 0.004522;0.0; 0.001867; 0.001133; 0.000149; 7.4e-05; false; 0.004308;0.0; 0.001838; 0.002192; 0.001078; 0.000111; 7.1e-05; false; 0.006265;1.24; 0.0100; 0.0000; 0.0026; 0.0004; 0.0000; False; 0.0031; 0.0136
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09843.mata;0.01; 0.015081; 0.001072; 0.000147; 4.2e-05; false; 0.019116;0.02; 0.015215; 0.001425; 0.000126; 4.4e-05; false; 0.019823;0.06; 0.015668; 0.044273; 0.001472; 0.000174; 5.5e-05; false; 0.064862;1.08; 0.0225; 0.0000; 0.0026; 0.0001; 0.0000; False; 0.0029; 0.0259
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09860.mata;0.08; 0.033436; 0.017682; 0.005633; 0.000484; false; 0.081406;0.07; 0.031251; 0.01663; 0.005499; 0.000502; false; 0.076178;0.07; 0.03169; 0.001062; 0.017175; 0.00536; 0.000484; false; 0.079047;1.12; 0.0979; 0.0000; 0.0433; 0.0145; 0.0000; False; 0.0579; 0.1598
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09878.mata;0.02; 0.013487; 0.001957; 0.000446; 5.3e-05; false; 0.020398;0.01; 0.013593; 0.002031; 0.000463; 6.9e-05; false; 0.020813;0.02; 0.013701; 0.000411; 0.002016; 0.000455; 7.2e-05; false; 0.021289;1.11; 0.0257; 0.0000; 0.0044; 0.0007; 0.0000; False; 0.0052; 0.0316
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09881.mata;0.02; 0.018522; 0.004081; 0.000922; 0.000144; false; 0.03192;0.02; 0.015976; 0.002038; 0.000409; 4.1e-05; false; 0.023134;0.03; 0.022773; 0.000785; 0.003632; 0.000986; 0.000134; false; 0.03726;1.01; 0.0277; 0.0000; 0.0043; 0.0009; 0.0000; False; 0.0052; 0.0339
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09928.mata;0.0; 0.006718; 0.001012; 0.000102; 3.7e-05; false; 0.009302;0.01; 0.006711; 0.001075; 0.000111; 2.7e-05; false; 0.009369;0.01; 0.006922; 0.005531; 0.001042; 9e-05; 8.2e-05; false; 0.014989;1.16; 0.0261; 0.0000; 0.0043; 0.0002; 0.0000; False; 0.0046; 0.0313
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10051.mata;0.02; 0.019265; 0.001317; 0.00011; 4.7e-05; false; 0.024124;0.02; 0.018917; 0.001496; 9.8e-05; 6.8e-05; false; 0.024159;0.05; 0.019214; 0.031193; 0.001423; 8.7e-05; 9.7e-05; false; 0.055354;1.28; 0.0375; 0.0000; 0.0033; 0.0002; 0.0000; False; 0.0036; 0.0417
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10088.mata;0.03; 0.029; 0.001921; 0.000192; 7.3e-05; false; 0.035745;0.03; 0.031149; 0.002243; 0.000224; 7.3e-05; false; 0.038691;0.06; 0.031038; 0.031849; 0.002076; 0.000142; 0.000117; false; 0.070145;1.21; 0.0509; 0.0000; 0.0040; 0.0002; 0.0000; False; 0.0043; 0.0560
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance10092.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.24; 0.0622; 0.0000; 0.0087; 0.0015; 0.0000; False; 0.0103; 0.0743
