name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-11-*.mata;0.05; 0.016958; 0.028439;0.0020099999999999996;0.0024000000000000002; 0.000697; false; 0.063846;0.06; 0.024665; 0.030885;0.0020729999999999998;0.0019679999999999997; 0.000575; false; 0.073252;0.09; 0.026785; 0.04753;0.003073;0.002652; 0.000857; false; 0.100771;1.29; 0.1031; 0.0000; 0.0295; 0.0010; 0.0004; False; 0.0310; 0.1357
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-12-*.mata;0.11; 0.032841; 0.055176;0.003874;0.003881; 0.000907; false; 0.122035;0.1; 0.030444; 0.05549;0.003884;0.003613; 0.000852; false; 0.118464;0.09; 0.031959; 0.052984;0.002457;0.004059; 0.001266; false; 0.107812;1.18; 0.0745; 0.0000; 0.0299; 0.0012; 0.0004; False; 0.0316; 0.1076
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-13-*.mata;0.12; 0.03723; 0.065145;0.0044930000000000005;0.0060079999999999995; 0.001215; false; 0.143216;0.14; 0.039778; 0.067941;0.005056;0.005531; 0.001359; false; 0.150233;0.13; 0.036299; 0.064248;0.005265;0.005464; 0.001036; false; 0.143745;1.26; 0.1031; 0.0000; 0.0629; 0.0015; 0.0006; False; 0.0651; 0.1706
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-14-*.mata;0.1; 0.040223; 0.045925;0.003016;0.003795; 0.000933; false; 0.113501;0.15; 0.041974; 0.074283;0.006153;0.007044; 0.001162; false; 0.16571;0.12; 0.022351; 0.052869;0.006070000000000001;0.0075980000000000015; 0.001268; false; 0.126714;1.3; 0.1277; 0.0000; 0.0909; 0.0021; 0.0008; False; 0.0939; 0.2244
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-15-*.mata;0.18; 0.047242; 0.085361;0.006574;0.012034; 0.001754; false; 0.190384;0.19; 0.047989; 0.095814;0.007488999999999999;0.010324; 0.001652; false; 0.208962;0.18; 0.048672; 0.088119;0.006726;0.010352; 0.001446; false; 0.197318;1.51; 0.1987; 0.0000; 0.1099; 0.0019; 0.0008; False; 0.1127; 0.3146
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-16-*.mata;0.21; 0.056716; 0.101576;0.008386999999999999;0.012933; 0.001637; false; 0.229917;0.13; 0.037424; 0.061601;0.0042769999999999996;0.009575; 0.001376; false; 0.145673;0.21; 0.056442; 0.100534;0.007577;0.010502999999999998; 0.001661; false; 0.226197;1.35; 0.1680; 0.0000; 0.1327; 0.0025; 0.0014; False; 0.1368; 0.3089
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-17-*.mata;0.18; 0.0623; 0.080564;0.004794;0.008409999999999999; 0.00148; false; 0.192693;0.27; 0.061907; 0.121788;0.010145;0.018096; 0.002092; false; 0.28185;0.14; 0.033523; 0.067652;0.004783;0.00886; 0.001537; false; 0.150334;1.6; 0.3742; 0.0000; 0.1132; 0.0024; 0.0013; False; 0.1171; 0.4964
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-18-*.mata;0.3; 0.068809; 0.139575;0.011550999999999999;0.022644; 0.00245; false; 0.32115;0.31; 0.073892; 0.137521;0.010652;0.021102999999999997; 0.002555; false; 0.320411;0.31; 0.071537; 0.138941;0.011049999999999999;0.020744000000000002; 0.002346; false; 0.319187;1.46; 0.2357; 0.0000; 0.1230; 0.0029; 0.0014; False; 0.1275; 0.3675
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-19-*.mata;0.34; 0.078515; 0.159617;0.012003;0.033073; 0.003173; false; 0.364957;0.36; 0.077316; 0.170329;0.011775;0.031834; 0.002138; false; 0.379232;0.29; 0.072829; 0.143304;0.009381999999999998;0.019234; 0.00257; false; 0.310575;1.63; 0.2614; 0.0000; 0.2101; 0.0032; 0.0013; False; 0.2148; 0.4817
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-2-*.mata;0.0; 0.001403; 0.006886; 9.4e-05; 3.7e-05; 3.8e-05; false; 0.010316;0.0; 0.001185; 0.007274; 9.2e-05; 3.3e-05; 2.9e-05; false; 0.010234;0.0; 0.001356; 0.007639; 8.4e-05; 3.3e-05; 2.8e-05; false; 0.010754;1.0; 0.0087; 0.0000; 0.0005; 0.0001; 0.0000; False; 0.0006; 0.0096
