name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 6.6e-05;0.000574;0.000603; 0.000113; false; 0.002603;0.0; 8.6e-05;0.000577;0.00054; 0.000116; false; 0.002441;0.04; 6.1e-05;0.049576999999999996;0.000282;0.000214; 4.2e-05; false; 0.050991;1.14; 0.0054; 0.0000;0.004;0.0007; 0.0003; False; 0.0053; 0.0111
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 9.8e-05;0.000323;0.000349; 8.8e-05; false; 0.00156;0.0; 8.6e-05;0.000595;0.000559; 0.000122; false; 0.002524;0.07; 9.3e-05;0.077318;0.000529;0.00034; 5.9e-05; false; 0.079644;1.15; 0.0063; 0.0000;0.0050999999999999995;0.0012000000000000001; 0.0004; False; 0.0071; 0.0140
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 4.2e-05;0.00031;0.00034500000000000004; 7.5e-05; false; 0.001447;0.0; 7.9e-05;0.00046600000000000005;0.00045200000000000004; 0.000104; false; 0.002003;0.06; 5.3e-05;0.07109399999999999;0.00049;0.000302; 5.8e-05; false; 0.073195;0.91; 0.0042; 0.0000;0.0031000000000000003;0.0005; 0.0002; False; 0.0042; 0.0088
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 5.2e-05;0.000352;0.00044800000000000005; 0.00013; false; 0.001795;0.0; 9e-05;0.000592;0.000562; 0.000122; false; 0.002501;0.06; 8.4e-05;0.075762;0.00053;0.000335; 6.5e-05; false; 0.078041;0.92; 0.0041; 0.0000;0.0029000000000000002;0.0005; 0.0002; False; 0.0039; 0.0085
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 7.6e-05;0.000581;0.0005740000000000001; 0.000122; false; 0.002506;0.0; 8.4e-05;0.0005510000000000001;0.000535; 0.000109; false; 0.002339;0.06; 9.3e-05;0.078138;0.000537;0.000344; 6.4e-05; false; 0.080467;1.25; 0.0059; 0.0000;0.004999999999999999;0.0012000000000000001; 0.0004; False; 0.0069; 0.0135
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 7.4e-05;0.000528;0.000486; 0.000115; false; 0.002286;0.0; 9e-05;0.0005250000000000001;0.000511; 0.000107; false; 0.002319;0.07; 9.1e-05;0.072837;0.000519;0.00031499999999999996; 5.8e-05; false; 0.075108;1.13; 0.0064; 0.0000;0.0062;0.0014; 0.0005; False; 0.0083; 0.0152
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 9.5e-05;0.00049;0.00047099999999999996; 0.000106; false; 0.00221;0.0; 0.000107;0.00048600000000000005;0.000486; 0.000113; false; 0.002191;0.05; 5.3e-05;0.057565000000000005;0.00042;0.000249; 6.4e-05; false; 0.059285;1.12; 0.0060; 0.0000;0.0057;0.0011; 0.0004; False; 0.0075; 0.0141
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 8.1e-05;0.0005549999999999999;0.000526; 0.000125; false; 0.002407;0.0; 8.9e-05;0.000602;0.000565; 0.000109; false; 0.002593;0.07; 9e-05;0.074484;0.000489;0.000316; 6.5e-05; false; 0.076844;1.2; 0.0059; 0.0000;0.0057;0.0012000000000000001; 0.0004; False; 0.0076; 0.0143
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 8.8e-05;0.000562;0.0005549999999999999; 0.000113; false; 0.002559;0.0; 8.9e-05;0.0005510000000000001;0.000516; 0.000111; false; 0.002361;0.07; 8.8e-05;0.07492599999999999;0.000624;0.000384; 8e-05; false; 0.077655;1.13; 0.0042; 0.0000;0.0039;0.0005; 0.0002; False; 0.0050; 0.0097
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 9.1e-05;0.000548;0.000568; 0.00011; false; 0.002541;0.0; 7.8e-05;0.00047599999999999997;0.00048300000000000003; 0.000108; false; 0.002194;0.06; 7.8e-05;0.068468;0.000576;0.00036300000000000004; 7.9e-05; false; 0.070964;1.04; 0.0063; 0.0000;0.0063999999999999994;0.0011; 0.0004; False; 0.0082; 0.0152
