name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14685-1.mata;0.0; 0.000336; 4.7e-05; 9e-06; 2e-06; false; 0.000573;0.0; 0.000372; 5e-05; 9e-06; 2e-06; false; 0.000636;0.0; 0.000351; 0.000145; 4.9e-05; 9e-06; 2e-06; false; 0.000762;1.17; 0.0069; 0.0000; 0.0002; 0.0000; 0.0000; False; 0.0003; 0.0074
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14685-2.mata;0.0; 0.000792; 0.000102; 1.2e-05; 3e-06; false; 0.001213;0.0; 0.000757; 0.000108; 1.2e-05; 2e-06; false; 0.001175;0.0; 0.000789; 0.00024; 0.000107; 1.4e-05; 2e-06; false; 0.001481;1.13; 0.0072; 0.0000; 0.0003; 0.0000; 0.0000; False; 0.0003; 0.0077
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14778-1.mata;0.0; 0.000484; 5.3e-05; 8e-06; 5e-06; false; 0.000744;0.0; 0.000484; 5.5e-05; 8e-06; 5e-06; false; 0.000762;0.0; 0.00047; 0.000325; 6e-05; 8e-06; 6e-06; false; 0.001072;1.07; 0.0080; 0.0000; 0.0004; 0.0000; 0.0000; False; 0.0004; 0.0086
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14797-1.mata;0.0; 0.002907; 0.000269; 2.6e-05; 1.8e-05; false; 0.003829;0.0; 0.00281; 0.000272; 2.5e-05; 2.1e-05; false; 0.003752;0.0; 0.002759; 0.002207; 0.000245; 2.4e-05; 2.1e-05; false; 0.005887;1.23; 0.0102; 0.0000; 0.0006; 0.0000; 0.0000; False; 0.0007; 0.0111
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14847-1.mata;0.03; 0.026557; 0.001939; 0.000128; 0.000151; false; 0.033625;0.02; 0.018755; 0.000975; 9e-05; 7.6e-05; false; 0.022302;0.03; 0.026293; 0.004381; 0.001752; 0.000106; 0.000121; false; 0.037185;1.13; 0.0407; 0.0000; 0.0037; 0.0003; 0.0000; False; 0.0040; 0.0454
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14847-2.mata;0.0; 0.001775; 0.000234; 1.7e-05; 1.5e-05; false; 0.00249;0.0; 0.001841; 0.000262; 1.9e-05; 1.7e-05; false; 0.002601;0.0; 0.00184; 0.00093; 0.00025; 2e-05; 2.5e-05; false; 0.003532;1.09; 0.0081; 0.0000; 0.0006; 0.0000; 0.0000; False; 0.0007; 0.0091
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance14902-1.mata;0.0; 0.000219; 4.4e-05; 6e-06; 1e-06; false; 0.000395;0.0; 0.000236; 4.4e-05; 1e-05; 2e-06; false; 0.000479;0.0; 0.000233; 9.2e-05; 4.2e-05; 6e-06; 1e-06; false; 0.000515;0.96; 0.0055; 0.0000; 0.0002; 0.0000; 0.0000; False; 0.0002; 0.0060
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15094-1.mata;0.0; 8e-05; 2.4e-05; 6e-06; 2e-06; false; 0.000243;0.0; 9.5e-05; 2.2e-05; 7e-06; 2e-06; false; 0.000279;0.0; 9.8e-05; 5.1e-05; 1.6e-05; 9e-06; 1e-06; false; 0.000316;1.06; 0.0069; 0.0000; 0.0001; 0.0000; 0.0000; False; 0.0001; 0.0072
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15094-2.mata;0.02; 0.019047; 0.001313; 9.6e-05; 9.7e-05; false; 0.024275;0.02; 0.018732; 0.001374; 9.2e-05; 0.0001; false; 0.024144;0.02; 0.017495; 0.003468; 0.001117; 7.2e-05; 9e-05; false; 0.025758;1.25; 0.0353; 0.0000; 0.0031; 0.0002; 0.0000; False; 0.0033; 0.0392
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance15094-3.mata;0.0; 0.000319; 0.00026; 4.4e-05; 1.9e-05; false; 0.000995;0.0; 0.000369; 0.000281; 5.2e-05; 2.6e-05; false; 0.001125;0.0; 0.000321; 0.00041; 0.000237; 3.3e-05; 2e-05; false; 0.001341;0.95; 0.0048; 0.0000; 0.0004; 0.0001; 0.0000; False; 0.0005; 0.0055
