name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.23; 0.193262; 0.038292; 0.001294; 0.000495; false; 0.257444;0.11; 0.106079; 0.017763; 0.000617; 0.000245; false; 0.136398;0.19; 0.174655; 0.01794; 0.001063; 8.8e-05; 0.000113; false; 0.212901;1.04; 0.1457; 0.0000; 0.0264; 0.0010; 0.0000; False; 0.0275; 0.1742
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.21; 0.174668; 0.032928; 0.000927; 0.000381; false; 0.229216;0.23; 0.196467; 0.036301; 0.001191; 0.000444; false; 0.258619;0.11; 0.104734; 0.01005; 0.000642; 8.7e-05; 6.8e-05; false; 0.126438;1.32; 0.2168; 0.0000; 0.0525; 0.0014; 0.0000; False; 0.0540; 0.2728
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;0.51; 0.412503; 0.082417; 0.002504; 0.000889; false; 0.548902;0.43; 0.359552; 0.069277; 0.001883; 0.000759; false; 0.47454;0.47; 0.430326; 0.04391; 0.002352; 0.000188; 0.000248; false; 0.518249;1.27; 0.2846; 0.0000; 0.0496; 0.0018; 0.0000; False; 0.0514; 0.3387
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;0.26; 0.234212; 0.034722; 0.001417; 0.000557; false; 0.295251;0.43; 0.392816; 0.034953; 0.001378; 0.000596; false; 0.473957;0.28; 0.264654; 0.033538; 0.002381; 0.000181; 0.000255; false; 0.323148;1.62; 0.5290; 0.0000; 0.0982; 0.0025; 0.0000; False; 0.1008; 0.6330
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;8.71; 5.54492; 3.26842; 0.016347; 0.002182; false; 9.26925;14.77; 7.81658; 6.90351; 0.016418; 0.002171; false; 15.4924;8.64; 7.96659; 0.797846; 0.00909; 0.000443; 0.001781; false; 9.45087;11.72; 7.2483; 0.0000; 4.6994; 0.0131; 0.0000; False; 4.7126; 11.9858
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.0; 0.003905; 0.000668; 7.3e-05; 2.2e-05; false; 0.005373;0.0; 0.003801; 0.000623; 5.5e-05; 2e-05; false; 0.005226;0.0; 0.001973; 0.000397; 0.000198; 2.5e-05; 1.1e-05; false; 0.002989;0.77; 0.0082; 0.0000; 0.0008; 0.0000; 0.0000; False; 0.0009; 0.0093
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.01; 0.013578; 0.001978; 8.7e-05; 5.6e-05; false; 0.017565;0.01; 0.01327; 0.001835; 9.2e-05; 5.7e-05; false; 0.017131;0.01; 0.0119; 0.002284; 0.00039; 5.2e-05; 2.6e-05; false; 0.016375;0.83; 0.0153; 0.0000; 0.0019; 0.0001; 0.0000; False; 0.0021; 0.0176
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.03; 0.027872; 0.003625; 0.000142; 0.000105; false; 0.035295;0.03; 0.027299; 0.003301; 0.000136; 0.000106; false; 0.034417;0.03; 0.027878; 0.004423; 0.000691; 6e-05; 4.8e-05; false; 0.036609;0.97; 0.0237; 0.0000; 0.0036; 0.0001; 0.0000; False; 0.0037; 0.0278
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.1; 0.092329; 0.008752; 0.000539; 0.000266; false; 0.112958;0.09; 0.088969; 0.008081; 0.000548; 0.00028; false; 0.108686;0.1; 0.08345; 0.010979; 0.001148; 0.000116; 5.9e-05; false; 0.106286;1.19; 0.1318; 0.0000; 0.0149; 0.0007; 0.0000; False; 0.0158; 0.1490
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.02; 0.025752; 0.002584; 0.000214; 0.0001; false; 0.032;0.02; 0.025771; 0.002462; 0.000202; 9e-05; false; 0.031892;0.05; 0.047507; 0.004467; 0.000968; 9.4e-05; 5.8e-05; false; 0.056235;0.83; 0.0414; 0.0000; 0.0053; 0.0002; 0.0000; False; 0.0056; 0.0475
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;0.04; 0.03716; 0.003249; 0.000278; 0.000128; false; 0.045453;0.04; 0.033761; 0.003059; 0.000259; 0.000112; false; 0.041565;0.04; 0.034107; 0.005625; 0.001061; 5.4e-05; 6.7e-05; false; 0.044968;0.94; 0.0545; 0.0000; 0.0064; 0.0002; 0.0000; False; 0.0066; 0.0619
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.07; 0.06831; 0.006058; 0.000406; 0.000198; false; 0.083227;0.07; 0.063671; 0.006023; 0.000528; 0.000203; false; 0.079358;0.08; 0.066938; 0.009529; 0.002154; 0.000111; 0.000132; false; 0.086183;1.28; 0.0985; 0.0000; 0.0122; 0.0005; 0.0000; False; 0.0128; 0.1124
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.01; 0.007616; 0.001361; 0.000119; 4.2e-05; false; 0.010332;0.01; 0.007945; 0.001301; 9.7e-05; 4e-05; false; 0.010634;0.0; 0.007287; 0.001469; 0.000548; 5.6e-05; 2.5e-05; false; 0.010453;0.93; 0.0246; 0.0000; 0.0036; 0.0001; 0.0000; False; 0.0038; 0.0288
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.01; 0.015021; 0.002809; 0.000191; 7.6e-05; false; 0.020174;0.01; 0.014319; 0.002446; 0.000175; 7.4e-05; false; 0.019142;0.02; 0.014177; 0.002447; 0.001013; 5.4e-05; 4.7e-05; false; 0.020131;1.23; 0.0278; 0.0000; 0.0054; 0.0002; 0.0000; False; 0.0058; 0.0342
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.06; 0.052373; 0.005553; 0.000441; 0.000178; false; 0.06544;0.05; 0.050579; 0.005067; 0.00041; 0.000172; false; 0.063578;0.06; 0.051284; 0.009144; 0.002096; 0.000167; 0.000116; false; 0.069021;1.24; 0.0506; 0.0000; 0.0067; 0.0003; 0.0000; False; 0.0071; 0.0586
