name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_597.0.mata;0.59; 0.541078; 0.108944; 0.002316; 0.000111; 2.2e-05; false; 0.656764;0.48; 0.425624; 0.108899; 0.002455; 0.000119; 2.3e-05; false; 0.541673;0.5; 0.478809; 0.093375; 0.00056; 6.6e-05; 1.1e-05; 1.8e-05; false; 0.577545;2.55; 1.3689; 0.0000; 0.0040; 0.0001; 0.0000; False; 0.0042; 1.3733
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_657.0.mata;0.4; 0.361592; 0.077031; 0.001672; 0.000105; 2.4e-05; false; 0.441568;0.63; 0.551508; 0.129618; 0.003079; 0.000104; 3.4e-05; false; 0.685917;0.37; 0.346127; 0.084082; 0.000582; 0.000102; 1.6e-05; 1.2e-05; false; 0.432006;2.18; 1.3282; 0.0000; 0.0045; 0.0001; 0.0000; False; 0.0046; 1.3332
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;0.63; 0.628079; 0.098353; 0.003111; 0.000122; 1.2e-05; false; 0.731358;0.44; 0.389352; 0.109597; 0.003259; 0.000145; 1.2e-05; false; 0.504083;0.71; 0.673515; 0.148389; 0.001363; 0.000123; 1.8e-05; 1e-05; false; 0.825248;2.29; 1.3159; 0.0000; 0.0031; 0.0001; 0.0000; False; 0.0033; 1.3194
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;0.42; 0.395634; 0.081284; 0.0017; 0.000123; 2.4e-05; false; 0.48018;0.74; 0.677589; 0.136035; 0.003228; 0.000147; 3.7e-05; false; 0.819322;0.56; 0.534697; 0.089959; 0.00081; 7e-05; 1.2e-05; 1.1e-05; false; 0.626889;2.77; 1.6130; 0.0000; 0.0055; 0.0003; 0.0000; False; 0.0060; 1.6195
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;1.1; 0.947437; 0.270106; 0.002744; 0.000131; 1.3e-05; false; 1.22223;1.38; 1.36326; 0.19337; 0.002099; 7.5e-05; 9e-06; false; 1.5601;1.53; 1.41109; 0.291145; 0.001285; 0.000122; 1.8e-05; 1.6e-05; false; 1.70541;7.73; 6.7804; 0.0000; 0.0032; 0.0001; 0.0000; False; 0.0033; 6.7841
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;1.3; 1.2246; 0.221495; 0.003259; 0.000193; 4.6e-05; false; 1.45178;1.03; 0.876096; 0.287592; 0.00317; 0.000128; 3.8e-05; false; 1.16901;1.58; 1.45449; 0.307731; 0.001292; 0.000113; 1.7e-05; 1.6e-05; false; 1.76551;5.62; 4.8324; 0.0000; 0.0030; 0.0001; 0.0000; False; 0.0031; 4.8357
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;34.94; 45.2581; 5.86429; 0.047312; 0.00026; 0.000122; false; 51.1793;36.83; 47.1276; 7.51658; 0.040645; 0.000328; 9.1e-05; false; 54.6916;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.01; 0.009636; 0.007736; 0.000416; 4.4e-05; 1.3e-05; false; 0.019261;0.01; 0.009952; 0.007858; 0.000383; 4.5e-05; 1.4e-05; false; 0.019716;0.01; 0.010279; 0.007729; 0.000386; 0.000206; 3.9e-05; 1.1e-05; false; 0.019996;1.25; 0.0266; 0.0000; 0.0012; 0.0001; 0.0000; False; 0.0014; 0.0283
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.04; 0.034951; 0.015348; 0.001114; 6.8e-05; 1.5e-05; false; 0.053725;0.04; 0.033171; 0.013036; 0.000974; 6.2e-05; 1.2e-05; false; 0.049171;0.04; 0.033564; 0.013401; 0.001298; 0.00025; 3e-05; 1.1e-05; false; 0.050412;1.27; 0.0681; 0.0000; 0.0028; 0.0003; 0.0000; False; 0.0032; 0.0719
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.08; 0.068443; 0.019167; 0.001218; 7.9e-05; 3.7e-05; false; 0.091008;0.09; 0.074964; 0.021013; 0.001061; 6.3e-05; 3.2e-05; false; 0.098847;0.09; 0.075799; 0.021245; 0.001353; 0.000255; 3e-05; 1.6e-05; false; 0.100733;1.35; 0.1437; 0.0000; 0.0023; 0.0001; 0.0000; False; 0.0025; 0.1466
