name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.06; 0.056992; 0.020182;6.1e-05;2e-05; 8e-06; true; 0.080075;0.06; 0.054729; 0.020122;3.1e-05;1.2e-05; 5e-06; true; 0.07659;0.06; 0.051683; 0.020364;0.0029890000000000003;2.1000000000000002e-05;1e-05; 7e-06; true; 0.078064;1.15; 0.1123; 0.0000; 0.0006; 0.0000; 0.0000; True; 0.0007; 0.1134
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.1; 0.078119; 0.035095;9.999999999999999e-05;2.7000000000000002e-05; 1e-05; true; 0.11981;0.11; 0.079781; 0.035784;0.000102;2.6000000000000002e-05; 1e-05; true; 0.122156;0.13; 0.081421; 0.036131;0.019958;4.2999999999999995e-05;1.2000000000000002e-05; 9e-06; true; 0.144823;1.12; 0.1254; 0.0000; 0.0006; 0.0000; 0.0000; True; 0.0007; 0.1266
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.04; 0.031579; 0.014232;4.3e-05;1.4000000000000001e-05; 9e-06; true; 0.048501;0.04; 0.030989; 0.01413;4.399999999999999e-05;1.7e-05; 9e-06; true; 0.047815;0.04; 0.031308; 0.014678;0.0022229999999999997;1.9e-05;1e-05; 8e-06; true; 0.051247;1.2; 0.0691; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0005; 0.0699
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.09; 0.068885; 0.026379;0.001397;0.0006169999999999999; 8e-06; true; 0.102099;0.07; 0.067469; 0.019088;0.0007459999999999999;0.000445; 9e-06; true; 0.091167;0.09; 0.071632; 0.020474;0.006321;0.000166;5.1e-05; 7e-06; true; 0.101358;1.32; 0.1477; 0.0000; 0.0084; 0.0000; 0.0000; True; 0.0085; 0.1567
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.08; 0.070964; 0.022831;0.0006100000000000001;0.000268; 8e-06; true; 0.097999;0.07; 0.058567; 0.021123;0.0005440000000000001;0.000265; 7e-06; true; 0.083804;0.06; 0.045614; 0.020094;0.0059510000000000006;0.000136;4.2e-05; 5e-06; true; 0.075179;1.32; 0.1508; 0.0000; 0.0039; 0.0000; 0.0000; True; 0.0040; 0.1553
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.1; 0.068959; 0.028371;0.002828;0.001264; 0.001883; true; 0.109465;0.07; 0.061038; 0.017809;0.001361;0.000665; 0.00073; true; 0.085115;0.06; 0.040225; 0.017499;0.009108;0.000339;0.000108; 8.5e-05; true; 0.070538;1.1; 0.0894; 0.0000; 0.0112; 0.0018; 0.0011; True; 0.0141; 0.1041
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.01; 0.008507; 0.006782;8.6e-05;3.3e-05; 6e-06; true; 0.016791;0.02; 0.017172; 0.011407;0.00015999999999999999;5.4999999999999995e-05; 9e-06; true; 0.030934;0.01; 0.009531; 0.006308;0.001235;4.2e-05;2.4e-05; 6e-06; true; 0.018328;0.95; 0.0242; 0.0000; 0.0004; 0.0000; 0.0000; True; 0.0005; 0.0248
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.04; 0.039846; 0.015323;0.0007669999999999999;0.000232; 1e-05; true; 0.05846;0.03; 0.023923; 0.009085;0.000353;0.000134; 8e-06; true; 0.034927;0.02; 0.020147; 0.008729;0.0013529999999999998;6.5e-05;3.7e-05; 6e-06; true; 0.031519;1.19; 0.0756; 0.0000; 0.0023; 0.0002; 0.0000; True; 0.0027; 0.0787
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.05; 0.04561; 0.016218;0.000117;4.2000000000000004e-05; 8e-06; true; 0.063943;0.05; 0.046888; 0.016086;0.000118;4.7e-05; 1e-05; true; 0.065149;0.05; 0.045436; 0.016023;0.001313;3.2999999999999996e-05;2.2000000000000003e-05; 9e-06; true; 0.06476;1.25; 0.0843; 0.0000; 0.0005; 0.0000; 0.0000; True; 0.0006; 0.0852
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.39; 0.330062; 0.075912;0.0017670000000000001;0.0006439999999999999; 7e-06; true; 0.421437;0.46; 0.354162; 0.123375;0.003972;0.0015049999999999998; 1.8e-05; true; 0.508295;0.39; 0.233314; 0.116868;0.060057;0.001101;0.00029; 1e-05; true; 0.434395;1.39; 0.4164; 0.0000; 0.0217; 0.0001; 0.0000; True; 0.0218; 0.4388
