name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.0; 5.3e-05;0.00031;0.000312; 7.5e-05; false; 0.001345;0.05; 6.3e-05;0.058465;0.000395;0.00026199999999999997; 6.3e-05; false; 0.060144;0.01; 8.7e-05; 1e-05;0.0035380000000000003;0.0027380000000000004; 0.001556; false; 0.009346
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.0; 7.2e-05;0.00042699999999999997;0.000424; 9.5e-05; false; 0.001857;0.07; 7.7e-05;0.07346;0.000505;0.000348; 6.7e-05; false; 0.075663;0.01; 8.3e-05; 1.1e-05;0.004873000000000001;0.0034950000000000003; 0.001619; false; 0.011532
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.0; 7.4e-05;0.000565;0.000519; 0.000115; false; 0.002449;0.04; 7.5e-05;0.052204;0.000457;0.00029600000000000004; 6.1e-05; false; 0.054282;0.0; 6.1e-05; 6e-06;0.0032580000000000005;0.0022689999999999997; 0.000954; false; 0.007481
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;0.0; 7.8e-05;0.000554;0.000526; 0.000117; false; 0.00236;0.05; 7.2e-05;0.057853;0.000399;0.000274; 4.5e-05; false; 0.059768;0.0; 6.2e-05; 1.1e-05;0.003038;0.002214; 0.000943; false; 0.007215
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-5.mata;0.0; 8.5e-05;0.000579;0.000559; 0.000123; false; 0.002596;0.06; 7.9e-05;0.068257;0.00037299999999999996;0.000309; 6.1e-05; false; 0.070254;0.0; 6.3e-05; 8e-06;0.00296;0.0022170000000000002; 0.00095; false; 0.00717
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04001-1.mata;0.0; 6.5e-05;0.001762;0.000405; 0.000125; false; 0.005266;0.29; 0.00012;0.294679;0.002088;0.000577; 0.000114; false; 0.301655;0.01; 9.3e-05; 9e-06;0.005641;0.005245; 0.002589; false; 0.014689
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04390-1.mata;0.0; 7.8e-05;0.0005549999999999999;0.000547; 0.000115; false; 0.002433;0.07; 7.5e-05;0.078512;0.000529;0.00037799999999999997; 7.5e-05; false; 0.080885;0.01; 9.3e-05; 1e-05;0.004272;0.0032960000000000003; 0.001304; false; 0.010363
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04451-1.mata;0.0; 5.3e-05;0.000307;0.000303; 7.5e-05; false; 0.001366;0.06; 5.1e-05;0.069665;0.000422;0.000294; 6.5e-05; false; 0.071378;0.01; 0.0001; 1.5e-05;0.004679;0.003393; 0.001635; false; 0.011319
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.0; 8.2e-05;0.000585;0.000546; 0.000127; false; 0.002463;0.07; 9.5e-05;0.080237;0.000503;0.000319; 6.7e-05; false; 0.082469;0.0; 6.1e-05; 8e-06;0.0033620000000000004;0.00249; 0.00096; false; 0.007989
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;0.05; 0.000205;0.013812000000000001;0.012267; 0.001738; false; 0.059525;0.08; 0.000212;0.027344999999999998;0.011435;0.012546999999999999; 0.001209; false; 0.081546;0.33; 0.000308; 2.9e-05;0.12266099999999999;0.140187; 0.066945; false; 0.340066
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;0.34; 0.001742;0.099772;0.044272; 0.009174; false; 0.348905;0.4; 0.001748;0.101857;0.08438999999999999;0.042921; 0.007033; false; 0.416619;0.79; 0.001752; 9.3e-05;0.268739;0.350048; 0.174824; false; 0.811795
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;0.03; 0.000173;0.009685;0.008794999999999999; 0.002107; false; 0.039392;0.05; 0.000166;0.018194000000000002;0.007831999999999999;0.009566999999999999; 0.002692; false; 0.058102;0.18; 0.000205; 3.1e-05;0.065551;0.07480300000000001; 0.03779; false; 0.18449
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;0.02; 0.000113;0.0059050000000000005;0.006664; 0.002065; false; 0.026621;0.03; 0.000117;0.011333;0.00502;0.007485; 0.002189; false; 0.039534;0.15; 0.000137; 1.4e-05;0.049459;0.065207; 0.046436; false; 0.166635
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;0.1; 0.000463;0.026159;0.022349; 0.004336; false; 0.104127;0.1; 0.000219;0.019569999999999997;0.021483000000000002;0.021020999999999998; 0.003851; false; 0.112738;0.39; 0.000391; 4.5e-05;0.15073;0.164995; 0.076418; false; 0.403315
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;0.12; 0.001128;0.040454;0.014177; 0.001935; false; 0.135335;0.29; 0.000591;0.18162200000000003;0.030975;0.013545; 0.001513; false; 0.302104;0.37; 0.001065; 7.4e-05;0.142308;0.154281; 0.086025; false; 0.392284
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;0.09; 0.000357;0.024739999999999998;0.023693; 0.00552; false; 0.100152;0.07; 0.000199;0.016716;0.011858;0.01669; 0.00429; false; 0.076633;0.36; 0.000372; 3.6e-05;0.159435;0.159979; 0.064645; false; 0.395172
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;0.0; 6e-05;0.000328;0.00037299999999999996; 7.8e-05; false; 0.001531;0.05; 5.9e-05;0.060883;0.000377;0.000258; 6.2e-05; false; 0.062553;0.0; 8.3e-05; 8e-06;0.0034609999999999997;0.0024679999999999997; 0.000958; false; 0.008235
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.06; 0.000218;0.014123;0.013829000000000001; 0.004232; false; 0.06494;0.07; 0.00021;0.025107000000000004;0.009979;0.012216999999999999; 0.003228; false; 0.075218;0.32; 0.000359; 3.9e-05;0.122464;0.12931399999999998; 0.06269; false; 0.325686
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.05; 0.000446;0.019014;0.0068509999999999995; 0.001084; false; 0.062025;0.66; 0.00023;0.6452580000000001;0.0077800000000000005;0.005189; 0.000713; false; 0.67704;0.16; 0.000348; 2.6e-05;0.069227;0.06942999999999999; 0.023423; false; 0.168877
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.11; 0.000404;0.031351000000000004;0.028641; 0.007468; false; 0.12486;0.15; 0.000445;0.037229;0.027582;0.029553; 0.006346; false; 0.159869;0.37; 0.000297; 2.7e-05;0.14275100000000002;0.17021; 0.083372; false; 0.407254
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.07; 0.000367;0.020977;0.008667; 0.00249; false; 0.075123;0.07; 0.000207;0.044698;0.008916;0.0057350000000000005; 0.001228; false; 0.083635;0.17; 0.000387; 2.9e-05;0.06599000000000001;0.072488; 0.034737; false; 0.179171
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;1.5; 0.008924;0.569153;0.151559; 0.014607; false; 1.62275;1.22; 0.004877;0.23368500000000003;0.264889;0.08987799999999999; 0.02033; false; 1.22203;2.44; 0.008505; 0.000481;0.71122;1.203048; 0.633617; false; 2.57938
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.0; 0.000154;0.003248;0.001036; 0.000337; false; 0.010533;0.37; 0.000145;0.38315699999999997;0.002569;0.0008900000000000001; 0.0002; false; 0.392217;0.02; 0.000143; 1.2e-05;0.009938;0.008426; 0.004278; false; 0.024637
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;0.02; 0.000233;0.008121;0.0026449999999999998; 0.000695; false; 0.025487;1.14; 0.000215;1.1459;0.007235999999999999;0.0018930000000000002; 0.000511; false; 1.16779;0.02; 0.000126; 1.4e-05;0.009167;0.009714; 0.005063; false; 0.025366
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;0.01; 0.000133;0.004573000000000001;0.00103; 0.000326; false; 0.013468;0.94; 0.000122;0.9619329999999999;0.00396;0.001235; 0.000325; false; 0.974492;0.04; 0.000224; 2.2e-05;0.016585;0.017567; 0.009688; false; 0.04643
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-13.mata;0.0; 0.000103;0.000559;0.0005499999999999999; 0.000115; false; 0.002414;0.07; 9.4e-05;0.078249;0.0005239999999999999;0.000347; 6.8e-05; false; 0.080694;0.01; 0.000115; 1e-05;0.005551;0.004035; 0.001736; false; 0.013222
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-14.mata;0.0; 0.000126;0.003029;0.000801; 0.000296; false; 0.009614;0.46; 0.000175;0.46426;0.003018;0.0010479999999999999; 0.00031; false; 0.474391;0.02; 0.000152; 1.6e-05;0.010343;0.008794; 0.004428; false; 0.025893
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-15.mata;0.02; 0.000214;0.008203;0.00188; 0.000615; false; 0.02425;0.94; 0.000217;0.948074;0.0051459999999999995;0.0011949999999999999; 0.000315; false; 0.963217;0.04; 0.000223; 1.7e-05;0.015744;0.016273; 0.008948; false; 0.04324
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-16.mata;0.02; 0.000198;0.008456000000000002;0.001699; 0.000596; false; 0.024799;0.79; 0.000122;0.80187;0.003878;0.0010170000000000001; 0.000282; false; 0.813651;0.04; 0.00022; 1.7e-05;0.015917;0.016024; 0.008606; false; 0.042564
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-17.mata;0.0; 8.9e-05;0.000528;0.00053; 0.000117; false; 0.002374;0.07; 8.2e-05;0.081158;0.000536;0.000343; 6.9e-05; false; 0.083592;0.01; 0.000105; 1e-05;0.004998000000000001;0.0036130000000000003; 0.001594; false; 0.011812
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-18.mata;0.01; 0.000127;0.0033689999999999996;0.000818; 0.000285; false; 0.010355;0.35; 0.00015;0.357846;0.0024720000000000002;0.000694; 0.000196; false; 0.365941;0.03; 0.000148; 1.7e-05;0.010331;0.009011000000000002; 0.004908; false; 0.026407
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-19.mata;0.02; 0.000201;0.008744;0.001826; 0.000589; false; 0.025176;0.93; 0.000214;0.92763;0.005346;0.001235; 0.000357; false; 0.943922;0.04; 0.000234; 1.6e-05;0.016460000000000002;0.016845; 0.00873; false; 0.044546
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-2.mata;0.0; 0.000132;0.003074;0.0007030000000000001; 0.000227; false; 0.009496;0.34; 0.000133;0.349017;0.0019690000000000003;0.000572; 0.000118; false; 0.355682;0.02; 0.000126; 1.2e-05;0.009725999999999999;0.008329; 0.00428; false; 0.024049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-20.mata;0.02; 0.000205;0.008266;0.001593; 0.000483; false; 0.023619;0.98; 0.000191;0.990065;0.007863;0.0015970000000000001; 0.00054; false; 1.01234;0.02; 0.000129; 1e-05;0.009217;0.009608; 0.005044; false; 0.025125
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-21.mata;0.0; 6.5e-05;0.000294;0.000309; 7.5e-05; false; 0.001336;0.08; 7.7e-05;0.081763;0.0005430000000000001;0.000346; 6.4e-05; false; 0.084239;0.01; 9.1e-05; 1.4e-05;0.004179;0.003006; 0.001265; false; 0.009797
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-22.mata;0.0; 8.8e-05;0.0017629999999999998;0.00042; 0.000124; false; 0.005387;0.29; 7.5e-05;0.302052;0.0016749999999999998;0.000519; 0.000111; false; 0.307755;0.02; 0.000146; 1.2e-05;0.010128999999999999;0.008772; 0.004497; false; 0.025402
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-23.mata;0.02; 0.000215;0.008296;0.001692; 0.000496; false; 0.023638;0.79; 0.000198;0.797178;0.0044269999999999995;0.001167; 0.00032; false; 0.810869;0.04; 0.000218; 2.1e-05;0.01793;0.017432; 0.009874; false; 0.047753
