name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06622.mata;0.15; 0.132695; 0.007588; 0.000542; 0.000263; false; 0.160464;0.55; 0.062407; 0.49664; 0.007826; 0.000572; 0.000366; false; 0.579349;0.15; 0.117826; 0.006611; 0.016793; 0.005163; 0.004557; false; 0.164119
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06647.mata;0.52; 0.528561; 0.005375; 0.000132; 8.3e-05; false; 0.573666;0.6; 0.57214; 0.05046; 0.001949; 0.000131; 0.00018; false; 0.663976;0.43; 0.394458; 0.023456; 0.031739; 0.001193; 0.00082; false; 0.473989
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06650.mata;0.02; 0.015904; 0.00822; 0.000298; 5e-05; false; 0.027579;0.03; 0.01573; 0.010211; 0.00834; 0.000322; 4.5e-05; false; 0.03782;0.03; 0.015946; 0.000882; 0.011011; 0.003929; 0.0037; false; 0.03795
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06665.mata;0.01; 0.014919; 0.0011; 9.6e-05; 3.8e-05; false; 0.018671;0.04; 0.015183; 0.028555; 0.001182; 8.8e-05; 3.9e-05; false; 0.047656;0.02; 0.015163; 0.000881; 0.003783; 0.001546; 0.001019; false; 0.025026
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06671.mata;0.01; 0.010138; 0.001031; 8.9e-05; 2.8e-05; false; 0.013157;0.03; 0.009909; 0.01691; 0.001143; 8.4e-05; 6.7e-05; false; 0.029918;0.02; 0.010191; 0.000608; 0.003298; 0.001488; 0.000993; false; 0.018672
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06704.mata;0.01; 0.008195; 0.007244; 0.000469; 0.000299; false; 0.01978;0.03; 0.009563; 0.011838; 0.006977; 0.000452; 0.000299; false; 0.0319;0.04; 0.008375; 0.000522; 0.017216; 0.006525; 0.005176; false; 0.039855
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06722.mata;0.06; 0.058945; 0.003478; 0.000181; 0.000236; false; 0.071944;0.13; 0.05841; 0.067742; 0.003852; 0.000184; 0.000244; false; 0.139612;0.08; 0.059359; 0.003396; 0.008625; 0.002726; 0.002094; false; 0.083566
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06730.mata;0.01; 0.009835; 0.000679; 4.9e-05; 2.9e-05; false; 0.01233;0.04; 0.01915; 0.026706; 0.001505; 7.7e-05; 9.4e-05; false; 0.050705;0.03; 0.01916; 0.001055; 0.00377; 0.001431; 0.000919; false; 0.029242
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06770.mata;0.13; 0.06019; 0.067552; 0.002069; 0.000198; false; 0.14416;0.26; 0.036864; 0.14704; 0.064145; 0.002074; 0.000235; false; 0.264686;0.25; 0.057459; 0.003139; 0.167577; 0.013357; 0.01023; false; 0.258622
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06780.mata;0.0; 0.002596; 0.000955; 8.9e-05; 6.8e-05; false; 0.004733;0.0; 0.002522; 0.002052; 0.000982; 8.9e-05; 7e-05; false; 0.006621;0.01; 0.002574; 0.000179; 0.002616; 0.001453; 0.001062; false; 0.009124
