name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;1.68; 1.55702; 0.311802; 0.003005; 0.000122; 1.3e-05; false; 1.87399;1.64; 1.52271; 0.293116; 0.001264; 0.000113; 1.7e-05; 1.7e-05; false; 1.81895;1.55; 1.51828; 0.23029; 0.000325; 0.002091; 0.000951; 0.000598; false; 1.75429
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;1.51; 1.47133; 0.2122; 0.00171; 9.4e-05; 2.4e-05; false; 1.68671;1.73; 1.60591; 0.30974; 0.0013; 0.000121; 1.9e-05; 1.9e-05; false; 1.91891;0.95; 0.848091; 0.209163; 0.000552; 0.003457; 0.001487; 0.000873; false; 1.06606
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.01; 0.010626; 0.008505; 0.000409; 5.9e-05; 1.4e-05; false; 0.021558;0.01; 0.01145; 0.008591; 0.000451; 0.000192; 2.7e-05; 1e-05; false; 0.022671;0.02; 0.010586; 0.008608; 0.000142; 0.001654; 0.001033; 0.000311; false; 0.025027
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.05; 0.039526; 0.019417; 0.00133; 0.000115; 1.9e-05; false; 0.063846;0.05; 0.038349; 0.018494; 0.00157; 0.000291; 3.4e-05; 1.8e-05; false; 0.062274;0.05; 0.036456; 0.016108; 0.000427; 0.003303; 0.001505; 0.000802; false; 0.062108
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.09; 0.082155; 0.024283; 0.001247; 0.000101; 3.8e-05; false; 0.110125;0.08; 0.081885; 0.021309; 0.001286; 0.000238; 2.8e-05; 1.6e-05; false; 0.106717;0.1; 0.08123; 0.022566; 0.000387; 0.003267; 0.001418; 0.000782; false; 0.112567
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.33; 0.285331; 0.060524; 0.002801; 0.000398; 0.000125; false; 0.353517;0.29; 0.270519; 0.058947; 0.004267; 0.000724; 8e-05; 4.7e-05; false; 0.339018;0.31; 0.279001; 0.059655; 0.001255; 0.009362; 0.002356; 0.001917; false; 0.358434
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.15; 0.141948; 0.036795; 0.001722; 0.000166; 5.1e-05; false; 0.184029;0.11; 0.118176; 0.022126; 0.001407; 0.000331; 4.4e-05; 2e-05; false; 0.14399;0.18; 0.15; 0.039373; 0.000753; 0.004201; 0.001686; 0.001204; false; 0.202422
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;0.22; 0.194776; 0.042527; 0.001968; 0.000317; 6.2e-05; false; 0.243231;0.12; 0.10864; 0.029642; 0.001752; 0.000339; 5.9e-05; 2.1e-05; false; 0.142792;0.24; 0.196697; 0.050684; 0.000948; 0.00723; 0.00201; 0.001319; false; 0.263943
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.22; 0.191943; 0.051492; 0.00216; 0.000226; 6.1e-05; false; 0.249781;0.21; 0.192719; 0.042401; 0.002972; 0.000662; 9.2e-05; 3.8e-05; false; 0.24192;0.23; 0.194423; 0.044458; 0.000887; 0.006941; 0.001892; 0.001287; false; 0.253722
