name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.39; 0.336254; 0.082145; 0.000707; 0.00059; 0.000103; false; 0.432116;0.28; 0.242706; 0.064952; 0.00038; 0.000346; 6.7e-05; false; 0.316454;0.42; 0.336799; 0.086188;0.003059; 0.003012; 0.007274; 0.006642; false; 0.454968
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;0.42; 0.34974; 0.087704; 0.000932; 0.001075; 0.000181; false; 0.453711;0.43; 0.37111; 0.084993; 0.000401; 0.00037; 6.9e-05; false; 0.465968;0.26; 0.213116; 0.060003;0.0023150000000000002; 0.001932; 0.004293; 0.003874; false; 0.293584
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;0.27; 0.224932; 0.068379; 0.000434; 0.000427; 7.8e-05; false; 0.303409;0.47; 0.387103; 0.103959; 0.000992; 0.001111; 0.000136; false; 0.508858;0.48; 0.38983; 0.090884;0.0037340000000000003; 0.003455; 0.006885; 0.006419; false; 0.514433
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.31; 0.264648; 0.078456; 0.000468; 0.000608; 0.0001; false; 0.354297;0.33; 0.275339; 0.069544; 0.000468; 0.000502; 8.2e-05; false; 0.355824;0.5; 0.400308; 0.100634;0.003626; 0.003457; 0.008103; 0.008168; false; 0.540954
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.52; 0.439602; 0.107115; 0.001147; 0.001196; 0.000219; false; 0.569554;0.31; 0.26054; 0.077227; 0.000693; 0.000576; 9e-05; false; 0.350383;0.56; 0.441359; 0.114163;0.003736; 0.003439; 0.007315; 0.007403; false; 0.593212
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.32; 0.270457; 0.073384; 0.000523; 0.000566; 0.000108; false; 0.355537;0.52; 0.461597; 0.09804; 0.000545; 0.000748; 0.000124; false; 0.574805;0.59; 0.475295; 0.114921;0.005079; 0.004616; 0.009999; 0.009902; false; 0.637422
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.57; 0.489953; 0.11006; 0.001179; 0.001099; 0.000166; false; 0.621719;0.39; 0.28294; 0.119659; 0.001189; 0.001144; 0.000212; false; 0.42882;0.39; 0.289318; 0.09086;0.004684000000000001; 0.00409; 0.009142; 0.009098; false; 0.422871
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.06; 0.049916; 0.014672; 0.000106; 7.1e-05; 2.8e-05; false; 0.066894;0.03; 0.031787; 0.011508; 6.9e-05; 5.9e-05; 2.1e-05; false; 0.045053;0.05; 0.047693; 0.01158;0.00025299999999999997; 0.000635; 0.000802; 0.000479; false; 0.06371
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.59; 0.498324; 0.136382; 0.001244; 0.001191; 0.000178; false; 0.657878;0.43; 0.366545; 0.08997; 0.000729; 0.001212; 0.000156; false; 0.47518;0.67; 0.526086; 0.132709;0.005493; 0.004929; 0.012108; 0.011518; false; 0.716676
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.09; 0.079123; 0.014428; 0.000102; 6.9e-05; 2.9e-05; false; 0.095766;0.08; 0.077804; 0.020685; 0.000191; 0.000129; 4.4e-05; false; 0.101911;0.05; 0.043861; 0.01459;0.00036899999999999997; 0.000683; 0.00106; 0.000709; false; 0.063655
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.12; 0.102476; 0.027689; 0.00026; 0.000157; 5.6e-05; false; 0.134369;0.06; 0.057835; 0.018835; 0.000127; 8.7e-05; 3.8e-05; false; 0.079132;0.13; 0.103425; 0.027226;0.000902; 0.001404; 0.002261; 0.001593; false; 0.140977
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.15; 0.126413; 0.036473; 0.000328; 0.000203; 7.2e-05; false; 0.168166;0.08; 0.071713; 0.02219; 0.000171; 0.000112; 4.8e-05; false; 0.097065;0.13; 0.110196; 0.026737;0.0006670000000000001; 0.000975; 0.00153; 0.001178; false; 0.144581
