name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.06; 0.040351; 0.023545;7.699999999999999e-05;6.5e-05; 1e-05; true; 0.067166;0.04; 0.030254; 0.015072;0.001773;1.5e-05;8e-06; 6e-06; true; 0.049685;0.07; 0.052181; 0.020302;0.000553;0.000762;0.0005510000000000001; 0.000989; true; 0.078843
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.1; 0.081517; 0.038127;0.00010099999999999999;3.1e-05; 9e-06; true; 0.126609;0.13; 0.084797; 0.037199;0.019334;4.7999999999999994e-05;1.4999999999999999e-05; 7e-06; true; 0.148193;0.08; 0.047782; 0.023399;0.001118;0.000659;0.000531; 0.011721; true; 0.089766
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.04; 0.031242; 0.015389;4.9000000000000005e-05;1.9e-05; 7e-06; true; 0.049631;0.02; 0.01849; 0.009655;0.001202;1.9e-05;9e-06; 7e-06; true; 0.031371;0.04; 0.030532; 0.015491;0.000437;0.0008190000000000001;0.0006760000000000001; 0.001109; true; 0.053078
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.06; 0.044231; 0.029832;0.00148;0.0007289999999999999; 9e-06; true; 0.08207;0.08; 0.060372; 0.019934;0.006629;0.00019500000000000002;5.6999999999999996e-05; 5e-06; true; 0.090443;0.12; 0.075357; 0.032076;0.001171;0.005451999999999999;0.005852; 0.001689; true; 0.127234
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.08; 0.048046; 0.03404;0.0011530000000000002;0.000631; 1e-05; true; 0.090416;0.08; 0.057198; 0.023021;0.006147;0.00013900000000000002;4.2999999999999995e-05; 4e-06; true; 0.089979;0.12; 0.084167; 0.034211;0.0014619999999999998;0.004468;0.004269; 0.002434; true; 0.136817
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.06; 0.04139; 0.019736;0.001464;0.0007340000000000001; 0.000919; true; 0.068364;0.11; 0.072022; 0.029952;0.017166;0.0006889999999999999;0.000206; 0.000176; true; 0.125963;0.12; 0.072638; 0.027965;0.00129;0.009266;0.012443; 0.004253; true; 0.13296
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.01; 0.00892; 0.007242;7.300000000000001e-05;3.5e-05; 6e-06; true; 0.017678;0.01; 0.00854; 0.006694;0.0012499999999999998;4.6e-05;2.7e-05; 5e-06; true; 0.01807;0.02; 0.015906; 0.010881;0.000304;0.000973;0.00094; 0.001016; true; 0.033356
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.02; 0.022203; 0.009702;0.00035800000000000003;0.00013299999999999998; 7e-06; true; 0.033963;0.02; 0.020096; 0.009259;0.001417;6.1000000000000005e-05;4.1e-05; 4e-06; true; 0.032085;0.05; 0.036659; 0.010538;0.000182;0.0013080000000000001;0.001398; 0.000784; true; 0.052621
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.03; 0.027017; 0.010063;5.9999999999999995e-05;2.6000000000000002e-05; 6e-06; true; 0.038427;0.03; 0.025516; 0.011206;0.000864;2.7e-05;1.2000000000000002e-05; 6e-06; true; 0.038788;0.06; 0.045547; 0.015498;0.000301;0.0009170000000000001;0.0009099999999999999; 0.001413; true; 0.067249
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.33; 0.258527; 0.087329;0.0017699999999999999;0.0005979999999999999; 8e-06; true; 0.360747;0.38; 0.25671; 0.085674;0.056078;0.001014;0.000261; 1e-05; true; 0.421608;1.06; 0.295808; 0.125572;0.00808;0.007333;0.011121; 0.627322; true; 1.09456
