name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;10.12; 6.37903; 3.84839; 0.011721; 0.001359; false; 10.7586;6.82; 6.0099; 0.749177; 0.009151; 0.000429; 0.002084; false; 7.4576;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;0.0; 0.002119; 0.00036; 5.5e-05; 1.4e-05; false; 0.00305;0.0; 0.002071; 0.000409; 0.000219; 3.6e-05; 1e-05; false; 0.003226;0.0; 0.002068; 0.000122; 0.001147; 0.000641; 0.000278; false; 0.005252
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;0.0; 0.007239; 0.001027; 5.4e-05; 3.4e-05; false; 0.009437;0.0; 0.007137; 0.001425; 0.000245; 2.8e-05; 1.5e-05; false; 0.009854;0.01; 0.006935; 0.000384; 0.002357; 0.001045; 0.000707; false; 0.012869
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;0.01; 0.014905; 0.001849; 0.000117; 6.1e-05; false; 0.01903;0.01; 0.01466; 0.002672; 0.000418; 5.6e-05; 2.9e-05; false; 0.019854;0.02; 0.014649; 0.000714; 0.003629; 0.001372; 0.001073; false; 0.023498
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;0.04; 0.047639; 0.004356; 0.000391; 0.000153; false; 0.05865;0.05; 0.047809; 0.008798; 0.001186; 0.000119; 7.4e-05; false; 0.063766;0.07; 0.047873; 0.002386; 0.01626; 0.00301; 0.002673; false; 0.077404
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;0.02; 0.026567; 0.002665; 0.000304; 0.000108; false; 0.03316;0.03; 0.026648; 0.004657; 0.001043; 0.000129; 6e-05; false; 0.035992;0.03; 0.027115; 0.001341; 0.005428; 0.00195; 0.001613; false; 0.040896
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;0.04; 0.036661; 0.0032; 0.000374; 0.000124; false; 0.044855;0.04; 0.035046; 0.005793; 0.001087; 5.5e-05; 7.4e-05; false; 0.046224;0.09; 0.066991; 0.003382; 0.020712; 0.003762; 0.003377; false; 0.105895
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.07; 0.065002; 0.00656; 0.000511; 0.000186; false; 0.081536;0.07; 0.063043; 0.005603; 0.001067; 5.3e-05; 6.7e-05; false; 0.073878;0.1; 0.066947; 0.003371; 0.02005; 0.003446; 0.003047; false; 0.103562
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.0; 0.007118; 0.00131; 0.000107; 4e-05; false; 0.009649;0.01; 0.013673; 0.002478; 0.001018; 8.5e-05; 4.1e-05; false; 0.019128;0.02; 0.013643; 0.000673; 0.004469; 0.001698; 0.001213; false; 0.023888
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.01; 0.007537; 0.001329; 0.000134; 4.2e-05; false; 0.010207;0.01; 0.010178; 0.002439; 0.001196; 5.5e-05; 4.6e-05; false; 0.015768;0.02; 0.01369; 0.000753; 0.004567; 0.001715; 0.001236; false; 0.024151
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.05; 0.051474; 0.005619; 0.00039; 0.000168; false; 0.064017;0.06; 0.05293; 0.008134; 0.002099; 0.000162; 0.000103; false; 0.06943;0.07; 0.050799; 0.002699; 0.009452; 0.003611; 0.002828; false; 0.074966
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.06; 0.053289; 0.004874; 0.00037; 0.000173; false; 0.065352;0.06; 0.052171; 0.008802; 0.002066; 0.000177; 0.000103; false; 0.069289;0.06; 0.053951; 0.002358; 0.005874; 0.001966; 0.001668; false; 0.071415
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.07; 0.063431; 0.00654; 0.000517; 0.000208; false; 0.078161;0.07; 0.06355; 0.010432; 0.001823; 0.000173; 0.000116; false; 0.082911;0.09; 0.062636; 0.003144; 0.020401; 0.003623; 0.003221; false; 0.099287
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.04; 0.032896; 0.006429; 0.00041; 0.000194; false; 0.045206;0.08; 0.070906; 0.010269; 0.002237; 0.000181; 0.000125; false; 0.090708;0.05; 0.036652; 0.001636; 0.012503; 0.002324; 0.002269; false; 0.059084
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.05; 0.053893; 0.005559; 0.000359; 0.000167; false; 0.066201;0.06; 0.052998; 0.008258; 0.002101; 0.000163; 0.000103; false; 0.06957;0.04; 0.027117; 0.001346; 0.005379; 0.001961; 0.00169; false; 0.040635
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.07; 0.062581; 0.006587; 0.000426; 0.000199; false; 0.077114;0.04; 0.03254; 0.006516; 0.001133; 0.000107; 6.6e-05; false; 0.044293;0.09; 0.061924; 0.003241; 0.020722; 0.004076; 0.003544; false; 0.09976
