name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;2.36; 0.395228; 0.179143; 1.79512; false; 2.40621;2.58; 0.677002; 0.21131; 0.001217; 1.72782; false; 2.65207;1.55; 0.697349; 0.294294;0.019785; 0.535744; false; 1.60795
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;3.47; 0.699472; 0.265004; 2.53736; false; 3.56363;2.29; 0.408603; 0.191658; 0.001332; 1.69483; false; 2.3406;0.93; 0.42105; 0.173599;0.010614; 0.339991; false; 0.976105
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;2.63; 0.458551; 0.167402; 2.032; false; 2.69278;3.69; 0.635696; 0.274145; 0.002115; 2.79413; false; 3.76403;1.41; 0.665696; 0.267755;0.016394; 0.482177; false; 1.48194
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;3.64; 0.679205; 0.259802; 2.72615; false; 3.71956;3.41; 0.659075; 0.263731; 0.002259; 2.5088; false; 3.49258;1.31; 0.646141; 0.251297;0.016442; 0.43659; false; 1.39639
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.74; 0.320463; 0.128666; 0.315613; false; 0.79148;0.74; 0.31304; 0.123362; 0.000937; 0.324158; false; 0.785132;0.47; 0.313225; 0.101441;0.004494; 0.079154; false; 0.511784
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.6; 0.284677; 0.12376; 0.20351; false; 0.636196;0.46; 0.191183; 0.083868; 0.000568; 0.194478; false; 0.48605;0.52; 0.287694; 0.101877;0.006758; 0.141515; false; 0.55563
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.54; 0.275908; 0.088414; 0.192458; false; 0.573044;0.75; 0.345605; 0.137107; 0.001205; 0.265638; false; 0.781403;0.64; 0.357164; 0.127126;0.007883000000000001; 0.160096; false; 0.675422
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.77; 0.322024; 0.141643; 0.317137; false; 0.809484;0.47; 0.199371; 0.08886; 0.000569; 0.196049; false; 0.500309;0.61; 0.307589; 0.130763;0.008864; 0.17898; false; 0.650681
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.59; 0.191163; 0.092166; 0.307106; false; 0.614082;0.71; 0.257335; 0.13576; 0.001011; 0.32251; false; 0.743861;0.42; 0.1907; 0.095172;0.00823; 0.142528; false; 0.457853
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.66; 0.290389; 0.114587; 0.270134; false; 0.695842;0.7; 0.272884; 0.11599; 0.000986; 0.315655; false; 0.73056;0.63; 0.286666; 0.105053;0.006584; 0.249336; false; 0.667637
