name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;1.14; 0.297405; 0.079767; 0.568029; 0.309662; 0.000301; false; 1.27094;0.68; 0.218219; 0.055634; 0.000305; 0.328488; 0.177688; 0.00031; false; 0.792431;5.88; 0.307844; 0.089109;0.003031; 2.20196; 2.47639; 0.622478; false; 5.71418
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.7; 0.192678; 0.053978; 0.3846; 0.182597; 0.000146; false; 0.824109;1.08; 0.303985; 0.082016; 0.000637; 0.573138; 0.252784; 0.000321; false; 1.23013;7.96; 0.296559; 0.087617;0.0030299999999999997; 2.33585; 3.93927; 0.968745; false; 7.64299
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;1.46; 0.31743; 0.105983; 0.8842; 0.312627; 0.003987; false; 1.65011;0.82; 0.206059; 0.063838; 0.000353; 0.441927; 0.216234; 0.002184; false; 0.94296;9.75; 0.319956; 0.099816;0.0029769999999999996; 2.96489; 4.70116; 1.20775; false; 9.30899
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;1.57; 0.390584; 0.103805; 0.884455; 0.366369; 0.000414; false; 1.76348;1.48; 0.221493; 0.085347; 0.000713; 0.958199; 0.385638; 0.000221; false; 1.67127;10.55; 0.355485; 0.097308;0.0030210000000000002; 3.75196; 4.43175; 1.39299; false; 10.0474
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;1.8; 0.404564; 0.108772; 1.01977; 0.45169; 0.000254; false; 2.00987;1.14; 0.232295; 0.069886; 0.000424; 0.657782; 0.318232; 0.000178; false; 1.29437;12.8; 0.366869; 0.100617;0.003444; 4.2416; 6.03341; 1.68613; false; 12.4455
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;1.2; 0.248224; 0.076535; 0.709642; 0.329223; 0.000192; false; 1.3789;1.27; 0.249757; 0.077105; 0.000432; 0.776448; 0.325845; 0.000196; false; 1.44623;13.36; 0.399896; 0.110211;0.003718; 4.65019; 6.18586; 1.64474; false; 13.0106
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;2.26; 0.269917; 0.078878; 1.56693; 0.58061; 0.000274; false; 2.52488;2.01; 0.45557; 0.133054; 0.001056; 1.23051; 0.405147; 0.000485; false; 2.2575;14.25; 0.435603; 0.107172;0.0043300000000000005; 4.86578; 6.67094; 1.60238; false; 13.7011
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;2.06; 0.281927; 0.092623; 1.3261; 0.591748; 0.000558; false; 2.32135;1.67; 0.291555; 0.09111; 0.000455; 0.930278; 0.590828; 0.000261; false; 1.92758;19.8; 0.472715; 0.130547;0.004572; 6.34895; 9.51207; 2.43671; false; 18.9238
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.07; 0.045944; 0.015339; 0.0129; 0.007274; 2.9e-05; false; 0.084372;0.07; 0.05015; 0.018032; 0.006643; 0.004972; 0.003441; 1.7e-05; false; 0.086045;0.17; 0.048865; 0.015889;0.000468; 0.032579; 0.056662; 0.017004; false; 0.174841
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;1.94; 0.530258; 0.124639; 1.05445; 0.451219; 0.000306; false; 2.1902;2.65; 0.465165; 0.121929; 0.000836; 1.73881; 0.624366; 0.000273; false; 2.98087;19.15; 0.295434; 0.100861;0.002807; 6.04885; 8.8372; 2.84207; false; 18.1394
