name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-intersection;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-interall;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-37-*.mata;TO;0.1096244;0.3698774;6.0119354;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.224066; 0.766118;1.0340669999999998;29.905823; 0.366513;MISSING;MISSING;MISSING;TO; 0.226334; 0.829975;0.154105;13.742769000000001;31.625543999999998;MISSING;MISSING;MISSING;2.29; 0.290017; 1.28488;0.00019399999999999992; 5e-06; true; 2.41682;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;52.728188227;MISSING;MISSING;MISSING;MISSING;MISSING;7.08;1.2650480119999998; 1.02602E-4; 0.001358145; false; 0.014322784; 2.523963083
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-38-*.mata;TO;0.11387870000000001;0.3621321;6.0635014;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.254345; 0.863565;1.1229460000000002;26.576953; 0.297985;MISSING;MISSING;MISSING;TO; 0.128503; 0.650631;0.167312;11.445533;33.065874;MISSING;MISSING;MISSING;2.25; 0.308359; 1.18783;0.00046999999999999993; 5e-06; true; 2.38798;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;49.548621701;MISSING;MISSING;MISSING;MISSING;MISSING;6.48;1.327144854; 1.13212E-4; 0.001207834; false; 0.009449064; 2.391985317
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-39-*.mata;TO;0.1952876;0.4142546;5.9253326;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.247452; 0.659417;0.6834950000000001;27.544741; 0.22747;MISSING;MISSING;MISSING;TO; 0.25604; 0.965652;0.17504200000000003;13.886083;34.251049;MISSING;MISSING;MISSING;2.37; 0.26312; 1.33834;0.0002099999999999999; 4e-06; true; 2.50525;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;56.816777968;MISSING;MISSING;MISSING;MISSING;MISSING;7.45;1.579831741; 9.8053E-5; 0.001059984; false; 0.007560285; 2.680139708
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-4-*.mata;TO;0.0484042;0.19223459999999998;2.59625;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.003907; 0.011075;0.00494;2.84344;6.749646;MISSING;MISSING;MISSING;TO; 0.003655; 0.009357;0.0008269999999999999;1.0811549999999999;3.602242;MISSING;MISSING;MISSING;0.47; 0.00318; 0.008428;3.1e-05; 5e-06; true; 0.015276;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.77;0.369696469; 3.689E-5; 0.004540007; false; 0.011548403; 0.533660965;1.19;0.038693051; 1.15542E-4; 0.001223317; false; 0.008379824; 0.176761081
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-40-*.mata;TO;0.18428890000000006;0.9392158;7.801108;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.299345; 0.859471;0.6847989999999999;28.289839; 0.22461;MISSING;MISSING;MISSING;TO; 0.282263; 0.994011;0.18927100000000002;13.874649000000002;36.543417999999996;MISSING;MISSING;MISSING;2.24; 0.130144; 1.05117;0.0003130000000000002; 7e-06; true; 2.13652;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;56.516348415;MISSING;MISSING;MISSING;MISSING;MISSING;7.98;1.531066291; 1.09581E-4; 0.001112169; false; 0.010115527; 2.88689698
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-41-*.mata;TO;0.215332;0.304489;6.594780900000001;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.285803; 1.13986;1.343862;36.410868; 0.307455;MISSING;MISSING;MISSING;TO; 0.268678; 0.983914;0.172949;9.312064;35.736368;MISSING;MISSING;MISSING;2.65; 0.329319; 1.37071;0.00021299999999999992; 5e-06; true; 2.77144;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;48.619547357;MISSING;MISSING;MISSING;MISSING;MISSING;7.98;1.6713338420000006; 1.17124E-4; 0.001185299; false; 0.008192562; 2.963952159
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-42-*.mata;TO;0.18045800000000006;0.40607970000000004;6.4019931;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.277216; 1.1107;11.596176;1.97857;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.274143; 0.82772;0.16748300000000008;11.686027999999999;36.983362;MISSING;MISSING;MISSING;2.54; 0.156738; 1.33059;0.00027600000000000015; 7e-06; true; 2.63853;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;53.551410114999996;MISSING;MISSING;MISSING;MISSING;MISSING;7.76;1.6539660900000002; 1.46887E-4; 0.001408231; false; 0.015754791; 3.265104678
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-43-*.mata;TO;0.1433788;0.40518400000000004;5.0354385;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.308038; 1.16491;1.3870699999999998;33.315337; 0.286235;MISSING;MISSING;MISSING;TO; 0.316504; 1.28771;0.11512799999999998;16.438713;37.867676;MISSING;MISSING;MISSING;3.0; 0.391897; 1.74587;0.00021199999999999995; 4e-06; true; 3.38563;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;50.596675329;MISSING;MISSING;MISSING;MISSING;MISSING;8.36;1.9156326320000006; 1.13286E-4; 0.001214956; false; 0.008899994; 3.3924427
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-44-*.mata;TO;0.2411349;0.3454838;6.2104711;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.379719; 1.20518;1.4886329999999999;32.056931; 0.275322;MISSING;MISSING;MISSING;TO; 0.323924; 1.28064;0.21865199999999999;16.926376;37.763352;MISSING;MISSING;MISSING;3.07; 0.496298; 1.87922;0.00025; 4e-06; true; 3.74664;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;47.734302303999996;MISSING;MISSING;MISSING;MISSING;MISSING;8.11;1.8369373730000007; 9.9539E-5; 0.005963761; false; 0.013113723; 2.899842827
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-45-*.mata;TO;0.2545113;0.2986086;5.128233300000001;MISSING;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.193537; 0.796899;1.917414;39.507148; 0.338826;MISSING;MISSING;MISSING;TO; 0.335457; 1.43792;0.18721899999999997;13.768162;39.301602;MISSING;MISSING;MISSING;2.94; 0.451809; 1.4609;0.000293; 4e-06; true; 3.33956;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;48.27131433300001;MISSING;MISSING;MISSING;MISSING;MISSING;8.05;1.8795311650000002; 1.0342E-4; 0.001086064; false; 0.007660596; 3.293207502
