name;automata-runtime;automata-construction;automata-trim;automata-compl;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;0.26; 0.0741583000;0.0100155; 0.1062496000; 0.0003844000; False; 0.1196600000; 0.2686441000;0.07; 0.064282; 0.007376; 0.000554; 0.000177; false; 0.080649;0.07; 0.061825; 0.007009; 0.000457; 0.00019; false; 0.077429;0.17; 0.06518; 0.034214; 0.0339; 0.013833; 0.015538; false; 0.169637;0.1; 0.065859; 0.004642; 0.023091; 0.004737; 0.004358; false; 0.110132;ERR;1.28; 0.1022; 0.0000; 0.0108; 0.0006; 0.0000; False; 0.0114; 0.1147;1.7; 0.0997; 0.0599; 0.2958; 0.3071; 0.0511; False; 0.3583; 0.5188;0.95; 0.0596; 0.0187; 0.0373; 0.0418; 0.0001; False; 0.0419; 0.1209;2.41; 0.368889227; 0.041573084; 0.002319225; false; 0.051453564; 0.680731917;2.08; 0.31858685; 0.085602847; 5.0143E-5; false; 0.095194304; 0.768609987
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;0.19; 0.0474201000;0.0093951; 0.0730284000; 0.0001431000; False; 0.0855117000; 0.1974111000;0.01; 0.013318; 0.002908; 0.00011; 4.2e-05; false; 0.018214;0.01; 0.013467; 0.003178; 0.000235; 7.4e-05; false; 0.019092;0.03; 0.014249; 0.0061; 0.012108; 0.003909; 0.003624; false; 0.041615;0.02; 0.013713; 0.000967; 0.004152; 0.00229; 0.001617; false; 0.024956;ERR;1.27; 0.0310; 0.0000; 0.0063; 0.0002; 0.0000; False; 0.0066; 0.0382;1.15; 0.0155; 0.0036; 0.0492; 0.0499; 0.0033; False; 0.0533; 0.0727;1.04; 0.0199; 0.0075; 0.0298; 0.0334; 0.0001; False; 0.0336; 0.0613;1.51; 0.239779668; 0.077444458; 0.006328447; false; 0.090493857; 0.49071272;1.39; 0.067730869; 0.043352239; 3.9522E-5; false; 0.055658472; 0.277387786
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;0.2; 0.0498945000;0.0094775; 0.0824901000; 0.0001786000; False; 0.0949033000; 0.2006425000;0.01; 0.013652; 0.003071; 0.000196; 7.7e-05; false; 0.018866;0.01; 0.013657; 0.003104; 0.000197; 6.9e-05; false; 0.018898;0.04; 0.014943; 0.006606; 0.012584; 0.003098; 0.003026; false; 0.04173;0.01; 0.007825; 0.000523; 0.003546; 0.001348; 0.001066; false; 0.015813;ERR;0.94; 0.0159; 0.0000; 0.0028; 0.0001; 0.0000; False; 0.0030; 0.0193;1.24; 0.0304; 0.0073; 0.0962; 0.0970; 0.0038; False; 0.1008; 0.1389;1.25; 0.0292; 0.0076; 0.0304; 0.0340; 0.0001; False; 0.0342; 0.0713;1.72; 0.284253943; 0.060380444; 0.00152001; false; 0.067167153; 0.503106195;1.21; 0.068061666; 0.075207145; 3.2379E-5; false; 0.092388313; 0.312887405
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;0.21; 0.0577827000;0.0095418; 0.1022415000; 0.0003601000; False; 0.1150953000; 0.2184220000;0.04; 0.044535; 0.007195; 0.000639; 0.000192; false; 0.058918;0.05; 0.049353; 0.006235; 0.000493; 0.000171; false; 0.062058;0.14; 0.052927; 0.029292; 0.031031; 0.012683; 0.01356; false; 0.144858;0.08; 0.051968; 0.003552; 0.01155; 0.004015; 0.003776; false; 0.080273;ERR;1.02; 0.0461; 0.0000; 0.0063; 0.0002; 0.0000; False; 0.0066; 0.0533;1.43; 0.0879; 0.0542; 0.2535; 0.2565; 0.0273; False; 0.2839; 0.4267;1.32; 0.0809; 0.0273; 0.0656; 0.0737; 0.0001; False; 0.0739; 0.1827;2.45; 0.342064121; 0.047267996; 0.002098486; false; 0.060297351; 0.628546432;2.06; 0.205371397; 0.078480453; 4.4629E-5; false; 0.118880939; 0.614003618
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;0.25; 0.0678129000;0.009903; 0.1002902000; 0.0003584000; False; 0.1136074000; 0.2450120000;0.04; 0.04997; 0.003379; 0.000245; 9.9e-05; false; 0.057838;0.06; 0.052342; 0.006648; 0.000465; 0.000182; false; 0.066284;0.13; 0.05224; 0.027376; 0.030179; 0.010822; 0.011077; false; 0.137264;0.08; 0.054575; 0.00378; 0.012244; 0.004294; 0.003665; false; 0.084186;ERR;1.03; 0.0463; 0.0000; 0.0068; 0.0003; 0.0000; False; 0.0071; 0.0541;1.71; 0.0849; 0.0494; 0.2549; 0.2578; 0.0275; False; 0.2854; 0.4205;1.38; 0.0838; 0.0260; 0.0636; 0.0736; 0.0001; False; 0.0738; 0.1843;2.35; 0.32335155; 0.033136348; 0.001974119; false; 0.040990079; 0.561380538;1.73; 0.081397006; 0.099957492; 3.6281E-5; false; 0.124417592; 0.432636266
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;0.19; 0.0427536000;0.0074503; 0.1021244000; 0.0003465000; False; 0.1121307000; 0.1959082000;0.03; 0.036306; 0.003996; 0.000409; 0.000128; false; 0.045043;0.07; 0.061497; 0.007711; 0.000483; 0.000198; false; 0.076983;0.14; 0.048744; 0.031998; 0.037053; 0.013892; 0.014164; false; 0.150328;0.1; 0.06333; 0.004431; 0.024346; 0.004843; 0.004408; false; 0.107752;ERR;1.26; 0.0939; 0.0000; 0.0121; 0.0006; 0.0000; False; 0.0128; 0.1078;1.26; 0.0528; 0.0341; 0.1649; 0.1666; 0.0193; False; 0.1859; 0.2733;1.35; 0.0972; 0.0306; 0.0462; 0.0505; 0.0001; False; 0.0506; 0.1790;2.42; 0.312202308; 0.034302899; 0.001943011; false; 0.042787123; 0.552191437;1.89; 0.145294534; 0.047257619; 3.7179E-5; false; 0.05490455; 0.428993991
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;0.25; 0.0723853000;0.010499; 0.1033534000; 0.0003408000; False; 0.1173520000; 0.2801720000;0.07; 0.060083; 0.007505; 0.000461; 0.000213; false; 0.076128;0.06; 0.056877; 0.007773; 0.000807; 0.000254; false; 0.073208;0.14; 0.06113; 0.030973; 0.033629; 0.011712; 0.012573; false; 0.155631;0.09; 0.060222; 0.004138; 0.020467; 0.00471; 0.00287; false; 0.098831;ERR;1.12; 0.0518; 0.0000; 0.0071; 0.0003; 0.0000; False; 0.0074; 0.0599;1.35; 0.0539; 0.0342; 0.1704; 0.1721; 0.0220; False; 0.1942; 0.2830;1.31; 0.0940; 0.0320; 0.0755; 0.0845; 0.0001; False; 0.0847; 0.2115;2.51; 0.36858205; 0.056292874; 0.002632649; false; 0.065324031; 0.636081422;1.95; 0.163615215; 0.07257727; 3.7509E-5; false; 0.08048981; 0.489507846
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;0.2; 0.0508723000;0.0091777; 0.0829596000; 0.0001512000; False; 0.0972916000; 0.2162847000;0.05; 0.050867; 0.00637; 0.000736; 0.000175; false; 0.064738;0.03; 0.036201; 0.003338; 0.0004; 0.000101; false; 0.044324;0.12; 0.034714; 0.029015; 0.03149; 0.00752; 0.012956; false; 0.121154;0.08; 0.051091; 0.003698; 0.011792; 0.004183; 0.003841; false; 0.080363;ERR;1.13; 0.0829; 0.0000; 0.0098; 0.0003; 0.0000; False; 0.0102; 0.0940;1.53; 0.0844; 0.0323; 0.1784; 0.1798; 0.0155; False; 0.1954; 0.3125;1.0; 0.0486; 0.0151; 0.0329; 0.0368; 0.0001; False; 0.0370; 0.1011;2.54; 0.392845052; 0.074721932; 0.007939001; false; 0.088131663; 0.703253842;2.04; 0.172338386; 0.046331339; 3.4582E-5; false; 0.053708252; 0.573575457
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.19; 0.0460880000;0.0058264; 0.0847295000; 0.0003219000; False; 0.0934808000; 0.1907896000;0.07; 0.062595; 0.007857; 0.000607; 0.000226; false; 0.079281;0.06; 0.059744; 0.007851; 0.000735; 0.000212; false; 0.075657;0.16; 0.063866; 0.034205; 0.037535; 0.014133; 0.015682; false; 0.171273;0.09; 0.053661; 0.004214; 0.023908; 0.004659; 0.004281; false; 0.097762;ERR;1.3; 0.0903; 0.0000; 0.0111; 0.0004; 0.0000; False; 0.0116; 0.1029;1.26; 0.0516; 0.0342; 0.1655; 0.1672; 0.0191; False; 0.1864; 0.2726;1.38; 0.0999; 0.0335; 0.0787; 0.0881; 0.0001; False; 0.0882; 0.2228;2.37; 0.302338665; 0.032966099; 0.002020158; false; 0.041669629; 0.604328489;1.88; 0.097014585; 0.048302748; 3.9243E-5; false; 0.055865415; 0.397190511
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.24; 0.0607578000;0.0094422; 0.1031524000; 0.0003168000; False; 0.1154354000; 0.2939950000;0.06; 0.050734; 0.007523; 0.000465; 0.000203; false; 0.066542;0.06; 0.054647; 0.006606; 0.000465; 0.000201; false; 0.069932;0.08; 0.033792; 0.016811; 0.020151; 0.008067; 0.007664; false; 0.089772;0.09; 0.059239; 0.004128; 0.023249; 0.004439; 0.003982; false; 0.10121;ERR;1.08; 0.0546; 0.0000; 0.0076; 0.0004; 0.0000; False; 0.0081; 0.0635;1.61; 0.0917; 0.0646; 0.3001; 0.3033; 0.0354; False; 0.3387; 0.4957;1.39; 0.0875; 0.0335; 0.0797; 0.0891; 0.0001; False; 0.0893; 0.2111;2.39; 0.336133444; 0.040428942; 0.002152913; false; 0.048764509; 0.576223702;1.93; 0.105915671; 0.07334097; 3.7968E-5; false; 0.081904203; 0.493168325
