name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;TO;0.22521780000000002;0.0068688;TO; 0.278817; 0.083001;TO; 0.252036; 0.063538;TO; 0.239341; 0.071419;0.016255;TO; 0.262736; 0.067524;0.002676;TO; 0.258274; 0.074842;TO;TO;TO;TO;TO;0.106832176
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;TO;0.1279991;0.0106432;TO; 0.309555; 0.07997;TO; 0.297613; 0.080103;TO; 0.292349; 0.076723;0.019612;TO; 0.283586; 0.080185;0.002895;TO; 0.260136; 0.074827;TO;TO;TO;TO;TO;0.088098175
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;TO;0.19614369999999998;0.0106286;TO; 0.341561; 0.092669;TO; 0.293478; 0.095404;TO; 0.304475; 0.079637;0.018285999999999997;TO; 0.294028; 0.077035;0.003324;TO; 0.30287; 0.076637;TO;TO;TO;TO;TO;0.185033423
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;TO;0.2995489;0.0114059;TO; 0.361744; 0.107921;TO; 0.310595; 0.073438;TO; 0.324591; 0.088944;0.022095999999999998;TO; 0.332464; 0.098328;0.003423;TO; 0.271092; 0.069351;TO;TO;TO;TO;TO;0.128639842
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;TO;0.2968067;0.0087341;TO; 0.399048; 0.104298;TO; 0.360105; 0.094255;TO; 0.331276; 0.084127;0.023764;TO; 0.353259; 0.096365;0.003394;TO; 0.35926; 0.100097;TO;TO;TO;TO;TO;0.093660592
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;TO;0.2242722;0.0121624;TO; 0.416395; 0.129581;TO; 0.381849; 0.095209;TO; 0.369739; 0.116799;0.027443000000000002;TO; 0.38587; 0.104733;0.004189;TO; 0.417347; 0.118649;TO;TO;TO;TO;TO;0.16216274
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;TO;0.26538419999999996;0.011637;TO; 0.397538; 0.140527;TO; 0.369092; 0.114039;TO; 0.420972; 0.110689;0.031529;TO; 0.42705; 0.122615;0.003791;TO; 0.380687; 0.118879;TO;TO;TO;TO;TO;0.152961292
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;TO;0.2526387;0.011575;TO; 0.425292; 0.11051;TO; 0.44461; 0.105445;TO; 0.466266; 0.119992;0.032293;TO; 0.35737; 0.108568;0.004873000000000001;TO; 0.378349; 0.101607;TO;TO;TO;TO;TO;0.13899861200000002
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;TO;0.2109443;0.0426395;TO; 0.496777; 0.13386;TO; 0.309932; 0.102044;TO; 0.464091; 0.1208;0.036582;TO; 0.458376; 0.122033;0.004855999999999999;TO; 0.277076; 0.091152;TO;TO;TO;TO;TO;0.146907078
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;TO;0.25909139999999997;0.0099797;TO; 0.454322; 0.13634;TO; 0.467265; 0.115601;TO; 0.41261; 0.108354;0.029193999999999998;TO; 0.419426; 0.110944;0.0038130000000000004;TO;MISSING;MISSING;TO;TO;TO;TO;TO;0.179236118
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;TO;0.0822261;0.009156000000000001;TO; 0.05215; 0.01654;TO; 0.047005; 0.015731;TO; 0.048203; 0.016567;0.0029560000000000003;TO; 0.055174; 0.017303;0.000543;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.042977202
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;TO;0.33033840000000003;0.0073149;TO; 0.523595; 0.13115;TO; 0.52221; 0.137;TO; 0.497404; 0.132126;0.039474999999999996;TO; 0.491908; 0.128804;0.005308;TO; 0.468924; 0.124726;TO;TO;TO;TO;TO;0.15185718199999998
