name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;mona-uni;mona-emptiness_check;mona-emptiness_check_result;mona-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;pyautomata-lib-interpretation;pyautomata-lib-overall;java-automatalib-runtime;java-automatalib-construction;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-57-*.mata;1.49;0.5118657000000001;0.22904729999999993;0.5207217000000001; 0.0001414000; False; 0.7597975000; 1.3164291000;2.14; 1.47245; 0.507467;0.011818;0.16825500000000002; 0.002116; false; 2.26435;1.85; 1.28594; 0.491546;0.007712000000000001;0.08925999999999999; 0.002079; false; 1.96775;8.53; 1.39047; 0.495768;0.15124599999999996;3.0487540000000006;3.259746; 0.122137; false; 8.5487;2.25; 0.828242; 0.276362;0.011374000000000002;0.34765299999999993;0.7764640000000002; 0.031446; false; 2.32045;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.84; 2.0079; 0.0000; 0.7160; 0.0076; 0.0168; False; 0.7405; 2.7544;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;6.44;1.7544908299999997; 3.4402E-5; 0.003452087; false; 0.021589256; 2.166090787;2.61;0.311066701; 9.8798E-5; 0.001154229; false; 0.008182431; 0.716939879
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-58-*.mata;1.61;0.5009891;0.2596135;0.5673260999999999; 0.0001953000; False; 0.8361856000; 1.3803827000;2.04; 1.42429; 0.493022;0.011401999999999999;0.146945; 0.001942; false; 2.15001;1.76; 1.42822; 0.326044;0.005181;0.07021; 0.001981; false; 1.87165;8.12; 1.17274; 0.331696;0.11207499999999998;3.108819;3.2837190000000005; 0.106238; false; 8.14834;4.42; 1.52667; 0.534336;0.022689000000000004;0.7509060000000001;1.5858600000000003; 0.062248; false; 4.5398;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.99; 2.1426; 0.0000; 0.7533; 0.0079; 0.0176; False; 0.7789; 2.9281;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;6.47;1.4790036389999994; 2.7563E-5; 0.002688189; false; 0.007933058; 1.995578972;2.84;0.35665491600000004; 1.02837E-4; 0.001185764; false; 0.008081819; 0.757593058
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-59-*.mata;1.71;0.5936043999999998;0.24440299999999998;0.602473; 0.0001747000; False; 0.8550613000; 1.4928705000;1.66; 1.0274; 0.514746;0.010703999999999997;0.140486; 0.002453; false; 1.76322;2.23; 1.52727; 0.54839;0.012820000000000002;0.19395400000000002; 0.002411; false; 2.3638;8.73; 1.26425; 0.349323;0.087123;3.301003;3.573051; 0.125659; false; 8.7348;4.61; 1.66102; 0.557169;0.025474999999999998;0.7683700000000001;1.603787; 0.061263; false; 4.74263;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;3.91; 2.2353; 0.0000; 0.6093; 0.0046; 0.0121; False; 0.6260; 2.8661;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.15;1.7278738989999993; 2.9232E-5; 0.010824431; false; 0.016438383; 2.304340195;2.9;0.35127666899999993; 1.15308E-4; 0.001326493; false; 0.009081883; 0.766159789
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-6-*.mata;0.12;0.0523223;0.0085602;0.007244; 0.0001687000; False; 0.0181832000; 0.1102196000;0.01; 0.011734; 0.007844;0.000105;0.000133; 2.9e-05; false; 0.021436;0.01; 0.011734; 0.007791;0.000105;0.000134; 2.9e-05; false; 0.021323;0.02; 0.012107; 0.007826;0.00132;0.001049;0.000912; 0.000272; false; 0.024926;0.02; 0.012319; 0.00779;0.00023100000000000003;0.0013640000000000002;0.0018470000000000001; 0.000437; false; 0.026244;2.89; 0.018078; 0.00957;0.028789; 0.000489; false; 0.078847;1.2; 0.0307; 0.0000; 0.0010; 0.0001; 0.0001; False; 0.0013; 0.0322;0.91; 0.0163; 0.0009; 0.0096; 0.0011; False; 0.0108; 0.0282;1.0; 0.0162; 0.0017; 0.0034; 0.0341; 0.0352; False; 0.0385; 0.0567;1.15;0.137954684; 3.2229E-5; 0.003160138; false; 0.009509485; 0.239045557;1.02;0.032721714; 1.09144E-4; 0.001259673; false; 0.008826305; 0.148109027
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-60-*.mata;1.93;0.6537326;0.2945623999999999;0.6649543000000001; 0.0002242000; False; 0.9698260000; 1.6717912000;1.98; 1.62409; 0.340248;0.005587000000000001;0.08186700000000002; 0.002102; false; 2.09663;1.48; 1.02814; 0.387884;0.005611999999999996;0.080556; 0.001713; false; 1.54898;8.6; 1.26932; 0.326617;0.08334100000000001;3.214604;3.5554569999999996; 0.122073; false; 8.60535;3.32; 1.64773; 0.319221;0.012745999999999999;0.425125;0.9756870000000001; 0.035729; false; 3.45188;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;4.11; 2.2513; 0.0000; 0.8097; 0.0079; 0.0173; False; 0.8350; 3.0929;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;7.18;1.7064510279999998; 4.0098E-5; 0.005246002; false; 0.019057217; 2.273905885;3.41;0.43627136199999994; 1.18161E-4; 0.001515458; false; 0.015092267; 1.089528887
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-7-*.mata;0.13;0.059406900000000006;0.008976300000000001;0.0077425; 0.0001772000; False; 0.0198800000; 0.1220885000;0.02; 0.016214; 0.009409;0.000147;0.000205; 3.7e-05; false; 0.028017;0.02; 0.015666; 0.009414;0.00015199999999999998;0.000207; 3.7e-05; false; 0.027568;0.03; 0.016145; 0.009548;0.001836;0.0019909999999999997;0.0017770000000000002; 0.000411; false; 0.033839;0.03; 0.017875; 0.010016;0.000305;0.0018579999999999998;0.002593; 0.000593; false; 0.036076;3.69; 0.022692; 0.010852;0.050742; 0.00082; false; 0.110166;1.14; 0.0213; 0.0000; 0.0007; 0.0001; 0.0001; False; 0.0008; 0.0224;0.97; 0.0205; 0.0013; 0.0197; 0.0021; False; 0.0219; 0.0439;1.29; 0.0220; 0.0027; 0.0054; 0.1251; 0.1282; False; 0.1337; 0.1586;1.24;0.14805614400000003; 3.5889E-5; 0.00261469; false; 0.009188359; 0.260168768;1.17;0.052003790999999994; 9.7952E-5; 0.00124554; false; 0.008319254; 0.196519195
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-8-*.mata;0.13;0.06354760000000001;0.0103613;0.0085785; 0.0002335000; False; 0.0219061000; 0.1281402000;0.02; 0.02156; 0.010631;0.000178;0.000292; 4.5e-05; false; 0.035114;0.02; 0.021271; 0.010997;0.00017199999999999998;0.000299; 5.2e-05; false; 0.035291;0.03; 0.022911; 0.011541;0.002412;0.0028729999999999997;0.002513; 0.000555; false; 0.045425;0.04; 0.02204; 0.010841;0.00041700000000000005;0.0024690000000000003;0.003633; 0.000803; false; 0.04341;4.69; 0.033603; 0.012544;0.25804099999999996; 0.003848; false; 0.355665;1.19; 0.0438; 0.0000; 0.0019; 0.0001; 0.0002; False; 0.0024; 0.0465;1.28; 0.0450; 0.0030; 0.0756; 0.0080; False; 0.0836; 0.1320;1.54; 0.0243; 0.0032; 0.0078; 0.6817; 0.6920; False; 0.6999; 0.7277;1.3;0.15786401799999997; 3.0828E-5; 0.00283184; false; 0.008730229; 0.293214255;1.08;0.034975178999999995; 8.9363E-5; 0.001251533; false; 0.008044544; 0.160307628
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-9-*.mata;0.13;0.06268510000000001;0.009369400000000002;0.008724599999999999; 0.0001775000; False; 0.0208499000; 0.1228522000;0.03; 0.027009; 0.012391;0.00024400000000000005;0.00041400000000000003; 6.9e-05; false; 0.04307;0.03; 0.027306; 0.012629;0.000262;0.00041200000000000004; 5.9e-05; false; 0.04387;0.05; 0.027979; 0.012489;0.002904;0.004085;0.003568; 0.000687; false; 0.054578;0.05; 0.027288; 0.012626;0.0005030000000000001;0.003144;0.004818; 0.000943; false; 0.053033;4.75; 0.03906; 0.013576;0.425107; 0.012315; false; 0.550884;1.15; 0.0561; 0.0000; 0.0024; 0.0002; 0.0003; False; 0.0029; 0.0595;1.31; 0.0555; 0.0039; 0.1327; 0.0134; False; 0.1462; 0.2060;2.87; 0.0338; 0.0040; 0.0116; 1.9701; 2.0059; False; 2.0176; 2.0556;1.39;0.165126395; 3.3002E-5; 0.00358107; false; 0.010208323; 0.2907003;1.17;0.033614148; 1.00991E-4; 0.001020924; false; 0.007953169; 0.158427759
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-10-*.mata;0.15;0.0652342;0.011861599999999996;0.0138397; 0.0002569000; False; 0.0291111000; 0.1394706000;0.06; 0.016884; 0.034514;0.0024299999999999994;0.0019359999999999998; 0.000575; false; 0.071648;0.06; 0.016801; 0.033898;0.0023729999999999997;0.0017269999999999998; 0.000563; false; 0.070159;0.22; 0.01756; 0.03503;0.033729;0.054002999999999995;0.062078999999999995; 0.015523; false; 0.228558;0.11; 0.017661; 0.035791;0.005666000000000001;0.015967000000000002;0.026966999999999998; 0.006056; false; 0.120571;2.32; 0.017249; 0.034609;7.1e-05; 5e-06; true; 0.074642;1.18; 0.0783; 0.0000; 0.0199; 0.0005; 0.0003; False; 0.0208; 0.1004;3.48; 0.0431; 0.0384; 1.8165; 0.7481; False; 2.5646; 2.6488;10.49; 0.0813; 0.0613; 0.2492; 9.2868; 9.2887; False; 9.5379; 9.6832;5.34;2.0559324020000003; 3.812E-5; 0.003284197; false; 0.010078937; 2.318385707;1.8;0.140136287; 1.23893E-4; 0.001246498; false; 0.0086766; 0.441222241
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths1-11-*.mata;0.16;0.07581340000000002;0.012677599999999999;0.0184988; 0.0003220000; False; 0.0365446000; 0.1588813000;0.07; 0.020019; 0.042505;0.003168;0.0027960000000000003; 0.000578; false; 0.089522;0.04; 0.019106; 0.023021;0.001506;0.0015429999999999999; 0.000425; false; 0.055534;0.19; 0.010859; 0.022371;0.022692;0.054524;0.066719; 0.011971; false; 0.19682;0.14; 0.020334; 0.042599;0.007313;0.021369;0.036318; 0.006869; false; 0.150626;2.1; 0.019468; 0.024405;5.9e-05; 5e-06; true; 0.060257;1.25; 0.0930; 0.0000; 0.0288; 0.0009; 0.0003; False; 0.0301; 0.1247;4.88; 0.0531; 0.0515; 2.6808; 1.0653; False; 3.7462; 3.8526;12.82; 0.0930; 0.0761; 0.4148; 11.4818; 11.4849; False; 11.8998; 12.0711;6.22;2.861409135; 4.5957E-5; 0.002861231; false; 0.008395639; 3.117020167;1.69;0.128931996; 1.22046E-4; 0.001124027; false; 0.008210905; 0.462420794
