name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;vata-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;0.15;0.1020558;0.0084779; 0.0093650000; 0.0003018000; False; 0.0216770000; 0.1619962000;0.23; 0.173169; 0.070032; 0.000648; 0.000492; 0.000145; false; 0.255938;0.31; 0.263239; 0.070517; 0.000628; 0.000436; 0.000149; false; 0.344302;0.34; 0.263139; 0.065882;0.016112; 0.003816; 0.005258; 0.005061; false; 0.366955;0.34; 0.272598; 0.069826;0.002749; 0.002769; 0.004996; 0.004409; false; 0.366446;ERR;ERR;ERR;1.8; 0.4170; 0.0000; 0.0036; 0.0014; 0.0016; False; 0.0067; 0.4252;2.47; 0.4053; 0.1461; 0.6491; 0.1377; False; 0.7869; 1.3397;TO;TO;1.43;0.10545100900000001; 0.007970913; 2.9611E-5; false; 0.016243202; 0.366287947
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;0.26;0.2540149;0.0125513; 0.0114654000; 0.0003700000; False; 0.0319176000; 0.4137284000;0.34; 0.363881; 0.074406; 0.001238; 0.000688; 8.3e-05; false; 0.452065;0.35; 0.326781; 0.076665; 0.000798; 0.001089; 0.000174; false; 0.421378;0.4; 0.322163; 0.084364;0.020273; 0.004997; 0.00734; 0.007; false; 0.455721;0.26; 0.233535; 0.067987;0.003356; 0.003742; 0.006124; 0.004913; false; 0.33128;ERR;ERR;ERR;1.35; 0.2604; 0.0000; 0.0025; 0.0010; 0.0010; False; 0.0045; 0.2660;2.59; 0.5308; 0.1737; 0.7428; 0.1674; False; 0.9103; 1.6191;TO;TO;1.57;0.138185654; 0.007250737; 4.2371E-5; false; 0.01455415; 0.349217968
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;0.25;0.1894399;0.0068721; 0.0094130000; 0.0002336000; False; 0.0201101000; 0.2706740000;0.24; 0.185859; 0.084523; 0.000357; 0.000408; 7e-05; false; 0.282436;0.37; 0.317604; 0.082417; 0.000864; 0.000678; 0.00011; false; 0.414443;0.43; 0.328725; 0.083382;0.022646; 0.006725; 0.007751; 0.008483; false; 0.467646;0.43; 0.340829; 0.092411;0.0036550000000000003; 0.003653; 0.007824; 0.007089; false; 0.469364;ERR;ERR;ERR;1.38; 0.2860; 0.0000; 0.0024; 0.0010; 0.0012; False; 0.0047; 0.2919;2.34; 0.4981; 0.2121; 0.4415; 0.1836; False; 0.6251; 1.3367;TO;TO;1.56;0.095246289; 0.008742129; 3.0599E-5; false; 0.015700638; 0.360255266
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.27;0.2240426;0.011819699999999999; 0.0113049000; 0.0003548000; False; 0.0271275000; 0.3098019000;0.4; 0.342685; 0.085549; 0.000904; 0.000733; 0.000118; false; 0.443909;0.41; 0.347541; 0.085143; 0.00092; 0.000746; 0.000135; false; 0.448444;0.4; 0.301924; 0.078833;0.021452; 0.006236; 0.009165; 0.011541; false; 0.438734;0.39; 0.330764; 0.081258;0.002694; 0.003039; 0.006237; 0.005438; false; 0.441439;ERR;ERR;ERR;1.95; 0.5840; 0.0000; 0.0113; 0.0028; 0.0045; False; 0.0188; 0.6059;3.29; 0.5316; 0.2426; 1.0006; 0.2345; False; 1.2352; 2.0108;TO;TO;1.67;0.147693562; 0.019636873; 3.1964E-5; false; 0.027118748; 0.456534463
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;0.28;0.2118078;0.0182882; 0.0116975000; 0.0003555000; False; 0.0348372000; 0.3097574000;0.45; 0.380485; 0.097634; 0.000916; 0.00097; 0.000148; false; 0.495193;0.43; 0.362709; 0.084936; 0.00092; 0.000907; 0.00014; false; 0.464409;0.48; 0.367563; 0.087492;0.024616; 0.006331; 0.008989; 0.009512; false; 0.51565;0.45; 0.367951; 0.088979;0.004019; 0.003808; 0.007727; 0.007434; false; 0.492278;ERR;ERR;ERR;1.49; 0.3295; 0.0000; 0.0028; 0.0013; 0.0013; False; 0.0056; 0.3363;2.1; 0.3112; 0.1483; 0.6417; 0.1874; False; 0.8292; 1.2897;TO;TO;1.66;0.096130188; 0.008370821; 2.5512E-5; false; 0.028180417; 0.376357329
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;0.28;0.22158689999999998;0.0117155; 0.0115836000; 0.0003115000; False; 0.0273445000; 0.3074108000;0.44; 0.38629; 0.085715; 0.001736; 0.001147; 0.000154; false; 0.490412;0.45; 0.557712; 0.098534; 0.001041; 0.000907; 0.000144; false; 0.674377;0.53; 0.436874; 0.104657;0.029841; 0.007546; 0.010718; 0.011688; false; 0.614408;0.43; 0.477571; 0.095309;0.003815; 0.007012; 0.013385; 0.006856; false; 0.619903;ERR;ERR;ERR;1.96; 0.6381; 0.0000; 0.0064; 0.0029; 0.0031; False; 0.0125; 0.6526;3.73; 0.6413; 0.3445; 1.3863; 0.3210; False; 1.7074; 2.6951;TO;TO;1.32;0.08875670299999999; 0.009440336; 2.2493E-5; false; 0.015977806; 0.262961702
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.28;0.3175103;0.0123677; 0.0123606000; 0.0003232000; False; 0.0288746000; 0.4029455000;0.51; 0.419679; 0.10674; 0.001077; 0.000996; 0.000152; false; 0.546302;0.53; 0.423877; 0.122094; 0.001409; 0.001656; 0.000253; false; 0.576496;0.57; 0.432001; 0.107336;0.030113; 0.008075; 0.011892; 0.01312; false; 0.616335;0.53; 0.432039; 0.105742;0.004628; 0.004251; 0.008924; 0.008549; false; 0.578649;ERR;ERR;ERR;1.88; 0.5778; 0.0000; 0.0059; 0.0028; 0.0032; False; 0.0121; 0.5942;3.58; 0.6749; 0.3788; 1.1002; 0.2124; False; 1.3127; 2.3676;TO;TO;1.8;0.155730591; 0.042762593; 2.9639E-5; false; 0.072635722; 0.422311376
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.33;0.2471299;0.013935099999999999; 0.0135393000; 0.0003356000; False; 0.0321177000; 0.3504082000;0.55; 0.459999; 0.1162; 0.001241; 0.001264; 0.000215; false; 0.601248;0.51; 0.436013; 0.102956; 0.001117; 0.001065; 0.000166; false; 0.558589;0.62; 0.472532; 0.11077;0.032432; 0.008255; 0.011778; 0.013444; false; 0.662753;0.57; 0.461346; 0.105545;0.004894; 0.004461; 0.009439; 0.009023; false; 0.609945;ERR;ERR;ERR;1.71; 0.6879; 0.0000; 0.0058; 0.0034; 0.0035; False; 0.0128; 0.7047;3.94; 0.5926; 0.3612; 1.4770; 0.3670; False; 1.8441; 2.7997;TO;TO;1.94;0.10300018799999999; 0.014126708; 4.5114E-5; false; 0.023302201; 0.491121661
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.31;0.243783;0.0129646; 0.0127431000; 0.0003219000; False; 0.0300830000; 0.3376240000;0.53; 0.431624; 0.121839; 0.001453; 0.001249; 0.000233; false; 0.580342;0.52; 0.438914; 0.120497; 0.00118; 0.001154; 0.00019; false; 0.581593;0.65; 0.480103; 0.127263;0.034270999999999996; 0.008956; 0.013321; 0.015109; false; 0.694912;0.6; 0.479712; 0.117632;0.005396; 0.004721; 0.010914; 0.010474; false; 0.64565;ERR;ERR;ERR;1.96; 0.6499; 0.0000; 0.0053; 0.0030; 0.0030; False; 0.0115; 0.6636;2.95; 0.5253; 0.2378; 1.0323; 0.2392; False; 1.2716; 2.0360;TO;TO;1.73;0.18015652399999998; 0.016443289; 6.3598E-5; false; 0.034028125; 0.459339891
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.36;0.2951053;0.015855; 0.0143381000; 0.0003754000; False; 0.0347857000; 0.3919554000;0.6; 0.493778; 0.127497; 0.001302; 0.00109; 0.000204; false; 0.644839;0.4; 0.295262; 0.100281; 0.001529; 0.002485; 0.000464; false; 0.432696;0.71; 0.519108; 0.130867;0.043119; 0.011045; 0.017734; 0.02064; false; 0.766002;0.65; 0.522031; 0.120106;0.0058779999999999995; 0.005694; 0.012532; 0.012253; false; 0.69711;ERR;ERR;ERR;1.94; 0.6993; 0.0000; 0.0058; 0.0034; 0.0036; False; 0.0130; 0.7159;4.97; 0.7396; 0.5058; 2.0979; 0.5117; False; 2.6097; 3.8577;TO;TO;1.58;0.180664849; 0.016315063; 5.2543E-5; false; 0.025215711; 0.60930318
