name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-1.mata;0.0; 9.1e-05;0.0006270000000000001;0.000557; 0.00012; false; 0.002607;0.0; 7.7e-05;0.0006039999999999999;0.000563; 0.000133; false; 0.002592;0.01; 9.3e-05; 1e-05;0.005578;0.004039; 0.001797; false; 0.012887;1.05; 0.0064; 0.0000;0.0053;0.0012000000000000001; 0.0004; False; 0.0071; 0.0141;2.38; 0.0063; 0.0001;1.2566000000000002; 0.0854; False; 1.3424; 1.3498;0.88; 0.005309764;0.015740975; 2.1843E-5; false; 0.026472514; 0.09322665
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-2.mata;0.0; 0.000133;0.0033280000000000002;0.000774; 0.000209; false; 0.009838;0.0; 0.000128;0.003327;0.0006889999999999999; 0.000208; false; 0.009772;0.03; 0.000142; 1.4e-05;0.013517000000000001;0.0102; 0.00516; false; 0.030428;1.07; 0.0065; 0.0000;0.0179;0.0016; 0.0006; False; 0.0203; 0.0280;6.44; 0.0062; 0.0001;2.5041; 2.8638; False; 5.3682; 5.3779;0.9; 0.006122245;0.017018736; 1.8823E-5; false; 0.026519059; 0.096023329
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-3.mata;0.02; 0.000237;0.009128;0.0016619999999999998; 0.000463; false; 0.024794;0.02; 0.000222;0.009079;0.001402; 0.000466; false; 0.024328;0.05; 0.00021; 2.1e-05;0.025609;0.020512000000000002; 0.010187; false; 0.05804;1.09; 0.0066; 0.0000;0.039099999999999996;0.0025; 0.0008; False; 0.0426; 0.0521;19.14; 0.0067; 0.0001;6.3079; 11.9527; False; 18.2611; 18.2726;0.87; 0.007423869;0.01620285; 2.1397E-5; false; 0.02527492; 0.100244727
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-4.mata;0.02; 0.000216;0.009071000000000001;0.001423; 0.000436; false; 0.024453;0.02; 0.000217;0.00908;0.001412; 0.000457; false; 0.024426;0.06; 0.000229; 2.1e-05;0.025834;0.020723; 0.010594; false; 0.058871;1.11; 0.0065; 0.0000;0.038500000000000006;0.0026; 0.0008; False; 0.0421; 0.0516;16.84; 0.0044; 0.0001;4.5828; 11.3135; False; 15.8964; 15.9059;0.67; 0.005704683;0.015030651999999999; 2.2339E-5; false; 0.023328537; 0.082132358
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-5.mata;0.0; 7.4e-05;0.0005530000000000001;0.000496; 0.000112; false; 0.002292;0.0; 7.5e-05;0.000299;0.000322; 7.6e-05; false; 0.001366;0.01; 8.3e-05; 9e-06;0.005254;0.003815; 0.001747; false; 0.012155;1.01; 0.0061; 0.0000;0.004999999999999999;0.0011; 0.0004; False; 0.0067; 0.0132;2.32; 0.0062; 0.0001;1.2295; 0.0830; False; 1.3128; 1.3201;0.88; 0.005275783;0.019775376; 2.0736E-5; false; 0.030227618; 0.104487217
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10296-6.mata;0.89; 0.005365;0.351431;0.062863; 0.007541; false; 0.929071;0.9; 0.005253;0.351851;0.061600999999999996; 0.007729; false; 0.940598;2.42; 0.005511; 0.000493;1.039507;0.974548; 0.485595; false; 2.51792;2.76; 0.0141; 0.0000;1.5145;0.1834; 0.0275; False; 1.7258; 1.8248;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.4; 0.034560411;0.167971612; 2.804E-5; false; 0.188452711; 0.348289079
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10384-1.mata;0.2; 0.001257;0.078127;0.013679; 0.001194; false; 0.20809;0.19; 0.00123;0.07752400000000001;0.013794; 0.001202; false; 0.206942;0.4; 0.001338; 0.000132;0.185405;0.143384; 0.096392; false; 0.429923;1.5; 0.0086; 0.0000;0.3488;0.0228; 0.0053; False; 0.3775; 0.4089;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.02; 0.027107484;0.03802559; 4.5902E-5; false; 0.053278901; 0.175078207
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10384-2.mata;0.04; 0.000209;0.01232;0.010612; 0.002298; false; 0.04717;0.04; 0.000215;0.012366;0.010624; 0.002274; false; 0.047166;0.23; 0.000214; 2.8e-05;0.09864500000000001;0.092312; 0.047534; false; 0.245124;1.19; 0.0046; 0.0000;0.075;0.26; 0.0057; False; 0.3410; 0.3492;52.51; 0.0064; 0.0002;48.9482; 2.8350; False; 51.7837; 51.7962;1.11; 0.008268843;0.177259497; 2.4774E-5; false; 0.208318429; 0.284416925
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10412-1.mata;0.05; 0.000241;0.014979;0.012969999999999999; 0.00287; false; 0.057385;0.05; 0.000238;0.014897999999999998;0.013436; 0.002746; false; 0.057276;0.27; 0.000236; 3e-05;0.117729;0.109581; 0.053676; false; 0.288792;1.83; 0.0065; 0.0000;0.1374;0.6746000000000001; 0.0116; False; 0.8238; 0.8366;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.12; 0.008082988;0.192395739; 2.3445E-5; false; 0.203478825; 0.275543614
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10412-2.mata;0.0; 8.1e-05;0.003862;0.0010249999999999999; 0.000116; false; 0.011889;0.01; 8.5e-05;0.003948;0.00104; 0.000126; false; 0.011875;0.03; 8.9e-05; 1e-05;0.014263;0.013437999999999999; 0.006902; false; 0.036024;0.8; 0.0045; 0.0000;0.0219;0.002; 0.0009; False; 0.0250; 0.0313;4.59; 0.0044; 0.0001;2.0224; 1.8056; False; 3.8282; 3.8346;0.77; 0.005914079;0.021178312; 5.0436E-5; false; 0.032421334; 0.102970407
