name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.0; 0.000119; 1.9e-05; 4e-06; 0; false; 0.000266;0.0; 6.4e-05; 2e-05; 3e-06; 1e-06; false; 0.000168
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;0.0; 0.00032; 9.7e-05; 2e-05; 1.1e-05; false; 0.000716;0.0; 0.000306; 0.000165; 1.9e-05; 1.1e-05; false; 0.000713
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;0.0; 0.001387; 0.000243; 2.5e-05; 1.2e-05; false; 0.002107;0.0; 0.001577; 0.000192; 2e-05; 1.7e-05; false; 0.002172
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;0.0; 0.000228; 0.000251; 2.3e-05; 1.2e-05; false; 0.00076;0.0; 0.000325; 0.000161; 2.3e-05; 1.1e-05; false; 0.000756
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;0.0; 0.000261; 0.000144; 2.3e-05; 8e-06; false; 0.000673;0.0; 0.000189; 0.000107; 1.5e-05; 7e-06; false; 0.000496
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;0.0; 0.000359; 0.000247; 3.3e-05; 1.6e-05; false; 0.001015;0.0; 0.000346; 0.000207; 2.4e-05; 1.4e-05; false; 0.000855
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;0.0; 0.000756; 0.000197; 1.6e-05; 1.3e-05; false; 0.001345;0.0; 0.000992; 0.000211; 1.4e-05; 1.3e-05; false; 0.001568
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;0.0; 0.000325; 0.000345; 4.2e-05; 2.1e-05; false; 0.001141;0.0; 0.000213; 0.0003; 3.8e-05; 1.3e-05; false; 0.000846
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;0.0; 0.000118; 1.8e-05; 4e-06; 2e-06; false; 0.000233;0.0; 6.2e-05; 1.8e-05; 4e-06; 1e-06; false; 0.000166
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.0; 0.00025; 0.000112; 1.5e-05; 1e-05; false; 0.000557;0.0; 0.000322; 0.000218; 2.5e-05; 1.6e-05; false; 0.000851
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.0; 0.000344; 6.6e-05; 2e-05; 5e-06; false; 0.000645;0.0; 0.000326; 4.6e-05; 2.1e-05; 6e-06; false; 0.000566
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.0; 0.000284; 0.000241; 3.2e-05; 1.7e-05; false; 0.000889;0.0; 0.0004; 0.000461; 6.3e-05; 3.6e-05; false; 0.001445
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.0; 0.000278; 9e-05; 1.1e-05; 6e-06; false; 0.000549;0.0; 0.000418; 3.6e-05; 6e-06; 3e-06; false; 0.00058
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;0.0; 0.006811; 0.001046; 8.7e-05; 2.6e-05; false; 0.0099;0.01; 0.009624; 0.001019; 4.7e-05; 6.1e-05; false; 0.012316
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.0; 0.000107; 2.2e-05; 9e-06; 1e-06; false; 0.000248;0.0; 0.000164; 2.4e-05; 5e-06; 1e-06; false; 0.000313
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;0.0; 0.000151; 5.7e-05; 1.5e-05; 2e-06; false; 0.000348;0.0; 0.000251; 4.1e-05; 5e-06; 2e-06; false; 0.000408
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;0.0; 0.000153; 2e-05; 4e-06; 1e-06; false; 0.000273;0.0; 0.000198; 3.8e-05; 6e-06; 2e-06; false; 0.000388
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-13.mata;0.0; 0.000123; 1.8e-05; 4e-06; 2e-06; false; 0.000248;0.0; 7.7e-05; 1.8e-05; 1e-05; 2e-06; false; 0.00019
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-14.mata;0.0; 0.000105; 2.6e-05; 1.1e-05; 2e-06; false; 0.00025;0.0; 0.000116; 1.8e-05; 4e-06; 1e-06; false; 0.000299
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-15.mata;0.0; 0.000189; 3.9e-05; 5e-06; 3e-06; false; 0.000445;0.0; 0.000272; 3.8e-05; 6e-06; 2e-06; false; 0.000445
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-16.mata;0.0; 9.8e-05; 2.8e-05; 5e-06; 1e-06; false; 0.000274;0.0; 0.000154; 2.3e-05; 4e-06; 1e-06; false; 0.00028
