name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.75; 0.255908; 0.064075; 0.368163; 0.140943; 0.000202; false; 0.842362
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.82; 0.267614; 0.072301; 0.414374; 0.17013; 0.000238; false; 0.93754
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.83; 0.206563; 0.047911; 0.48384; 0.171619; 0.000244; false; 0.921026
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.19; 0.335356; 0.081599; 0.674769; 0.233616; 0.00014; false; 1.34007
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.38; 0.328806; 0.084408; 0.775753; 0.339619; 0.003771; false; 1.55473
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.32; 0.33334; 0.070762; 0.821199; 0.268735; 0.000143; false; 1.50813
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.78; 0.385971; 0.098858; 1.05439; 0.473114; 0.000637; false; 2.03116
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.71; 0.322387; 0.104094; 1.13732; 0.368811; 0.000304; false; 1.95277
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;2.03; 0.390974; 0.099169; 1.33656; 0.461096; 0.000442; false; 2.30841
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.47; 0.370908; 0.114376; 4e-06; 3e-06; 3e-06; true; 0.498594;2.39; 0.413019; 0.120157; 1.60681; 0.518454; 0.000379; false; 2.68782
