name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06770.mata;0.12; 0.044876; 0.072976; 0.003118; 0.000294; false; 0.136716;0.13; 0.055134; 0.065431; 0.002482; 0.000258; false; 0.136986
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06780.mata;0.0; 0.001938; 0.001105; 0.000105; 7e-05; false; 0.004425;0.0; 0.002497; 0.000873; 0.000103; 7.4e-05; false; 0.004637
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06846.mata;0.05; 0.043787; 0.00519; 0.00026; 0.00013; false; 0.058815;0.06; 0.061362; 0.004119; 0.000226; 0.000121; false; 0.075123
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06848.mata;0.0; 0.001856; 0.002672; 0.00034; 0.0001; false; 0.007213;0.0; 0.002167; 0.002664; 0.000329; 0.000176; false; 0.007323
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06892.mata;0.0; 0.006711; 0.001246; 9.9e-05; 4.3e-05; false; 0.009977;0.01; 0.007703; 0.001088; 8.9e-05; 7.5e-05; false; 0.010596
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06928.mata;13.05; 11.854; 0.282969; 0.000931; 0.000444; false; 13.4291;15.52; 16.2708; 0.199321; 0.000337; 0.000186; false; 17.2773
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06935.mata;0.12; 0.099613; 0.006604; 0.0004; 0.000305; false; 0.128923;0.09; 0.079648; 0.002701; 0.000302; 0.000272; false; 0.094049
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06956.mata;0.0; 0.000452; 0.000299; 4.4e-05; 2.7e-05; false; 0.001279;0.0; 0.000444; 0.000292; 3.9e-05; 2.6e-05; false; 0.001175
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06963.mata;0.02; 0.012634; 0.006939; 0.000436; 0.000149; false; 0.024305;0.05; 0.033286; 0.012328; 0.000518; 9.7e-05; false; 0.052114
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06975.mata;0.0; 0.001703; 0.001998; 0.000174; 7.2e-05; false; 0.005023;0.0; 0.001987; 0.001732; 0.000105; 6.6e-05; false; 0.004782
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07006.mata;0.09; 0.081744; 0.005096; 0.000233; 0.000176; false; 0.099427;0.13; 0.116168; 0.007279; 0.000386; 0.000251; false; 0.142477
