name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.17; 0.152667; 0.03456; 0.001813; 0.000203; 5e-05; false; 0.192149
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;0.95; 0.909001; 0.04311; 0.002201; 0.000164; 7.2e-05; false; 0.965642;0.2; 0.185275; 0.03993; 0.002131; 0.000248; 1.7e-05; false; 0.230863
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1427.0.mata;0.96; 0.922262; 0.042974; 0.002212; 0.00016; 7.5e-05; false; 0.978811;0.18; 0.16742; 0.039319; 0.001992; 0.000317; 1.9e-05; false; 0.212693
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.1; 0.094154; 0.022798; 0.001214; 0.000147; 3.1e-05; false; 0.120361
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.12; 0.102094; 0.032721; 0.002884; 0.000276; 0.000132; false; 0.143163
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;1.31; 1.24472; 0.062826; 0.002957; 0.000235; 0.000109; false; 1.32653;0.28; 0.254798; 0.056185; 0.003159; 0.000238; 0.000106; false; 0.319845
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.13; 0.11115; 0.033304; 0.002931; 0.00025; 0.000115; false; 0.152933
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;1.18; 1.1147; 0.062762; 0.003028; 0.000191; 0.0001; false; 1.19541;0.25; 0.229477; 0.054733; 0.002988; 0.000251; 9.4e-05; false; 0.293157
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;1.31; 1.25597; 0.054163; 0.002966; 0.000257; 9.8e-05; false; 1.32857;0.22; 0.195035; 0.045104; 0.002666; 0.000426; 9.2e-05; false; 0.247189
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;1.03; 0.972349; 0.055725; 0.003071; 0.000187; 8.5e-05; false; 1.04594;0.23; 0.19541; 0.04502; 0.002697; 0.000408; 8.9e-05; false; 0.247512
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;2.55; 2.4747; 0.076522; 2e-05; 7e-06; 4e-06; false; 2.56932;0.35; 0.301521; 0.071199; 0.00346; 0.000555; 5.9e-05; false; 0.384008
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.25; 0.226708; 0.052742; 0.002902; 0.000437; 0.000101; false; 0.28745
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.35; 0.315671; 0.069672; 0.003553; 0.000562; 0.000126; false; 0.395492
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.37; 0.319945; 0.074593; 0.003845; 0.000678; 0.000152; false; 0.40536
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.06; 0.055988; 0.017839; 0.000937; 0.000153; 3.6e-05; false; 0.076951
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.32; 0.282887; 0.063079; 0.003331; 0.000583; 0.000123; false; 0.355333
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.39; 0.345111; 0.084112; 0.003847; 0.000737; 0.000144; false; 0.440646
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.24; 0.225084; 0.050951; 0.002407; 0.000287; 0.000102; false; 0.282665
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.24; 0.222922; 0.05128; 0.002575; 0.000241; 8e-05; false; 0.281403
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.25; 0.227285; 0.055005; 0.00253; 0.000268; 8.2e-05; false; 0.289536
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.25; 0.232979; 0.051512; 0.002641; 0.000356; 8.1e-05; false; 0.292003
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.26; 0.228808; 0.051723; 0.002699; 0.000393; 8.9e-05; false; 0.288135
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.25; 0.222716; 0.05071; 0.002336; 0.000265; 8.6e-05; false; 0.280086
