name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;0.0; 6.3e-05;0.000572;0.000541; 0.000126; false; 0.002493;0.0; 7.7e-05;0.000721;0.000543; 0.000102; false; 0.002475
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;0.0; 6.4e-05;0.000344;0.00033800000000000003; 7.5e-05; false; 0.001536;0.0; 0.000122;0.000645;0.0005430000000000001; 0.00015; false; 0.002672
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;0.0; 8.4e-05;0.0006969999999999999;0.0006150000000000001; 0.000119; false; 0.002682;0.0; 4e-05;0.000405;0.000381; 9.3e-05; false; 0.001582
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;0.0; 0.000133;0.000423;0.00039500000000000006; 7.6e-05; false; 0.001906;0.0; 4.8e-05;0.000313;0.000307; 0.000114; false; 0.001437
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;0.0; 7.2e-05;0.000596;0.000565; 0.000115; false; 0.002527;0.0; 6.8e-05;0.000718;0.0005499999999999999; 0.000116; false; 0.002673
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;0.0; 5.1e-05;0.00041300000000000006;0.000419; 7.5e-05; false; 0.001706;0.0; 8.7e-05;0.000437;0.00043400000000000003; 0.000157; false; 0.002099
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;0.0; 5.6e-05;0.000477;0.000521; 7.5e-05; false; 0.001904;0.0; 8.1e-05;0.000508;0.00046100000000000004; 0.000131; false; 0.002101
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;0.0; 3.9e-05;0.000458;0.000477; 0.000123; false; 0.002046;0.0; 4.5e-05;0.000384;0.000396; 8e-05; false; 0.001654
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;0.0; 8.1e-05;0.0005790000000000001;0.000606; 0.000156; false; 0.002529;0.0; 6.7e-05;0.000645;0.000559; 0.000114; false; 0.002435
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;0.0; 4e-05;0.00038199999999999996;0.00037200000000000004; 8.6e-05; false; 0.0016;0.0; 8.2e-05;0.00051;0.0005549999999999999; 0.000127; false; 0.002414
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-5.mata;0.0; 5e-05;0.000508;0.000451; 0.000112; false; 0.002097;0.0; 0.000108;0.0005510000000000001;0.000523; 0.000116; false; 0.002414
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-6.mata;0.0; 6.6e-05;0.000543;0.000496; 7.7e-05; false; 0.002181;0.0; 7.5e-05;0.0005480000000000001;0.000518; 0.000156; false; 0.002538
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-7.mata;0.0; 7.2e-05;0.000584;0.000553; 0.000116; false; 0.002472;0.0; 6.5e-05;0.000451;0.000504; 0.000116; false; 0.002306
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-8.mata;0.0; 8.8e-05;0.000386;0.000448; 0.000106; false; 0.0019;0.0; 5.6e-05;0.000518;0.000465; 0.000118; false; 0.00213
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-9.mata;0.0; 0.000106;0.000314;0.000317; 0.000128; false; 0.001608;0.0; 4.5e-05;0.000522;0.000465; 0.00013; false; 0.002052
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03005-1.mata;0.0; 4.3e-05;0.000303;0.000348; 8.4e-05; false; 0.001458;0.0; 6.9e-05;0.000437;0.00041999999999999996; 7.5e-05; false; 0.001817
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03140-1.mata;0.0; 6.8e-05;0.000477;0.00044300000000000003; 0.000108; false; 0.002032;0.0; 4.6e-05;0.000492;0.00044; 7.9e-05; false; 0.001954
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-1.mata;0.0; 7.4e-05;0.000547;0.0005970000000000001; 0.000115; false; 0.002381;0.0; 4.2e-05;0.000412;0.000423; 0.000114; false; 0.001824
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-2.mata;0.0; 5.2e-05;0.000547;0.000472; 0.000143; false; 0.002235;0.0; 8.8e-05;0.0006399999999999999;0.000508; 0.000117; false; 0.002417
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-3.mata;0.0; 6.6e-05;0.000339;0.000396; 0.000123; false; 0.001807;0.0; 5.9e-05;0.000441;0.000445; 8.7e-05; false; 0.001903
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-4.mata;0.0; 5.1e-05;0.00053;0.000495; 0.0001; false; 0.002128;0.0; 4.1e-05;0.00054;0.000501; 0.000115; false; 0.00225
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance03455-5.mata;0.0; 6.8e-05;0.00058;0.0005020000000000001; 0.000108; false; 0.002134;0.0; 8.2e-05;0.000582;0.000526; 0.000119; false; 0.002514
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04001-1.mata;0.0; 0.000105;0.00296;0.00068; 0.000159; false; 0.008793;0.0; 8.8e-05;0.00284;0.000727; 0.000178; false; 0.007892
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04390-1.mata;0.0; 8.1e-05;0.000647;0.0005560000000000001; 0.000116; false; 0.002435;0.0; 6.4e-05;0.000628;0.00057; 0.000118; false; 0.00252
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance04451-1.mata;0.0; 6.2e-05;0.0005549999999999999;0.00058; 0.000159; false; 0.002495;0.0; 7.2e-05;0.000319;0.000312; 9.9e-05; false; 0.001434
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.0; 7.7e-05;0.0006169999999999999;0.000498; 0.000125; false; 0.00246;0.0; 5.2e-05;0.000302;0.00035099999999999997; 0.000107; false; 0.001466
