name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.64; 0.339899; 0.1058; 0.206763; false; 0.676043
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.61; 0.191414; 0.084312; 0.32896; false; 0.627089
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.77; 0.324299; 0.128374; 0.327922; false; 0.807335
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.222684; 0.084029; 0.207828; false; 0.529756
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.75; 0.341261; 0.134048; 0.293725; false; 0.794935
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.54; 0.281472; 0.070319; 0.20809; false; 0.574035
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.58; 0.187196; 0.093209; 0.310749; false; 0.610965
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.72; 0.309734; 0.088439; 0.344031; false; 0.764639
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;5.85; 1.35389; 0.629488; 3.92552; false; 6.02095
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;12.48; 1.87481; 0.668302; 9.99442; false; 12.6665
