           1st Quartile / Median / 3rd Quartile per op/bench            
------------------------------------------------------------------------
benchop    mata            mata-old        mata-sim       (py)mata
parsi/biu  0.0, 0.2, 0.4   0.0, 0.2, 0.4   0.0, 0.2, 0.5  0.1, 0.6, 1.7
parsi/ef   0.0, 0.1, 0.1   0.0, 0.1, 0.1   0.0, 0.1, 0.1  0.1, 0.1, 0.2
parsi/p    0.0, 0.1, 0.2   0.0, 0.1, 0.2   0.0, 0.1, 0.2  0.1, 0.1, 0.3
parsi/zn   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
parsi/znc  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
reduc/ai   -               -               0.0, 0.0, 0.0  -
reduc/bcd  -               -               0.0, 0.0, 0.1  -
reduc/bci  -               -               0.0, 0.0, 60   -
reduc/bi   -               -               8.5, 60, 60    -
reduc/ef   -               -               0.0, 0.0, 0.0  -
reduc/p    -               -               0.0, 0.0, 0.0  -
reduc/zn   -               -               0.0, 0.0, 0.0  -
reduc/znc  -               -               0.1, 0.1, 0.3  -
resul/ai   60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/bcd  60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/bci  60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/bcu  60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/bi   60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/biu  60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/ef   60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/p    60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/zn   60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
resul/znc  60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
runti/ai   0.1, 0.5, 0.7   0.1, 0.4, 0.6   0.1, 0.5, 0.8  1.2, 1.4, 1.8
runti/bcd  0.5, 31.5, 60   0.8, 31.4, 60   0.8, 31.7, 60  4.4, 38.7, 60
runti/bci  0.7, 31.4, 60   0.8, 31.4, 60   0.7, 31.4, 60  5.1, 38.7, 60
runti/bcu  0.1, 0.2, 0.4   0.1, 0.2, 0.4   0.1, 0.3, 0.4  1.2, 1.3, 1.5
runti/bi   60, 60, 60      60, 60, 60      60, 60, 60     60, 60, 60
runti/biu  0.1, 0.6, 1.9   0.1, 0.6, 1.8   0.1, 0.6, 2.0  1.3, 1.9, 4.5
runti/ef   0.0, 0.1, 0.1   0.0, 0.1, 0.1   0.0, 0.1, 0.1  1.1, 1.2, 1.3
runti/p    0.0, 0.1, 0.2   0.0, 0.1, 0.2   0.0, 0.1, 0.2  1.1, 1.2, 1.4
runti/zn   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  1.0, 1.1, 1.2
runti/znc  0.0, 0.0, 0.1   0.0, 0.0, 0.1   0.1, 0.1, 0.7  1.1, 1.2, 1.8
trans/ai   -               -               -              0.0, 0.0, 0.0
trans/bcd  -               -               -              0.0, 0.0, 0.0
trans/bci  -               -               -              0.0, 0.0, 0.0
trans/bcu  -               -               -              0.0, 0.0, 0.0
trans/bi   -               -               -              60, 60, 60
trans/biu  -               -               -              0.0, 0.0, 0.0
trans/ef   -               -               -              0.0, 0.0, 0.0
trans/p    -               -               -              0.0, 0.0, 0.0
trans/zn   -               -               -              0.0, 0.0, 0.0
trans/znc  -               -               -              0.0, 0.0, 0.0
trim/bcd   0.1, 0.1, 0.4   0.0, 0.2, 0.4   0.0, 0.2, 0.3  0.2, 0.9, 2.2
trim/bci   0.0, 0.2, 0.4   0.0, 0.2, 0.3   0.0, 0.2, 0.4  0.2, 0.9, 2.1
trim/bcu   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/bi    8.3, 60, 60     10.0, 60, 60    7.7, 60, 60    60, 60, 60
trim/biu   0.0, 0.0, 0.2   0.0, 0.0, 0.2   0.0, 0.0, 0.2  0.0, 0.0, 0.0
trim/ef    0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/znc   0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.3
union/bcu  0.0, 0.0, 0.0   0.0, 0.0, 0.0   0.0, 0.0, 0.0  0.0, 0.0, 0.0
union/biu  0.0, 0.0, 0.1   0.0, 0.0, 0.1   0.0, 0.0, 0.1  0.0, 0.3, 1.9
