name;automata-runtime;automata-construction;automata-trim;automata-uni;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;0.2;0.1813103;0.0080743; 0.0067908000; 0.0001618000; False; 0.0166623000; 0.2302493000;1.43;0.0690865;0.0147093; 0.0118640000; 0.0002615000; False; 0.0295402000; 0.1599157000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.3;0.2326786;0.011399399999999999; 0.0120621000; 0.0003169000; False; 0.0259484000; 0.2995367000;1.44;0.0429667;0.008426399999999999; 0.0073301000; 0.0001818000; False; 0.0180588000; 0.1015302000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.29;0.2247436;0.0149921; 0.0144100000; 0.0002587000; False; 0.0328857000; 0.2897474000;1.35;0.0745559;0.0127675; 0.0124873000; 0.0002115000; False; 0.0278599000; 0.1682360000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.28;0.2183899;0.0081893; 0.0075076000; 0.0002225000; False; 0.0176608000; 0.2747464000;1.3;0.0723898;0.0126208; 0.0222479000; 0.0003390000; False; 0.0377458000; 0.2288322000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.1;0.0467386;0.0099064; 0.0075308000; 0.0001898000; False; 0.0198079000; 0.0924655000;0.79;0.0311165;0.0058672; 0.0045223000; 0.0001236000; False; 0.0120918000; 0.0907855000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.33;0.2747795;0.012382999999999998; 0.0136264000; 0.0003672000; False; 0.0287659000; 0.3590855000;1.48;0.0711285;0.015046; 0.0266705000; 0.0003050000; False; 0.0447854000; 0.1773905000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.15;0.0816676;0.0098469; 0.0079197000; 0.0002273000; False; 0.0203830000; 0.1448600000;0.9;0.0402525;0.008830200000000002; 0.0080873000; 0.0002241000; False; 0.0194140000; 0.1139660000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.12;0.0570772;0.0090892; 0.0090320000; 0.0002349000; False; 0.0201034000; 0.1147808000;0.94;0.0260637;0.0059211; 0.0051516000; 0.0001339000; False; 0.0127379000; 0.0829584000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.19;0.14409750000000002;0.009870199999999999; 0.0083405000; 0.0002089000; False; 0.0212070000; 0.2172619000;0.95;0.037759600000000004;0.0065005; 0.0052893000; 0.0001673000; False; 0.0137940000; 0.1009023000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.19;0.11543619999999999;0.0104103; 0.0115158000; 0.0002717000; False; 0.0250817000; 0.1847136000;0.98;0.0299583;0.0091182; 0.0103316000; 0.0003042000; False; 0.0216827000; 0.0863056000
