name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.18;0.1204921;0.0056142;0.015302500000000002; 0.0255631000; True; 0.0482057000; 0.2189563000;0.94;0.0532554;0.008847999999999998;0.0129048; 0.0375868000; True; 0.0616863000; 0.2128813000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.17;0.0976457;0.0089024;0.014352000000000002; 0.0504633000; True; 0.0763898000; 0.2107743000;0.82;0.0462294;0.008763;0.0268677; 0.0772775000; True; 0.1153239000; 0.2208238000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.26;0.1694535;0.008524899999999998;0.053752799999999996; 0.0461560000; True; 0.1114891000; 0.3239582000;1.02;0.033731899999999995;0.0058193;0.0084537; 0.0235404000; True; 0.0395446000; 0.1104573000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.18;0.09563270000000001;0.0054987;0.0116672; 0.0253028000; True; 0.0440838000; 0.1813758000;1.04;0.05974379999999999;0.011380299999999998;0.0098521; 0.0253472000; True; 0.0488704000; 0.1670022000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.18;0.0628202;0.0084811;0.0132488; 0.0364581000; True; 0.0606310000; 0.1671859000;0.84;0.0410549;0.0091804;0.0132762; 0.0374643000; True; 0.0623483000; 0.1552010000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.15;0.0618576;0.0057262;0.008934600000000001; 0.0231731000; True; 0.0395047000; 0.1433097000;0.88;0.025488700000000003;0.005750900000000001;0.0086692; 0.0235530000; True; 0.0397356000; 0.1100617000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.19;0.0858693;0.0070376;0.0223274; 0.0411376000; True; 0.0730133000; 0.1995108000;0.97;0.0468936;0.008896699999999999;0.017195199999999997; 0.0397530000; True; 0.0684165000; 0.1696937000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.17;0.0872216;0.008586700000000003;0.0135291; 0.0358080000; True; 0.0602745000; 0.1973178000;0.87;0.0410233;0.0089019;0.013185; 0.0329153000; True; 0.0574838000; 0.1509291000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.19;0.0843805;0.009561400000000001;0.0131279; 0.0400481000; True; 0.0653510000; 0.1899338000;1.01;0.047012399999999996;0.0057377;0.008691299999999999; 0.0274635000; True; 0.0436306000; 0.1377628000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.22;0.12056819999999999;0.0083418;0.014478999999999999; 0.0465490000; True; 0.0720011000; 0.2632388000;1.06;0.06052650000000001;0.0087471;0.013713399999999999; 0.0472700000; True; 0.0721713000; 0.1923610000
