name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.0; 0.00257994;0.0006954299999999999;0.000437441; 7.9535e-05; false;0.0; 9.4653e-05;0.00065932;0.000392191; 6.9904e-05; false;0.01; 9.2734e-05; 1.0522e-05;0.0038485820000000006;0.002578742; 0.000958941; false;0.96; 0.0059; 0.0000;0.0047;0.0011; 0.0004; False;2.18; 0.0063; 0.0001;1.0661; 0.0759; False;0.77; 0.006117503;0.020224106000000002; 2.4852E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;0.07; 0.000526088;0.021344506;0.008885634; 0.000936266; false;0.09; 0.000345098;0.028399945000000003;0.014098358; 0.000981158; false;0.27; 0.000355287; 3.4005e-05;0.105523228;0.108085191; 0.11394; false;1.38; 0.0066; 0.0000;0.1788;0.0739; 0.0122; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.38; 0.00892773;0.205675259; 2.3898E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;0.18; 0.00113456;0.057110113000000004;0.020186883000000003; 0.00402169; false;0.18; 0.000879367;0.05573898;0.019628897; 0.003777; false;0.92; 0.00169274; 0.000123586;0.394934894;0.375305275; 0.184829; false;2.37; 0.0093; 0.0000;0.4605;0.9376; 0.0223; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.54; 0.01914222;0.29675644700000003; 2.5478E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;0.05; 0.000539157;0.018032713;0.009142097; 0.00114543; false;0.05; 0.000292218;0.017493887;0.009170911; 0.00101876; false;0.28; 0.000297663; 3.1835e-05;0.117119928;0.12332771099999999; 0.0515206; false;1.52; 0.0046; 0.0000;0.1017;0.3451; 0.0066; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.42; 0.009332967;0.232524994; 2.7815E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;0.01; 0.00032279;0.0065126;0.004643655; 0.000704584; false;0.02; 0.000182319;0.0076127239999999995;0.004083935; 0.0004592; false;0.2; 0.000194174; 2.5104e-05;0.094596478;0.082515816; 0.0425521; false;1.18; 0.0044; 0.0000;0.0644;0.23229999999999998; 0.0079; False;45.72; 0.0046; 0.0001;40.0777; 4.9996; False;1.14; 0.007063211;0.162381188; 2.4929E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;0.07; 0.000405407;0.024295759;0.011587334999999999; 0.00130645; false;0.04; 0.000393462;0.013488343;0.007046781; 0.00107747; false;0.37; 0.000392744; 5.1488e-05;0.154904518;0.15436270400000002; 0.0728461; false;1.47; 0.0047; 0.0000;0.1371;0.5803; 0.0083; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.14; 0.00724312;0.20222220400000002; 2.3336E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;0.11; 0.00119336;0.040593093999999996;0.010077283; 0.00122153; false;0.11; 0.00102071;0.040808097;0.010313694; 0.00123177; false;0.25; 0.000554207; 4.4889e-05;0.104598577;0.106366458; 0.0534567; false;0.9; 0.0053; 0.0000;0.1598;0.034600000000000006; 0.0041; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.17; 0.019156368;0.080079603; 4.9972E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;0.08; 0.000605017;0.027252577;0.015726023; 0.00184327; false;0.09; 0.000409858;0.025707016;0.015745461000000002; 0.00183211; false;0.49; 0.000384153; 5.5507e-05;0.217579395;0.204441716; 0.102013; false;3.46; 0.0071; 0.0000;0.255;2.0477; 0.0214; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.82; 0.010602707;0.444746172; 3.3421E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;0.0; 0.000220328;0.00035012;0.000211325; 3.8328e-05; false;0.0; 9.7245e-05;0.0005675179999999999;0.000340315; 5.9861e-05; false;0.01; 8.6344e-05; 8.889e-06;0.005708385999999999;0.003842289; 0.00176112; false;1.18; 0.0064; 0.0000;0.0057;0.0012000000000000001; 0.0005; False;1.75; 0.0044; 0.0000;0.7399; 0.0839; False;0.98; 0.005562406;0.0162432; 2.2644E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.04; 0.000564172;0.012406731;0.007809685; 0.000937877; false;0.07; 0.000362331;0.047585766;0.010005119; 0.00117408; false;0.25; 0.000215523; 2.0446e-05;0.083850494;0.107866938; 0.0630299; false;1.6; 0.0048; 0.0000;0.117;0.4375; 0.0137; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.48; 0.009622932;0.210786686; 2.3198E-5; false
