name;automata-runtime;automata-construction;automata-compl;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_175.0.mata;0.21; 0.0549405000; 0.0873122000; 0.0028800000; 0.0002690000; False;0.02; 0.0306036; 0.00367702; 0.000183361; 8.5551e-05; false;0.03; 0.0381861; 0.00390715; 0.000194762; 9.0382e-05; false;0.06; 0.0238902; 0.0163735; 0.0168113; 0.00735679; 0.00748879; false;0.04; 0.0230208; 0.00171447; 0.00779907; 0.00285607; 0.00319696; false;1.27; 0.0267; 0.0000; 0.0036; 0.0001; 0.0000; False;1.3; 0.0408; 0.0148; 0.0725; 0.0736; 0.0057; False;1.14; 0.0246; 0.0067; 0.0182; 0.0203; 0.0001; False;2.03; 0.346693211; 0.051833841; 0.002180803; false;1.43; 0.141869044; 0.041228121; 3.2806E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1752.0.mata;0.18; 0.0460529000; 0.0683004000; 0.0019948000; 0.0001489000; False;0.06; 0.0550243; 0.00896735; 0.000660825; 0.000233086; false;0.06; 0.0539991; 0.0090861; 0.00060799; 0.000210943; false;0.19; 0.0617412; 0.0378811; 0.0473075; 0.0208947; 0.0211376; false;0.09; 0.0546736; 0.00399359; 0.0268286; 0.00611566; 0.00580774; false;1.13; 0.0862; 0.0000; 0.0144; 0.0011; 0.0000; False;1.84; 0.0904; 0.0621; 0.6811; 0.6848; 0.0491; False;1.25; 0.0793; 0.0335; 0.0917; 0.0967; 0.0001; False;2.47; 0.443300963; 0.037249419; 0.002400776; false;2.02; 0.240365176; 0.077725921; 4.9398E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1755.0.mata;0.27; 0.0712194000; 0.1187872000; 0.0036574000; 0.0003002000; False;0.06; 0.0596298; 0.00897298; 0.000748592; 0.000245043; false;0.07; 0.06176; 0.00917116; 0.000789213; 0.000259299; false;0.15; 0.0734664; 0.0294632; 0.0378001; 0.0135165; 0.0172461; false;0.1; 0.0547345; 0.00373153; 0.0292661; 0.0054759; 0.00537947; false;1.08; 0.0535; 0.0000; 0.0091; 0.0007; 0.0000; False;1.79; 0.0931; 0.0612; 0.4160; 0.4201; 0.1592; False;1.09; 0.0535; 0.0257; 0.0777; 0.0878; 0.0001; False;2.62; 0.415930325; 0.055434152; 0.003631779; false;2.03; 0.154090739; 0.059865421; 3.1561E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1758.0.mata;0.25; 0.0660972000; 0.1038848000; 0.0031616000; 0.0002297000; False;0.07; 0.0638008; 0.00939394; 0.000670283; 0.000254353; false;0.06; 0.0580427; 0.00837686; 0.000824787; 0.000271343; false;0.15; 0.0666867; 0.0485477; 0.040323; 0.0134826; 0.0190768; false;0.1; 0.0574649; 0.00414414; 0.03006; 0.00539288; 0.00568207; false;1.34; 0.0961; 0.0000; 0.0161; 0.0011; 0.0000; False;1.52; 0.0504; 0.0547; 0.3885; 0.3922; 0.0449; False;1.44; 0.0887; 0.0625; 0.1859; 0.1973; 0.0001; False;2.69; 0.468341623; 0.053934227; 0.014677557; false;1.94; 0.179303496; 0.105278467; 4.0004E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1761.0.mata;0.26; 0.0706301000; 0.1102928000; 0.0029034000; 0.0002175000; False;0.06; 0.0600291; 0.00750467; 0.000514913; 0.000226869; false;0.06; 0.0543032; 0.00870356; 0.000572327; 0.00026896; false;0.17; 0.0617849; 0.034832; 0.0415479; 0.016618; 0.0175816; false;0.1; 0.136024; 0.00380091; 0.0393397; 0.00476427; 0.00447894; false;1.09; 0.0524; 0.0000; 0.0086; 0.0006; 0.0000; False;1.54; 0.0537; 0.0383; 0.4130; 0.4169; 0.0856; False;1.41; 0.0857; 0.0584; 0.1162; 0.1274; 0.0001; False;2.62; 0.425538842; 0.09476699; 0.003697468; false;2.01; 0.181814578; 0.058815085; 3.2108E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1764.0.mata;0.27; 0.0736176000; 0.1223776000; 0.0037317000; 0.0002503000; False;0.06; 0.0601996; 0.00881381; 0.000638766; 0.000223104; false;0.06; 0.0585658; 0.00857797; 0.000620578; 0.000204821; false;0.17; 0.0584174; 0.0352072; 0.0429497; 0.0171473; 0.0163562; false;0.09; 0.0731411; 0.00414773; 0.025631; 0.00475117; 0.00568928; false;1.06; 0.0551; 0.0000; 0.0088; 0.0007; 0.0000; False;1.75; 0.0877; 0.0613; 0.4506; 0.4545; 0.0496; False;1.51; 0.0940; 0.0318; 0.1417; 0.1535; 0.0001; False;2.47; 0.369180953; 0.039038888; 0.002093404; false;2.24; 0.250020509; 0.131795763; 3.9006E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1767.0.mata;0.19; 0.0647269000; 0.0662243000; 0.0018864000; 0.0001565000; False;0.03; 0.0311183; 0.00425728; 0.000300091; 0.000118076; false;0.03; 0.0307142; 0.0044027; 0.000425677; 0.000147815; false;0.09; 0.0327297; 0.0176133; 0.0222143; 0.0102027; 0.012167; false;0.05; 0.0333335; 0.00218119; 0.0164037; 0.00327166; 0.00303952; false;1.3; 0.1329; 0.0000; 0.0145; 0.0011; 0.0000; False;1.54; 0.0500; 0.0323; 0.2671; 0.2708; 0.0491; False;1.3; 0.1210; 0.0281; 0.0898; 0.1096; 0.0001; False;2.47; 0.482750951; 0.032121929; 0.002083302; false;2.03; 0.189276279; 0.08311105; 4.9739E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1770.0.mata;0.25; 0.0686497000; 0.1099185000; 0.0030241000; 0.0001965000; False;0.07; 0.0609839; 0.00923392; 0.000622901; 0.000249967; false;0.07; 0.0570805; 0.00903089; 0.000676456; 0.000230785; false;0.16; 0.0591583; 0.0291168; 0.0392724; 0.0143407; 0.0149174; false;0.09; 0.0548628; 0.00358771; 0.0271347; 0.00538807; 0.00544392; false;1.34; 0.0962; 0.0000; 0.0135; 0.0010; 0.0000; False;1.62; 0.0533; 0.0333; 0.2809; 0.2844; 0.0364; False;1.38; 0.0898; 0.0314; 0.0772; 0.0880; 0.0001; False;2.61; 0.416893699; 0.083377148; 0.002296249; false;1.94; 0.152381269; 0.058339723; 3.7075E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1777.0.mata;0.31; 0.0899903000; 0.1341046000; 0.0030114000; 0.0001816000; False;0.1; 0.0894311; 0.0114876; 0.000692088; 0.000301595; false;0.1; 0.0911801; 0.0122561; 0.00103648; 0.000404425; false;0.25; 0.0982774; 0.0526561; 0.0558336; 0.0223024; 0.0231443; false;0.13; 0.117324; 0.00704653; 0.0262407; 0.00703144; 0.00737656; false;1.25; 0.1259; 0.0000; 0.0167; 0.0011; 0.0000; False;1.97; 0.1281; 0.1186; 0.7443; 0.7494; 0.0763; False;1.51; 0.1355; 0.0514; 0.1694; 0.1836; 0.0001; False;3.0; 0.548594702; 0.062253417; 0.002059469; false;2.21; 0.227295726; 0.063597128; 3.4309E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1778.0.mata;0.17; 0.0469706000; 0.0695774000; 0.0019931000; 0.0001849000; False;0.05; 0.0434421; 0.00487718; 0.000489901; 0.000182378; false;0.09; 0.0773967; 0.0099088; 0.000568833; 0.000253148; false;0.2; 0.0813975; 0.0427817; 0.0454036; 0.0163047; 0.0170366; false;0.14; 0.106761; 0.00629179; 0.0708293; 0.00721816; 0.0121717; false;1.15; 0.0668; 0.0000; 0.0079; 0.0005; 0.0000; False;1.94; 0.1175; 0.1101; 0.6100; 0.6143; 0.0585; False;1.42; 0.1120; 0.0426; 0.1555; 0.1762; 0.0001; False;3.14; 0.571395302; 0.047579369; 0.002064047; false;1.82; 0.1225821; 0.067063423; 3.1939E-5; false
