name;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-interall;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06070-*.mata;1.88;0.094483121;0.15658663099999998; 0.032682509; 0.00234746; false; 0.203220675; 0.622234864
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06071-*.mata;1.7;0.07284805899999999;0.115565858; 0.042930893; 0.00382801; false; 0.174297112; 0.401349324
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06076-*.mata;2.71;0.36713951200000006;0.174776052; 0.066147037; 0.001868706; false; 0.282118313; 1.042738932
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06077-*.mata;2.03;0.138641357;0.130883864; 0.05705734; 0.002944839; false; 0.210566944; 0.566865156
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06082-*.mata;1.65;0.146329813;0.194931223; 0.038002051; 0.002063944; false; 0.256293566; 0.709393497
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06083-*.mata;2.81;0.288482258;0.209035779; 0.041281353; 0.002140776; false; 0.259290457; 1.176141022
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06084-*.mata;1.7;0.087249018;0.229646702; 0.056396542; 0.004614096; false; 0.296547743; 0.698341135
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06085-*.mata;1.44;0.04068462;0.106210199; 0.04341232; 0.010729086; false; 0.174196323; 0.403271149
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06088-*.mata;1.85;0.11323261699999998;0.234165624; 0.069397843; 0.013478554; false; 0.341818377; 0.675809266
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06089-*.mata;1.42;0.06706775;0.181337568; 0.065837593; 0.002712031; false; 0.2581365; 0.463106377
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06092-*.mata;3.2;0.120497078;0.803958097; 0.071172516; 0.002393858; false; 0.88502573; 1.321752724
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06093-*.mata;1.85;0.12398040299999999;0.406257769; 0.07261567; 0.004741897; false; 0.491589024; 0.820987482
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06094-*.mata;2.64;0.294723513;0.19758772800000002; 0.077525367; 0.002116203; false; 0.288270897; 1.033238892
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06095-*.mata;2.24;0.18926876099999998;0.216600774; 0.059503816; 0.002127736; false; 0.322937784; 0.976927857
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06098-*.mata;1.67;0.0797799;0.137023796; 0.055187572; 0.002144163; false; 0.202603582; 0.562619755
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06099-*.mata;1.97;0.07500343;0.121195129; 0.040878309; 0.00222916; false; 0.171198227; 0.513889314
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06102-*.mata;2.78;0.17948297200000002;0.373144341; 0.086545413; 0.00201679; false; 0.492079101; 1.093510844
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06103-*.mata;2.24;0.092683899;0.29381149199999995; 0.059298053; 0.010444321; false; 0.421199049; 0.905543595
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06104-*.mata;1.25;0.063795561;0.132694213; 0.064193897; 0.011529962; false; 0.226494855; 0.495983511
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06105-*.mata;2.33;0.173752189;0.282853433; 0.066213779; 0.002236668; false; 0.359669792; 0.931842997
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06108-*.mata;1.56;0.05003619200000001;0.066202121; 0.024777459; 0.002224117; false; 0.098982462; 0.323431743
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06109-*.mata;2.02;0.11694596400000001;0.123035853; 0.03752412; 0.002304523; false; 0.177693425; 0.609932201
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06112-*.mata;1.88;0.07974916100000001;0.26584586899999996; 0.094981201; 0.002266542; false; 0.370835516; 0.600569026
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06113-*.mata;1.37;0.05762004800000001;0.196517973; 0.057310415; 0.002172801; false; 0.274999662; 0.484934067
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06114-*.mata;2.09;0.178141943;0.135898666; 0.068137088; 0.002569641; false; 0.217963333; 0.606683383
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06115-*.mata;1.48;0.14818772500000002;0.11646667; 0.029748561; 0.001990055; false; 0.155846781; 0.615200685
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06118-*.mata;1.54;0.10093259399999999;0.147341689; 0.06527686; 0.002183802; false; 0.223161748; 0.527413164
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06119-*.mata;2.11;0.117002278;0.131081365; 0.104128588; 0.00511495; false; 0.25751265; 0.581175117
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06122-*.mata;2.06;0.126388325;0.22287857300000002; 0.082188057; 0.002065309; false; 0.355479035; 0.852079879
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06123-*.mata;2.06;0.233016853;0.254160637; 0.040468235; 0.002080897; false; 0.303415374; 0.839459403
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06124-*.mata;2.36;0.136006369;0.250742882; 0.073050898; 0.002268005; false; 0.333782321; 0.735029442
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06125-*.mata;2.06;0.16206030999999999;0.149936196; 0.051431462; 0.004983152; false; 0.225675586; 0.818898915
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06128-*.mata;2.04;0.115110244;0.18735688; 0.062513894; 0.002424497; false; 0.276664961; 0.712246547
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06129-*.mata;1.51;0.057476215;0.151252162; 0.103210468; 0.002186768; false; 0.277163299; 0.466086922
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06132-*.mata;1.35;0.064144535;0.126539378; 0.07966937; 0.002007625; false; 0.222932413; 0.429545946
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06133-*.mata;1.6;0.061750551;0.194384474; 0.052601152; 0.002083505; false; 0.291283274; 0.529534943
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06134-*.mata;1.65;0.15668519;0.213889325; 0.065494896; 0.002451123; false; 0.29148832; 0.640659245
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06135-*.mata;1.36;0.050929036000000004;0.10030436699999999; 0.051267823; 0.00229162; false; 0.160128138; 0.410074578
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06138-*.mata;2.11;0.11982921099999999;0.07366939999999998; 0.057072017; 0.003638576; false; 0.144015069; 0.578521772
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06139-*.mata;1.55;0.052380221000000005;0.133391453; 0.052781075; 0.001653883; false; 0.209301995; 0.43117285
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06142-*.mata;1.63;0.129121937;0.173742862; 0.116535762; 0.001765443; false; 0.308948374; 0.691578705
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06143-*.mata;2.14;0.215992693;0.163823254; 0.096135952; 0.002491256; false; 0.276274418; 0.858732902
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06144-*.mata;1.81;0.081415409;0.178696413; 0.055224237; 0.002002071; false; 0.253733894; 0.633830795
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06145-*.mata;1.46;0.075906552;0.15466401000000002; 0.050926265; 0.00206504; false; 0.232023935; 0.538694994
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06148-*.mata;1.82;0.05205158;0.162756787; 0.044873028; 0.002527469; false; 0.217914695; 0.417753286
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06149-*.mata;2.14;0.14182271999999999;0.22586741700000004; 0.067624031; 0.002645537; false; 0.317253041; 0.68774297
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06152-*.mata;2.66;0.19340438100000001;0.354783419; 0.085885919; 0.002283788; false; 0.46268918; 1.018078172
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06153-*.mata;1.4;0.104596194;0.111632085; 0.056194794; 0.007102537; false; 0.182747297; 0.556865251
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06154-*.mata;1.69;0.13947836600000002;0.17856289399999997; 0.07368894; 0.002330273; false; 0.273730657; 0.744337061
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06155-*.mata;1.94;0.111884286;0.301623736; 0.07379993; 0.008258011; false; 0.402758876; 0.849718893
