name;java-automatalib-runtime;java-automatalib-construction;java-automatalib-determinize;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-automatalib-interpretation;java-automatalib-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;5.5;0.529534559;1.479824421; 0.174760598; false; 1.661653853; 2.887169649
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;6.2;0.870191362;1.300060945; 0.116438493; false; 1.423308166; 2.98902053
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;6.01;0.635361613;1.2432882040000002; 0.174508483; false; 1.459722252; 2.891023603
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;5.83;0.597082485;1.270408258; 0.159092811; false; 1.453207207; 2.864705144
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery4pBinEnc-FbOneOne-Nondet-Partiali-B-4-rhs.mata;6.89;0.807662106;1.468452815; 0.088909745; false; 1.568562493; 3.074848135
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-Bakery5PUnrEnc-Rev-FbOneOne-Nondet-Partial-A-0-rhs.mata;10.17;0.316143115;6.846392999; 0.148645376; false; 7.002465013; 7.677737821
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-1-rhs.mata;7.7;0.19545970299999998;4.922237018000001; 0.145601164; false; 5.095752028; 5.593953141
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-3-rhs.mata;9.26;0.21236026;5.940851326; 0.124433604; false; 6.091972469; 6.557655305
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBad-A-4-rhs.mata;8.71;0.170572362;5.862670682; 0.251228053; false; 6.142332419; 6.58639221
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-0-rhs.mata;9.23;0.21902350199999998;5.26435272; 0.308610677; false; 5.580092041; 6.237415953
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;8.75;0.20030747200000001;5.284209037; 0.142979937; false; 5.433525817; 6.037239216
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;9.16;0.22194635299999999;5.456343818000001; 0.288769454; false; 5.771161797; 6.492613395
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;5.83;0.47991430599999996;1.084404855; 0.116174943; false; 1.21900401; 2.088822446
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;6.4;1.0797190589999999;0.935529399; 0.069225517; false; 1.010972981; 2.622510927
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;5.58;0.663254731;1.1382088540000002; 0.112151438; false; 1.256798317; 2.73029978
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;6.71;0.596885235;1.109752059; 0.118730309; false; 1.24695988; 2.819785652
