                                                                         Average / Median / Average with Timeouts                                                                         
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
op     mata           mata-old       mata-sim       awali          mona            vata           automata       brics          (j)alib        fado           (py)alib       (py)mata
-----  -------------  -------------  -------------  -------------  --------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------
deter  -              -              -              -              -               -              -              -              -              -              0.0, 0.0, 0.2  -
empti  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 23.8  0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.0, 0.0, 0.3  0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.0, 0.1
fair-  0.0, 0.0, 0.0  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.0, 23.8  0.0, 0.0, 0.1  0.1, 0.1, 0.1  0.2, 0.2, 0.2  0.3, 0.2, 0.5  0.3, 0.1, 0.4  0.0, 0.0, 0.2  0.0, 0.0, 0.1
inter  -              -              -              -              -               -              0.0, 0.0, 0.0  0.0, 0.0, 0.0  0.1, 0.1, 0.3  0.3, 0.1, 0.4  0.0, 0.0, 0.2  0.0, 0.0, 0.1
inter  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.4  0.0, 0.0, 24.0  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.0  0.1, 0.1, 0.3  0.2, 0.0, 0.4  0.0, 0.0, 0.2  0.0, 0.0, 0.1
overa  0.1, 0.0, 0.1  0.1, 0.0, 0.1  0.1, 0.0, 0.1  0.1, 0.0, 0.2  0.1, 0.0, 23.8  0.1, 0.0, 0.2  0.2, 0.2, 0.2  0.4, 0.3, 0.4  0.5, 0.4, 0.8  0.3, 0.1, 0.5  0.1, 0.1, 0.3  0.1, 0.0, 0.1
parsi  0.1, 0.0, 0.1  0.1, 0.0, 0.1  0.1, 0.0, 0.1  0.1, 0.0, 0.2  0.1, 0.0, 23.8  0.0, 0.0, 0.1  0.1, 0.1, 0.1  0.1, 0.1, 0.1  0.3, 0.2, 0.4  0.0, 0.0, 0.2  0.1, 0.0, 0.2  0.1, 0.0, 0.1
reduc  -              -              0.0, 0.0, 0.3  -              -               -              -              -              -              -              -              -
runti  0.1, 0.0, 0.1  0.0, 0.0, 0.1  0.1, 0.0, 0.1  0.1, 0.0, 0.2  0.5, 0.5, 24.1  0.1, 0.0, 0.2  0.2, 0.1, 0.2  1.4, 1.3, 1.4  1.9, 1.7, 2.1  1.4, 1.2, 1.6  1.2, 1.2, 1.4  1.2, 1.2, 1.2
trans  -              -              -              0.0, 0.0, 0.1  -               0.0, 0.0, 0.1  -              -              -              0.0, 0.0, 0.2  0.0, 0.0, 0.2  0.0, 0.0, 0.1
trim   0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.3  0.0, 0.0, 0.4  -               0.0, 0.0, 0.3  0.0, 0.0, 0.0  -              -              0.0, 0.0, 0.2  -              0.0, 0.0, 0.1
