name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.13;0.0578418;0.0061117;0.008257100000000002; 0.0252804000; True; 0.0413765000; 0.1276492000;1.01;0.0363334;0.005575200000000001;0.008212500000000001; 0.0249205000; True; 0.0403823000; 0.1162349000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.16;0.06624540000000001;0.008644800000000001;0.0151653; 0.0266968000; True; 0.0531726000; 0.1600952000;0.89;0.04151900000000001;0.0086705;0.0147505; 0.0381137000; True; 0.0640123000; 0.1574567000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.23;0.0953294;0.008945600000000001;0.0346209; 0.0370752000; True; 0.0832031000; 0.2212575000;1.0;0.0754334;0.008985199999999999;0.0367367; 0.0394404000; True; 0.0876594000; 0.2295595000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.22;0.08642109999999999;0.008633499999999999;0.0269856; 0.0490839000; True; 0.0873308000; 0.2157919000;1.08;0.056240599999999995;0.0092446;0.0325953; 0.0504432000; True; 0.0948959000; 0.2127975000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.24;0.086715;0.0089404;0.0417501; 0.0489270000; True; 0.1023612000; 0.2336319000;0.97;0.054699899999999996;0.008844399999999999;0.0146539; 0.0399275000; True; 0.0661830000; 0.1827335000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.14;0.048937600000000005;0.008305199999999999;0.0084962; 0.0224370000; True; 0.0418863000; 0.1308506000;0.94;0.0395153;0.0082527;0.0141736; 0.0375945000; True; 0.0623121000; 0.1531737000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.18;0.10369410000000001;0.0096963;0.0164363; 0.0440237000; True; 0.0726538000; 0.2204652000;0.85;0.0399043;0.005479199999999999;0.0087021; 0.0267271000; True; 0.0426786000; 0.1353527000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.2;0.0765068;0.009130500000000001;0.0149855; 0.0495411000; True; 0.0759831000; 0.1954012000;0.8;0.025525299999999997;0.009338200000000001;0.014886; 0.0499624000; True; 0.0765237000; 0.1431374000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.18;0.10716149999999999;0.0060119;0.0116478; 0.0253737000; True; 0.0450884000; 0.1781798000;1.4;0.1080186;0.008535699999999998;0.0191153; 0.0388978000; True; 0.0689561000; 0.2550756000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut44.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.16;0.0949407;0.017538900000000003;0.025845100000000003; 0.0452900000; True; 0.1013645000; 0.2379947000;0.99;0.0403037;0.009514300000000002;0.014753099999999998; 0.0368184000; True; 0.0638960000; 0.1565745000
