name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-emptiness_check;automata-emptiness_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;14.99;0.2182249;0.0135415; 14.9803618000; 0.0003300000; False; 14.9980306000; 15.2599573000;15.44;0.041393;0.0077652; 14.3690237000; 0.0002863000; False; 14.3789751000; 14.4587613000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;17.07;0.23906520000000003;0.0112427; 16.9697306000; 0.0003087000; False; 16.9839156000; 17.2670074000;17.71;0.0648325;0.011382; 16.7428824000; 0.0003985000; False; 16.7577853000; 16.8822775000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;20.59;0.21474150000000003;0.0112347; 20.6049061000; 0.0003372000; False; 20.6195181000; 20.8736134000;19.51;0.0697058;0.0124821; 18.2095886000; 0.0003427000; False; 18.2255692000; 18.3529160000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;21.18;0.20974500000000001;0.012650999999999999; 20.9879160000; 0.0003571000; False; 21.0043763000; 21.2452161000;23.38;0.07169429999999999;0.0085891; 22.2515734000; 0.0003069000; False; 22.2625098000; 22.3755623000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.25;0.068216;0.0081505; 0.1267242000; 0.0003973000; False; 0.1376493000; 0.2463862000;1.04;0.0373681;0.008848499999999999; 0.1357001000; 0.0004185000; False; 0.1474266000; 0.2353778000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;27.46;0.241764;0.0120649; 27.2072975000; 0.0003623000; False; 27.2224178000; 27.5037336000;27.55;0.0683589;0.012415700000000002; 26.6238442000; 0.0002264000; False; 26.6393476000; 26.7644990000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.45;0.085961;0.0099024; 0.2949312000; 0.0003851000; False; 0.3083758000; 0.4399940000;1.24;0.0377011;0.0091324; 0.2819294000; 0.0003032000; False; 0.2941610000; 0.3814991000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.59;0.084021;0.009445700000000001; 0.4585094000; 0.0002838000; False; 0.4715957000; 0.5966664000;1.31;0.0405321;0.0092794; 0.5581482000; 0.0003848000; False; 0.5708892000; 0.6635225000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.85;0.0957902;0.0060941; 0.6885348000; 0.0003116000; False; 0.6970579000; 0.8340892000;1.81;0.042888899999999994;0.0101991; 0.8560448000; 0.0003381000; False; 0.8696846000; 0.9662846000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;1.51;0.1039868;0.0096455; 1.3896757000; 0.0003795000; False; 1.4026200000; 1.5464146000;2.2;0.0456411;0.009970199999999999; 1.1965241000; 0.0002207000; False; 1.2095743000; 1.3086386000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;1.92;0.1159847;0.0093023; 1.7582901000; 0.0002799000; False; 1.7705924000; 1.9262099000;2.76;0.049182;0.010249; 1.7096524000; 0.0003709000; False; 1.7232032000; 1.8261177000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;2.54;0.1251364;0.0066565999999999995; 2.4139236000; 0.0002204000; False; 2.4227960000; 2.5903834000;3.23;0.0471964;0.0085488; 2.4461538000; 0.0002353000; False; 2.4572801000; 2.5552995000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;3.75;0.1387903;0.0112617; 3.6624806000; 0.0003122000; False; 3.6771371000; 3.8556468000;3.87;0.0349253;0.0072296; 2.7073883000; 0.0003252000; False; 2.7167160000; 2.7865611000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.12;0.0893499;0.005951199999999999; 0.0301779000; 0.0002310000; False; 0.0382686000; 0.1661663000;0.86;0.034813500000000004;0.0080093; 0.0337107000; 0.0002056000; False; 0.0445757000; 0.1291731000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;4.38;0.0874828;0.0071796; 4.3480034000; 0.0003602000; False; 4.3578670000; 4.4723251000;5.8;0.0390889;0.0082793; 4.8652084000; 0.0006810000; False; 4.8766321000; 4.9529470000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;5.21;0.160086;0.010365599999999999; 5.1057514000; 0.0004228000; False; 5.1193922000; 5.3219937000;6.73;0.056929499999999994;0.0105553; 5.6760510000; 0.0003435000; False; 5.6897829000; 5.8003537000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;8.25;0.1681491;0.0119382; 7.9877654000; 0.0003827000; False; 8.0036264000; 8.2158543000;8.92;0.0568196;0.0100903; 7.8568367000; 0.0003408000; False; 7.8700607000; 7.9795709000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;8.83;0.1870004;0.019135; 8.8273690000; 0.0002328000; False; 8.8497466000; 9.0759102000;8.71;0.0377588;0.007588; 7.7971039000; 0.0003276000; False; 7.8072048000; 7.8818193000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;9.55;0.1696982;0.010478099999999999; 9.3522543000; 0.0002611000; False; 9.3658064000; 9.5736895000;12.79;0.0606496;0.010808; 11.5480022000; 0.0002178000; False; 11.5619261000; 11.6792030000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;11.03;0.1526063;0.0116728; 10.8314650000; 0.0003893000; False; 10.8466805000; 11.0259225000;12.93;0.0656447;0.012813800000000002; 11.7498730000; 0.0004706000; False; 11.7663627000; 11.8886275000
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;13.03;0.1188722;0.0077705; 12.9516637000; 0.0003440000; False; 12.9646080000; 13.1103024000;16.7;0.07107859999999999;0.0089141; 15.5114148000; 0.0003532000; False; 15.5231867000; 15.6526926000
