name;automata-runtime;automata-construction;automata-trim;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;11.33;0.103785;0.0085363; 11.2492182000; False; 11.2599800000; 11.4014577000;1.22;0.0652894;0.0089008; 0.1736478000; False; 0.1848105000; 0.3114724000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.0;0.4203676;0.0131455; 0.4472962000; False; 0.4632526000; 0.9243799000;2.48;0.1746383;0.0099732; 0.4622832000; False; 0.4739951000; 0.7272170000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;0.6;0.3066284;0.009761800000000001; 0.2699632000; False; 0.2817309000; 0.6144049000;1.89;0.2112704;0.013946; 0.4029479000; False; 0.4192953000; 0.7129295000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.91;0.4311455;0.0138839; 0.4348800000; False; 0.4513281000; 0.9224052000;1.87;0.21555439999999998;0.0144011; 0.4146635000; False; 0.4313765000; 0.7292249000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.6;0.40745370000000003;0.023483; 1.0185446000; False; 1.0446927000; 1.4909501000;2.27;0.2151019;0.014346999999999999; 0.6028766000; False; 0.6194853000; 0.9154658000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.41;0.22416239999999998;0.0112451; 0.1377768000; False; 0.1515967000; 0.4141296000;1.37;0.0765778;0.0083902; 0.0967271000; False; 0.1069793000; 0.2294718000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.41;0.2208575;0.011193; 0.1381634000; False; 0.1518563000; 0.4170088000;1.52;0.12392639999999999;0.011575100000000001; 0.1504734000; False; 0.1649212000; 0.3594350000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.43;0.2283595;0.0110313; 0.1454997000; False; 0.1586348000; 0.4259131000;1.27;0.1121868;0.0112625; 0.1311472000; False; 0.1446233000; 0.3251080000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.43;0.2326381;0.0119609; 0.1476467000; False; 0.1621278000; 0.4341097000;1.52;0.1164816;0.0118195; 0.1420701000; False; 0.1564824000; 0.3419545000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.31;0.1600897;0.0078572; 0.0936035000; False; 0.1032849000; 0.3021541000;1.53;0.11340249999999999;0.0114772; 0.1406636000; False; 0.1546593000; 0.3355589000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-3-rhs.mata;0.27;0.1306949;0.0084932; 0.1067140000; False; 0.1171223000; 0.2752114000;0.98;0.0781106;0.0081634; 0.0985337000; False; 0.1088054000; 0.2300707000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondet-A-4-rhs.mata;0.41;0.20651599999999998;0.010708800000000001; 0.1561643000; False; 0.1693117000; 0.4146882000;1.4;0.1184514;0.0078098; 0.1036088000; False; 0.1133638000; 0.3023103000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FlOneOne-Nondeti-B-0-rhs.mata;0.34;0.1708174;0.008308300000000001; 0.1189819000; False; 0.1292538000; 0.3323606000;1.42;0.11451420000000001;0.011399; 0.1671370000; False; 0.1810607000; 0.3616425000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-0-rhs.mata;1.63;0.5637861000000001;0.0100893; 0.9332987000; False; 0.9453517000; 1.5655744000;6.48;0.5181975000000001;0.0160458; 1.0344605000; False; 1.0528700000; 1.6890034000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-1-rhs.mata;3.28;0.5724127999999999;0.0103323; 2.5464618000; False; 2.5588876000; 3.1619986000;7.95;0.5122609;0.0152224; 3.3533671000; False; 3.3713174000; 3.9948020000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;2.71;0.7562956000000001;0.0144749; 1.7789626000; False; 1.7959125000; 2.5913505000;7.04;0.4875452;0.0137576; 1.4335372000; False; 1.4497499000; 2.0574580000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-0-rhs.mata;0.68;0.36026210000000003;0.010862; 0.3022068000; False; 0.3158127000; 0.7155258000;1.54;0.1419415;0.0069596; 0.2416981000; False; 0.2506067000; 0.4421580000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery5PUnrEnc-Rev-FbOneOne-Nondet-Partiali-B-2-rhs.mata;0.43;0.20121840000000002;0.0068146; 0.2044752000; False; 0.2134033000; 0.4424713000;1.79;0.12345039999999999;0.006481799999999999; 0.4618514000; False; 0.4700944000; 0.6399807000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T10-rhs.mata;0.17;0.061748;0.0099224; 0.0438874000; False; 0.0565413000; 0.1616541000;0.84;0.0388145;0.0081186; 0.0421177000; False; 0.0529247000; 0.1416584000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T11-rhs.mata;0.35;0.2393421;0.0131965; 0.0549960000; False; 0.0712287000; 0.3497135000;1.33;0.1275431;0.0128121; 0.0476716000; False; 0.0630687000; 0.2675545000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T113-rhs.mata;0.15;0.0542945;0.0081353; 0.0405944000; False; 0.0510489000; 0.1452416000;0.86;0.0383483;0.0081358; 0.0407362000; False; 0.0509123000; 0.1384747000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.19;0.0800646;0.009011100000000001; 0.0480311000; False; 0.0597933000; 0.1842780000;0.7;0.0288992;0.0056511999999999995; 0.0279563000; False; 0.0352556000; 0.1014987000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.17;0.0768738;0.008085; 0.0400059000; False; 0.0502528000; 0.1675193000;0.77;0.0289506;0.0055603; 0.0293378000; False; 0.0365250000; 0.0993546000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.18;0.0828534;0.0082894; 0.0403007000; False; 0.0508332000; 0.1717993000;0.93;0.0497287;0.0088307; 0.0458430000; False; 0.0572238000; 0.1621209000
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.34;0.2301196;0.0121425; 0.0521225000; False; 0.0663994000; 0.3345174000;1.52;0.12751969999999999;0.0134477; 0.0587750000; False; 0.0746137000; 0.2680355000
