name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-intersection;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-inclusion
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;ERR;ERR;ERR;ERR;ERR;0.2; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.15; 0.1050; 0.0000; 0.0003; 0.0001;1.22; 0.1022; 0.0256; 0.0672; 0.0002;1.11; 0.0980; 0.0262; 0.0003; 0.0001
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.26; 0.229896; 0.0336827; 0.0014; 0.0003;0.23; NOT EMPTY;0.51; 0.384657; 0.107477;0.012231045;0.007889847; 2.3924e-05; true;0.73; 0.384582; 0.107417;0.14741970599999998;0.045794495; 0.0326193; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.386448; 0.108209;0.86; 0.0932; 0.0000; 0.0004; 0.0001;1.44; 0.0911; 0.5484; 0.0416; 0.0221;0.95; 0.0936; 0.0815; 0.0003; 0.0025
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.11; 0.139068; 0.00967822; 0.0004; 0.0002;0.2; NOT EMPTY;0.21; 0.180665; 0.035566;0.001970686;0.000385569; 1.8987e-05; true;0.36; 0.180866; 0.0357268;0.02286111;0.07620636; 0.0379071; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.181315; 0.035997;0.85; 0.1056; 0.0000; 0.0002; 0.0001;1.21; 0.0679; 0.0185; 0.0587; 0.0004;0.91; 0.0389; 0.0088; 0.0001; 0.0001
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.12; 0.108888; 0.0134119; 0.0029; 0.0027;0.14; NOT EMPTY;0.3; 0.246927; 0.0502875;0.0035523139999999996;0.001489416; 0.000145947; true;0.49; 0.250508; 0.0525333;0.040247990000000004;0.1081715; 0.00685795; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.422842; 0.0772723;0.86; 0.0840; 0.0000; 0.0021; 0.0015;7.26; 0.0838; 0.2400; 6.1567; 0.0005;0.8; 0.0796; 0.0339; 0.0039; 0.0004
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.13; 0.115066; 0.0143586; 0.0016; 0.0012;0.14; NOT EMPTY;0.52; 0.421895; 0.0929334;0.0085444;0.001012569; 6.5866e-05; true;0.7; 0.427598; 0.0915795;0.09223985900000001;0.060474780000000006; 0.0145023; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.411863; 0.0893688;1.12; 0.1580; 0.0000; 0.0032; 0.0031;12.35; 0.1545; 0.4088; 10.8957; 0.0016;1.2; 0.1539; 0.0814; 0.0083; 0.0035
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.31; 0.187108; 0.0234149; 0.0964; 0.0128;0.22; NOT EMPTY;0.44; 0.350466; 0.0785241;0.0053768950000000005;0.00501325; 0.00214094; true;1.17; 0.347691; 0.0778705;0.07497659;0.41651584; 0.167423; true;0.44; 0.34162; 0.076556;0.004372661999999999;0.0034708; 0.00439386; true;TO; 0.355502; 0.078531;1.08; 0.1331; 0.0000; 0.0006; 0.0003;1.52; 0.1327; 0.4008; 0.0133; 0.0002;1.16; 0.1305; 0.0757; 0.0016; 0.0005
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;ERR;ERR;ERR;ERR;ERR;0.18; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.0; 0.0373; 0.0000; 0.0003; 0.0001;1.04; 0.0370; 0.0100; 0.0082; 0.0002;0.82; 0.0224; 0.0064; 0.0004; 0.0001
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.12; 0.109076; 0.00780518; 0.0019; 0.0014;0.19; NOT EMPTY;0.23; 0.195431; 0.0340466;0.0009466339999999999;0.001680961; 0.00221881; true;0.32; 0.194538; 0.0339622;0.01652095;0.05588244; 0.0188267; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.196779; 0.0342129;1.04; 0.0672; 0.0000; 0.0004; 0.0003;1.13; 0.0670; 0.0171; 0.0709; 0.0003;1.05; 0.0684; 0.0127; 0.0007; 0.0002
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.14; 0.132069; 0.00868168; 0.0003; 0.0002;0.21; NOT EMPTY;0.25; 0.222015; 0.0365623;0.0008827110000000001;0.000199597; 2.135e-05; true;0.27; 0.222317; 0.037292;0.014059874;0.000409068; 0.00171058; true;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.227404; 0.0373195;1.05; 0.0759; 0.0000; 0.0003; 0.0001;1.16; 0.0804; 0.0152; 0.0680; 0.0007;0.79; 0.0460; 0.0063; 0.0003; 0.0001
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;ERR;ERR;ERR;ERR;ERR;0.33; NOT EMPTY;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.63; 0.6386; 0.0000; 0.0018; 0.0015;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
