name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-inclusion
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;7.17; 0.0750714; 0.0197221; 7.3034; 0.0014;10.79; EMPTY;0.3; 0.233997; 0.0614092;0.00252915; 0.00156026; false;0.77; 0.362601; 0.10178;0.108756; 0.192785; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.376251; 0.0993389;1.16; 0.1748; 0.0000; 0.0032;TO;MISSING;MISSING;MISSING;10.88; 0.1763; 9.7342; 0.0326
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;14.6; 0.156732; 0.0345087; 14.9412; 0.0026;12.07; EMPTY;0.34; 0.273242; 0.0633636;0.00258698; 0.00150443; false;0.81; 0.376094; 0.101095;0.12399160000000001; 0.210844; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.263415; 0.106739;1.18; 0.1714; 0.0000; 0.0030;TO;MISSING;MISSING;MISSING;12.7; 0.1705; 11.6042; 0.0491
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.21; 0.512244; 0.143895; 0.1748; 0.3854;1.96; EMPTY;2.56; 1.62851; 0.434466;0.0233724; 0.445483; false;5.01; 1.70251; 0.426273;0.623758; 2.16855; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 2.66872; 0.658952;1.77; 0.7082; 0.0000; 0.2736;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;2.51; 1.05749; 0.2578; 0.2634; 0.9379;2.65; EMPTY;4.0; 2.59643; 0.643924;0.0350993; 0.687331; false;5.78; 1.67306; 0.435384;0.620494; 2.97551; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 2.13261; 0.439197;2.67; 1.1594; 0.0000; 0.4730;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;2.08; 0.933985; 0.235369; 0.2735; 0.6452;3.07; EMPTY;3.74; 2.29503; 0.658608;0.0361892; 0.715048; false;5.93; 2.38014; 0.429237;0.6300129999999999; 2.40843; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 2.5185; 0.624921;2.63; 1.1101; 0.0000; 0.3627;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.97; 0.980467; 0.248085; 0.2472; 0.5018;2.97; EMPTY;3.9; 2.6038; 0.670957;0.0359401; 0.539178; false;5.87; 1.73915; 0.446491;0.647897; 2.95684; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 2.70093; 0.699544;1.7; 0.6927; 0.0000; 0.1842;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.81; 0.506864; 0.131758; 0.0796; 0.0961;1.45; EMPTY;1.68; 1.22194; 0.320074;0.01753055; 0.097472; false;2.83; 1.25395; 0.323511;0.467258; 0.734641; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 1.26019; 0.320819;1.62; 0.5491; 0.0000; 0.0510;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.52; 0.296188; 0.0978984; 0.0608; 0.0583;1.16; EMPTY;1.71; 1.25797; 0.32449;0.01857694; 0.112093; false;2.46; 1.30198; 0.329849;0.323133; 0.485851; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.955888; 0.336084;1.53; 0.3885; 0.0000; 0.0373;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.45; 0.274856; 0.0788232; 0.0515; 0.0486;1.63; EMPTY;1.14; 0.835941; 0.218109;0.012550780000000001; 0.059397; false;2.94; 1.29033; 0.330358;0.466913; 0.812997; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.829502; 0.221944;1.64; 0.5967; 0.0000; 0.0457;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.55; 0.401326; 0.0753663; 0.0497; 0.0377;1.41; EMPTY;1.17; 0.88355; 0.218536;0.01183484; 0.0424663; false;2.44; 1.25943; 0.226125;0.29764999999999997; 0.633086; false;ERR;ERR;ERR;ERR;ERR;ERR;TO; 1.30436; 0.361644;1.66; 0.5760; 0.0000; 0.0434;TO;MISSING;MISSING;MISSING;ERR;ERR;ERR;ERR
