name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection_emptiness;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-interall;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-interall;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-interall;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-2-*.mata;0.0; 0.00390733; 0.000468669; 0.0001;0.16; EMPTY;0.01; 0.00535401; 0.018053;0.00024430700000000003; 2.924e-05; 6.846e-06; true;0.0; 0.00480636; 0.00756585;0.001276476; 1.3261e-05; 6.3532e-05; true;0.02; 0.00547306; 0.0254475;0.000129864; 0.000916981; 0.00115672; true;TO; 0.00507566; 0.00753481;1.02; 0.0084; 0.0000; 0.0001; 0.0002;1.1; 0.0090; 0.0004; 0.0006; 0.0000;1.1; 0.0089; 0.0017; 0.0003; 0.0001
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-20-*.mata;TO; 0.355665; 0.0316282;MISSING;TO;MISSING;TO; 0.618653; 0.114587;0.006092819999999999;MISSING;MISSING;MISSING;TO; 0.631213; 0.120248;0.08219470000000001;MISSING;MISSING;MISSING;TO; 0.616712; 0.120083;0.005904427;MISSING;MISSING;MISSING;TO; 0.598898; 0.11118;TO;MISSING;MISSING;MISSING;MISSING;7.62; 0.2395; 0.1447; 6.1706; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-21-*.mata;TO; 0.371564; 0.0322225;MISSING;TO;MISSING;TO; 0.709385; 0.124061;0.005042548;MISSING;MISSING;MISSING;TO; 0.683659; 0.13135;0.08202293000000002;MISSING;MISSING;MISSING;TO; 0.712255; 0.141707;0.007107799;MISSING;MISSING;MISSING;TO; 0.719075; 0.151418;TO;MISSING;MISSING;MISSING;MISSING;7.4; 0.2322; 0.1425; 6.0793; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-22-*.mata;TO; 0.460949; 0.0426357;MISSING;TO;MISSING;TO; 0.826691; 0.147749;0.007131676;MISSING;MISSING;MISSING;TO; 0.817577; 0.112338;0.07201011;MISSING;MISSING;MISSING;TO; 0.608697; 0.106746;0.005275736;MISSING;MISSING;MISSING;TO; 0.733266; 0.109188;TO;MISSING;MISSING;MISSING;MISSING;6.72; 0.2743; 0.1504; 5.2986; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-23-*.mata;TO; 0.504913; 0.043495;MISSING;TO;MISSING;TO; 0.899628; 0.163771;0.008089339000000001;MISSING;MISSING;MISSING;TO; 0.934543; 0.164341;0.11932715;MISSING;MISSING;MISSING;TO; 0.956475; 0.18313;0.008950353;MISSING;MISSING;MISSING;TO; 0.875196; 0.149501;TO;MISSING;MISSING;MISSING;MISSING;6.82; 0.3079; 0.1027; 5.3989; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-24-*.mata;TO; 0.554156; 0.056819;MISSING;TO;MISSING;TO; 0.938671; 0.16743;0.008563391999999998;MISSING;MISSING;MISSING;TO; 1.01303; 0.179292;0.12127319;MISSING;MISSING;MISSING;TO; 0.970777; 0.169864;0.009437661;MISSING;MISSING;MISSING;TO; 1.00397; 0.188127;TO;MISSING;MISSING;MISSING;MISSING;11.07; 0.3406; 0.2401; 9.4890; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-25-*.mata;TO; 0.302897; 0.0315041;MISSING;TO;MISSING;TO; 1.02198; 0.187571;0.008240719;MISSING;MISSING;MISSING;TO; 1.13241; 0.205341;0.14430688;MISSING;MISSING;MISSING;TO; 1.04803; 0.198525;0.009938935999999999;MISSING;MISSING;MISSING;TO; 0.786637; 0.190711;TO;MISSING;MISSING;MISSING;MISSING;10.13; 0.3452; 0.2451; 8.5520; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-26-*.mata;ERR;ERR;ERR;ERR;TO;MISSING;TO; 1.03388; 0.198014;0.009134587;MISSING;MISSING;MISSING;TO; 0.82429; 0.151752;0.10283957999999997;MISSING;MISSING;MISSING;TO; 1.06054; 0.135582;0.007365886;MISSING;MISSING;MISSING;TO; 1.10838; 0.188087;TO;MISSING;MISSING;MISSING;MISSING;14.41; 0.3720; 0.2792; 12.7623; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-27-*.mata;TO; 0.612474; 0.0548161;MISSING;TO;MISSING;TO; 1.15655; 0.223187;0.012370361000000003;MISSING;MISSING;MISSING;TO; 0.834468; 0.199064;0.13040183000000002;MISSING;MISSING;MISSING;TO; 1.17071; 0.250673;0.011878608000000002;MISSING;MISSING;MISSING;TO; 1.25342; 0.24002;TO;MISSING;MISSING;MISSING;MISSING;19.34; 0.3761; 0.3001; 17.6233; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-28-*.mata;TO; 0.729409; 0.0722299;MISSING;TO;MISSING;TO; 1.29912; 0.239871;0.015482829;MISSING;MISSING;MISSING;TO; 1.42002; 0.235321;0.17483720000000005;MISSING;MISSING;MISSING;TO; 1.32507; 0.255529;0.013347545000000002;MISSING;MISSING;MISSING;TO; 1.08346; 0.243729;TO;MISSING;MISSING;MISSING;MISSING;13.99; 0.3946; 0.2936; 12.3452; 0.0000;TO;MISSING;MISSING;MISSING;MISSING
