name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-emptiness;pyfado-runtime;pyautomata-lib-runtime
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-500-rhs.mata;4.03; 0.507624; 0.0466774; 3.5925;2.3; NOT EMPTY;1.1; 0.930895; 0.159286;0.005035329999999999; 4.759e-06; 6.707e-06; true;1.07; 0.799725; 0.155899;0.0995279; 1.5672e-05; 6.609e-06; true;1.08; 0.89994; 0.164855;0.0073336600000000005; 0.000669627; 0.000517042; true;TO; 0.932107; 0.157603;4.31; 0.2104; 0.0000; 1.9499; 0.9944;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-550-rhs.mata;5.53; 0.657333; 0.0534446; 4.8448;2.87; NOT EMPTY;8.02; 1.04001; 0.174439;0.00589386; 3.16463; 2.11452; false;1.07; 0.825456; 0.124911;0.0746959; 0.0128029; 0.0162651; false;4.85; 0.914658; 0.120619;0.00545859; 1.41164; 2.29322; false;TO; 1.10854; 0.177122;6.14; 0.4291; 0.0000; 3.0907; 1.4611;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-600-rhs.mata;6.43; 0.722476; 0.0603414; 5.7103;3.64; NOT EMPTY;9.59; 1.0585; 0.131278;0.0064849; 3.97656; 2.49176; false;1.27; 1.02551; 0.12972;0.0783769; 0.013255; 0.015104; false;5.05; 0.769994; 0.127404;0.00598064; 1.57837; 2.46801; false;TO; 1.09612; 0.173726;5.9; 0.2508; 0.0000; 2.7769; 1.6506;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;6.78; 0.812334; 0.0704626; 5.9997;4.0; NOT EMPTY;10.89; 1.28723; 0.205505;0.00667782; 4.37204; 2.71036; false;1.59; 1.24085; 0.191928;0.1146629; 0.0197413; 0.0251908; false;9.15; 1.08853; 0.205052;0.01045093; 3.29302; 4.37601; false;TO; 1.20282; 0.145182;8.75; 0.5200; 0.0000; 4.4665; 2.2976;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;9.51; 0.796404; 0.064456; 8.8608;3.26; NOT EMPTY;1.55; 1.33257; 0.216739;0.0072131; 5.874e-06; 7.516e-06; true;1.33; 0.954763; 0.21566;0.1380632; 1.4326e-05; 6.196e-06; true;1.07; 0.90168; 0.147367;0.00668939; 0.000476349; 0.000380923; true;TO; 1.02533; 0.15304;10.5; 0.5279; 0.0000; 5.6010; 2.8151;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;11.08; 0.890207; 0.0703003; 10.2172;3.98; NOT EMPTY;1.42; 1.27297; 0.154194;0.00483126; 3.331e-06; 6.166e-06; true;1.33; 1.05569; 0.160817;0.0962459; 1.05e-05; 5.291e-06; true;1.7; 1.43691; 0.236372;0.011731579999999998; 0.000755405; 0.000558407; true;TO; 0.976605; 0.159272;11.65; 0.5691; 0.0000; 6.2897; 3.2418;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;10.03; 0.51664; 0.0480684; 9.3661;6.49; NOT EMPTY;1.78; 1.51021; 0.251331;0.008664100000000001; 5.983e-06; 6.581e-06; true;1.84; 1.44667; 0.245038;0.1421695; 1.284e-05; 5.682e-06; true;1.23; 0.998271; 0.198702;0.00861553; 0.000558744; 0.000437132; true;TO; 1.53159; 0.265822;13.42; 0.6315; 0.0000; 7.2870; 3.8485;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;13.64; 0.853632; 0.0695847; 12.9170;6.94; NOT EMPTY;1.85; 1.56767; 0.270254;0.008784940000000001; 7.099e-06; 6.911e-06; true;2.05; 1.61421; 0.268121;0.15476079999999998; 1.3018e-05; 5.732e-06; true;1.24; 1.02728; 0.179675;0.00906195; 0.00052638; 0.000367045; true;TO; 1.4819; 0.246459;13.04; 0.3576; 0.0000; 7.1636; 3.7359;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;14.58; 0.556089; 0.0590792; 13.6459;8.32; NOT EMPTY;2.1; 1.75762; 0.315608;0.00990522; 4.134e-06; 7.457e-06; true;1.64; 1.31381; 0.192808;0.1228664; 1.1625e-05; 5.166e-06; true;1.3; 1.06828; 0.19216;0.00962048; 0.00059954; 0.000404975; true;TO; 1.18495; 0.223839;18.0; 0.7003; 0.0000; 10.2474; 5.3652;TO;TO
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;18.02; 1.08475; 0.0907003; 17.4294;8.87; NOT EMPTY;2.16; 1.81344; 0.330947;0.01076913; 5.239e-06; 8.297e-06; true;2.16; 1.679; 0.282651;0.1839934; 1.7336e-05; 7.039e-06; true;2.03; 1.69222; 0.303814;0.015448179999999999; 0.000806296; 0.000683281; true;TO; 1.66859; 0.281674;20.83; 0.7240; 0.0000; 11.8527; 6.5229;TO;TO
