name;automata-runtime;mata-runtime;mata-mataparsing;mata-construction;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00279-1.mata;ERR;0.0; 0.000206493; 2.8198e-05; 5.0489e-05; 2.067e-06; false;0.0; 0.000111664; 0.000233445; 0.000142077; 2.2347e-05; false;0.0; 0.000110009; 1.7497e-05; 0.000531651; 0.000387574; false;TO; 0.000109769;0.82; 0.0044; 0.0000; 0.0001; 0.0000;1.12; 0.0061; 0.0001; 0.0000; 0.0000;1.14; 0.0062; 0.0005; 0.0001; 0.0001
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-1.mata;ERR;0.0; 0.000123193; 3.0508e-05; 2.9409e-05; 2.525e-06; false;0.0; 0.000118935; 0.000173364; 0.000137263; 2.2395e-05; false;0.0; 7.6691e-05; 1.1147e-05; 0.000428655; 0.000332046; false;TO; 0.000114329;1.13; 0.0060; 0.0000; 0.0001; 0.0000;1.02; 0.0060; 0.0001; 0.0000; 0.0000;1.07; 0.0072; 0.0005; 0.0001; 0.0001
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance00296-2.mata;ERR;0.0; 0.000303647; 2.6716e-05; 5.6067e-05; 2.374e-06; false;0.0; 7.3005e-05; 0.000132077; 8.714e-05; 2.2043e-05; false;0.01; 0.000134788; 1.4889e-05; 0.000763786; 0.000645138; false;TO; 0.000117169;1.05; 0.0062; 0.0000; 0.0001; 0.0000;0.87; 0.0043; 0.0001; 0.0000; 0.0000;0.99; 0.0045; 0.0003; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance01829-1.mata;ERR;0.0; 0.000110044; 2.8709e-05; 2.9761e-05; 2.549e-06; false;0.0; 0.00010612; 0.000171193; 0.000133843; 2.373e-05; false;0.0; 0.000127419; 1.5826e-05; 0.000651704; 0.000632763; false;TO; 0.00010187;1.02; 0.0060; 0.0000; 0.0001; 0.0000;0.76; 0.0043; 0.0001; 0.0000; 0.0000;0.96; 0.0061; 0.0003; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02090-1.mata;ERR;0.0; 9.8037e-05; 2.147e-05; 2.0372e-05; 2.282e-06; false;0.0; 7.4516e-05; 0.000113016; 9.9011e-05; 1.6253e-05; false;0.0; 7.8198e-05; 9.883e-06; 0.000415813; 0.000363133; false;TO; 7.1635e-05;0.91; 0.0062; 0.0000; 0.0001; 0.0000;0.95; 0.0061; 0.0001; 0.0000; 0.0000;0.95; 0.0062; 0.0003; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-1.mata;ERR;0.0; 0.000104849; 2.7407e-05; 2.7361e-05; 2.624e-06; false;0.0; 0.000112507; 0.00015312; 0.000125719; 2.3465e-05; false;0.0; 0.000102672; 1.1537e-05; 0.000601521; 0.00053517; false;TO; 9.7331e-05;1.0; 0.0061; 0.0000; 0.0001; 0.0000;0.79; 0.0043; 0.0001; 0.0000; 0.0000;0.92; 0.0060; 0.0004; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-10.mata;ERR;0.0; 0.00013252; 2.8648e-05; 4.135e-05; 3.438e-06; false;0.0; 0.000105305; 0.000162399; 0.000145282; 2.431e-05; false;0.0; 0.000126218; 1.2446e-05; 0.000616211; 0.000582586; false;TO; 0.000110715;0.99; 0.0063; 0.0000; 0.0001; 0.0000;1.06; 0.0062; 0.0001; 0.0001; 0.0000;1.01; 0.0062; 0.0004; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-2.mata;ERR;0.0; 8.1524e-05; 2.1498e-05; 2.0539e-05; 2.445e-06; false;0.0; 7.734e-05; 0.000123545; 9.9658e-05; 1.6688e-05; false;0.0; 7.8827e-05; 1.2346e-05; 0.000441115; 0.000369677; false;TO; 7.261e-05;1.0; 0.0060; 0.0000; 0.0001; 0.0000;1.0; 0.0063; 0.0001; 0.0000; 0.0000;1.0; 0.0062; 0.0005; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-3.mata;ERR;0.0; 7.7153e-05; 2.1175e-05; 2.0009e-05; 2.194e-06; false;0.0; 7.5994e-05; 0.000112993; 8.7839e-05; 1.6426e-05; false;0.0; 7.7395e-05; 1.0335e-05; 0.000439318; 0.000397784; false;TO; 7.0935e-05;1.0; 0.0063; 0.0000; 0.0001; 0.0000;1.02; 0.0061; 0.0001; 0.0001; 0.0000;0.97; 0.0062; 0.0004; 0.0001; 0.0000
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance02993-4.mata;ERR;0.0; 0.000115462; 2.7211e-05; 2.7767e-05; 2.699e-06; false;0.0; 0.000105082; 0.000162444; 0.000123778; 2.3243e-05; false;0.0; 0.000105917; 1.6836e-05; 0.000590632; 0.00054859; false;TO; 9.9447e-05;0.94; 0.0061; 0.0000; 0.0001; 0.0000;0.87; 0.0045; 0.0001; 0.0000; 0.0000;0.83; 0.0045; 0.0003; 0.0001; 0.0000
