name;automata-runtime;mata-runtime;mata-mataparsing;mata-construction;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_670.0.mata;ERR;0.47; 0.248711; 0.0508759; 0.123714; 6.562e-06; false;1.36; 0.398913; 0.66549; 0.162897; 0.00610374; false;ERR;TO; 0.414533;0.84; 0.1416; 0.0000; 0.0257; 0.0000;2.07; 0.1420; 1.1973; 0.0036; 0.0351;1.59; 0.2134; 0.4356; 0.0023; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_671.0.mata;ERR;0.57; 0.243477; 0.0770299; 0.201947; 8.284e-06; false;1.21; 0.40838; 0.477908; 0.227527; 0.00887802; false;ERR;TO; 0.425473;1.23; 0.2623; 0.0000; 0.0495; 0.0000;2.01; 0.1381; 1.1559; 0.0037; 0.0370;1.86; 0.2522; 0.6948; 0.0022; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_673.0.mata;ERR;1.86; 0.853677; 0.276614; 0.612403; 8.314e-06; false;3.25; 0.847189; 1.53294; 0.510563; 0.0189071; false;ERR;TO; 0.860282;1.0; 0.2898; 0.0000; 0.0484; 0.0000;3.4; 0.2844; 2.3616; 0.0071; 0.0749;1.67; 0.2864; 0.7211; 0.0022; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_678.0.mata;ERR;1.86; 0.867891; 0.260241; 0.610819; 8.08e-06; false;3.3; 0.820521; 1.58712; 0.491883; 0.0183479; false;ERR;TO; 0.85542;1.48; 0.5118; 0.0000; 0.0927; 0.0000;5.3; 0.5135; 3.8718; 0.0068; 0.0703;2.9; 0.5140; 1.4965; 0.0045; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/Primes_true-unreach-call.c_798.0.mata;ERR;47.62; 9.7135; 5.75215; 30.69; 1.0118e-05; false;TO; 15.826; 28.0415;MISSING;MISSING;MISSING;ERR;TO; 9.882;13.71; 9.0849; 0.0000; 4.6894; 0.0000;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested6_true-unreach-call.i_7.0.mata;ERR;0.01; 0.0095032; 0.000919165; 0.00223692; 5.349e-06; false;0.03; 0.0092142; 0.0144821; 0.00984998; 0.000848749; false;ERR;TO; 0.00938682;1.04; 0.0126; 0.0000; 0.0013; 0.0000;1.08; 0.0125; 0.0221; 0.0004; 0.0011;1.06; 0.0119; 0.0119; 0.0004; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1070.0.mata;ERR;0.05; 0.0325399; 0.0023795; 0.00638672; 4.809e-06; false;0.17; 0.0322195; 0.0501032; 0.0778312; 0.00268838; false;ERR;TO; 0.0323053;1.05; 0.0247; 0.0000; 0.0032; 0.0000;1.1; 0.0238; 0.0769; 0.0011; 0.0063;1.06; 0.0251; 0.0307; 0.0005; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1072.0.mata;ERR;0.09; 0.0621205; 0.00648454; 0.0144799; 5.376e-06; false;0.33; 0.0615509; 0.100416; 0.150573; 0.00511848; false;ERR;TO; 0.0639557;1.06; 0.0433; 0.0000; 0.0062; 0.0000;1.12; 0.0413; 0.1472; 0.0017; 0.0120;1.03; 0.0409; 0.0577; 0.0008; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1107.0.mata;ERR;0.28; 0.192981; 0.0183438; 0.0346441; 7.588e-06; false;0.72; 0.19287; 0.335951; 0.145829; 0.00313391; false;ERR;TO; 0.193497;1.09; 0.1168; 0.0000; 0.0126; 0.0000;1.82; 0.1279; 0.6438; 0.0042; 0.0635;1.26; 0.1211; 0.1501; 0.0010; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1117.0.mata;ERR;0.15; 0.104137; 0.0121132; 0.0210517; 5.162e-06; false;0.26; 0.0633615; 0.117058; 0.0567717; 0.0017618; false;ERR;TO; 0.0656552;1.07; 0.0733; 0.0000; 0.0090; 0.0000;0.97; 0.0413; 0.1443; 0.0013; 0.0123;1.13; 0.0699; 0.0895; 0.0008; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;ERR;0.12; 0.0874065; 0.00824027; 0.0149653; 6.29e-06; false;0.52; 0.140665; 0.239079; 0.112029; 0.00304881; false;ERR;TO; 0.144273;1.06; 0.0934; 0.0000; 0.0111; 0.0000;1.45; 0.0914; 0.3738; 0.0029; 0.0350;1.15; 0.0941; 0.1130; 0.0010; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;ERR;0.2; 0.143546; 0.0130362; 0.0250268; 5.706e-06; false;0.52; 0.142619; 0.236202; 0.113327; 0.00298473; false;ERR;TO; 0.151285;1.03; 0.0908; 0.0000; 0.0108; 0.0000;1.45; 0.0929; 0.3702; 0.0029; 0.0344;1.13; 0.0933; 0.1101; 0.0010; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;ERR;0.05; 0.0317353; 0.00367399; 0.0107687; 3.631e-06; false;0.15; 0.0309063; 0.0479015; 0.0640023; 0.00488195; false;ERR;TO; 0.0317129;1.0; 0.0295; 0.0000; 0.0053; 0.0000;1.08; 0.0252; 0.0973; 0.0013; 0.0067;1.05; 0.0243; 0.0424; 0.0010; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;ERR;0.05; 0.0344009; 0.00370093; 0.0116533; 3.36e-06; false;0.14; 0.0330687; 0.0522129; 0.0400337; 0.00329402; false;ERR;TO; 0.0343393;0.74; 0.0148; 0.0000; 0.0025; 0.0000;0.75; 0.0172; 0.0514; 0.0007; 0.0037;0.73; 0.0163; 0.0225; 0.0005; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;ERR;0.16; 0.117602; 0.0105301; 0.0221538; 3.608e-06; false;0.43; 0.115989; 0.186502; 0.103405; 0.00338167; false;ERR;TO; 0.117866;0.95; 0.0449; 0.0000; 0.0058; 0.0000;1.36; 0.0768; 0.3088; 0.0027; 0.0287;1.08; 0.0747; 0.0933; 0.0011; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;ERR;0.16; 0.117921; 0.0105668; 0.0221886; 6.291e-06; false;0.44; 0.122358; 0.183406; 0.105259; 0.00342453; false;ERR;TO; 0.119203;0.73; 0.0441; 0.0000; 0.0057; 0.0000;0.92; 0.0436; 0.1585; 0.0013; 0.0149;0.78; 0.0432; 0.0475; 0.0006; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;ERR;0.11; 0.0813945; 0.00786305; 0.0153181; 4.74e-06; false;0.5; 0.131149; 0.218095; 0.119242; 0.00400718; false;ERR;TO; 0.13712;1.03; 0.0858; 0.0000; 0.0113; 0.0000;1.43; 0.0858; 0.3816; 0.0030; 0.0373;1.11; 0.0868; 0.1095; 0.0013; 0.0001
