                                                1st Quartile / Median / 3rd Quartile                                                
------------------------------------------------------------------------------------------------------------------------------------
bench    mata       mata-old    awali      mona       vata       automata    brics     (j)alib    fado        (py)alib    (py)mata
-------  ---------  ----------  ---------  ---------  ---------  ----------  --------  ---------  ----------  ----------  ----------
aut_i    0, 0, 1    0, 0, 1     0, 0, 1    0, 60, 60  0, 0, 1    0, 0, 3     0, 1, 4   0, 1, 4    1, 60, 60   0, 0, 2     0, 0, 1
bc_co    0, 0, 0    0, 0, 0     0, 0, 0    0, 60, 60  0, 0, 0    0, 0, 0     0, 0, 1   0, 30, 60  0, 1, 2     0, 30, 60   0, 0, 1
bc_co    0, 0, 2    0, 0, 2     0, 0, 7    0, 60, 60  0, 0, 8    0, 1, 21    0, 4, 20  0, 60, 60  60, 60, 60  0, 60, 60   0, 2, 13
bc_co    0, 0, 2    0, 0, 2     0, 0, 7    0, 60, 60  0, 0, 9    0, 1, 21    0, 4, 21  0, 60, 60  60, 60, 60  0, 60, 60   0, 2, 12
bc_in    0, 0, 1    0, 0, 1     0, 0, 3    0, 3, 60   0, 1, 9    0, 0, 1     0, 0, 2   1, 60, 60  4, 60, 60   60, 60, 60  0, 0, 3
bc_in    1, 60, 60  1, 60, 60   0, 21, 60  0, 2, 60   0, 27, 60  1, 60, 60   0, 0, 2   1, 60, 60  60, 60, 60  60, 60, 60  60, 60, 60
email    0, 0, 0    0, 0, 0     0, 0, 0    0, 60, 60  0, 0, 0    0, 0, 0     0, 0, 1   0, 0, 2    1, 38, 60   0, 0, 1     0, 0, 0
presb    0, 0, 0    0, 0, 0     0, 0, 0    0, 30, 60  0, 0, 0    0, 0, 0     0, 0, 1   0, 0, 1    0, 0, 1     0, 0, 1     0, 0, 0
z3_no    0, 0, 0    0, 0, 0     0, 0, 0    0, 30, 60  0, 0, 0    0, 0, 0     0, 0, 1   0, 0, 1    0, 0, 22    0, 0, 0     0, 0, 0
