name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06722.mata;0.05; 0.0514387; 0.00210173; 0.000130089; 0.000143353; false;0.05; 0.0506629; 0.00215583; 0.000118738; 0.000198188; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06730.mata;0.01; 0.0195325; 0.00162494; 7.872e-05; 6.0623e-05; false;0.01; 0.00898835; 0.000802326; 3.795e-05; 2.6619e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06770.mata;0.07; 0.031304; 0.0365276; 0.00118324; 0.000127475; false;0.07; 0.0297418; 0.0382945; 0.00127003; 0.000133026; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06780.mata;0.0; 0.00137452; 0.000460671; 4.81e-05; 4.0996e-05; false;0.0; 0.00262226; 0.00121816; 8.4196e-05; 6.5256e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06846.mata;0.03; 0.0313328; 0.00238828; 0.000169282; 7.958e-05; false;0.03; 0.0298253; 0.00236151; 0.000135165; 7.2069e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06848.mata;0.0; 0.00111605; 0.00127538; 0.000134723; 5.2023e-05; false;0.0; 0.00106721; 0.00134595; 0.000179398; 9.6031e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06892.mata;0.01; 0.00786416; 0.00127368; 7.2422e-05; 3.7981e-05; false;0.0; 0.00385502; 0.000736177; 6.0232e-05; 4.2867e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06928.mata;8.63; 8.99431; 0.215327; 0.000266344; 0.000111214; false;8.72; 8.80374; 0.243097; 0.000219799; 0.000147885; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06935.mata;0.07; 0.0736189; 0.0029178; 0.000198424; 0.000203127; false;0.07; 0.0702643; 0.00284016; 0.000191019; 0.000199448; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06956.mata;0.0; 0.000454081; 0.000287289; 3.0086e-05; 2.4228e-05; false;0.0; 0.000860763; 0.000647099; 6.9246e-05; 3.8391e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06963.mata;0.04; 0.0347473; 0.0104294; 0.000420967; 8.4411e-05; false;0.03; 0.0284277; 0.007211; 0.000217182; 4.9868e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance06975.mata;0.0; 0.00195976; 0.00207188; 8.5626e-05; 6.5933e-05; false;0.0; 0.00195924; 0.00214428; 7.3693e-05; 6.2869e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07006.mata;0.07; 0.0686591; 0.00515449; 0.000379784; 0.000180163; false;0.07; 0.0618541; 0.00500273; 0.000306457; 0.00019319; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07019.mata;0.02; 0.0194293; 0.00136077; 7.5023e-05; 4.3822e-05; false;0.04; 0.0351516; 0.00308722; 0.000115027; 7.832e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07040.mata;0.0; 0.000706087; 0.000614671; 6.818e-05; 3.9287e-05; false;0.0; 0.000706294; 0.000633789; 5.9707e-05; 4.0598e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07045.mata;0.01; 0.0144896; 0.00192067; 0.000261486; 3.4485e-05; false;0.03; 0.02428; 0.00196766; 0.000296743; 3.3524e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07064.mata;0.17; 0.00908348; 0.154313; 0.00610422; 0.000184096; false;0.14; 0.00477077; 0.126176; 0.00561786; 0.000194625; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07075.mata;9.89; 9.40673; 0.91098; 0.000505693; 0.000149678; false;9.74; 8.88862; 1.06404; 0.000725925; 0.000104751; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07110.mata;0.0; 0.00118652; 0.000188162; 1.4866e-05; 1.4533e-05; false;0.0; 0.00185206; 0.000322855; 2.2825e-05; 2.0175e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07137.mata;0.12; 0.0475224; 0.0662689; 0.00399642; 9.9672e-05; false;0.11; 0.0450266; 0.0681864; 0.00410816; 0.000100138; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07152.mata;0.0; 0.00299325; 0.00116185; 0.000105001; 8.6484e-05; false;0.01; 0.0062396; 0.00227819; 0.000158937; 0.000128269; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07170.mata;0.0; 0.000987587; 0.000934645; 5.0306e-05; 3.4887e-05; false;0.0; 0.00186944; 0.00197982; 8.4107e-05; 5.8487e-05; false
