name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;0.37; 0.285817; 0.104798; 0.000489307; 0.000654463; 6.3318e-05; false;0.35; 0.318031; 0.0637126; 0.000473538; 0.000591645; 5.5301e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;0.39; 0.306716; 0.0977123; 0.000546871; 0.000421528; 8.2757e-05; false;0.37; 0.334511; 0.061263; 0.000560447; 0.00101679; 7.0801e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;0.41; 0.32801; 0.108735; 0.000516918; 0.000423269; 5.884e-05; false;0.35; 0.326581; 0.0613523; 0.000562929; 0.000564392; 7.5054e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.04; 0.0414553; 0.0104686; 6.2283e-05; 3.5515e-05; 1.4807e-05; false;0.03; 0.031676; 0.00924888; 6.2678e-05; 3.5212e-05; 1.4687e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;0.42; 0.329828; 0.119437; 0.000610049; 0.000475424; 6.0842e-05; false;0.39; 0.349582; 0.0699789; 0.000654314; 0.00107998; 0.000100479; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.08; 0.0720237; 0.0163407; 0.000100969; 8.142e-05; 2.5657e-05; false;0.05; 0.0489508; 0.0136047; 0.000100081; 5.0418e-05; 2.1493e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;0.08; 0.0648606; 0.0265456; 0.000171032; 0.000161585; 3.9159e-05; false;0.08; 0.0780728; 0.0161112; 0.000117737; 6.6309e-05; 3.0583e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;0.11; 0.0917861; 0.030129; 0.000150576; 8.9102e-05; 3.7585e-05; false;0.11; 0.0967188; 0.0300515; 0.000293926; 0.000184722; 5.2488e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-300-rhs.mata;0.14; 0.121596; 0.0311651; 0.000191849; 0.000115729; 4.5814e-05; false;0.14; 0.132301; 0.0254249; 0.000187718; 0.000230117; 4.7198e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-350-rhs.mata;0.16; 0.143339; 0.0333601; 0.000201592; 0.000127566; 5.5018e-05; false;0.15; 0.136483; 0.037372; 0.000232869; 0.00020192; 5.5103e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-400-rhs.mata;0.17; 0.149012; 0.0463444; 0.00024444; 0.000204062; 6.3947e-05; false;0.15; 0.134689; 0.0312687; 0.000244772; 0.000173878; 6.3662e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-450-rhs.mata;0.18; 0.145146; 0.0502514; 0.000266528; 0.000171746; 8.0961e-05; false;0.16; 0.147095; 0.0333596; 0.000263695; 0.000204654; 7.1654e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-50-rhs.mata;0.02; 0.0172145; 0.00789485; 4.7901e-05; 3.6389e-05; 9.362e-06; false;0.01; 0.0158698; 0.00759143; 3.7284e-05; 1.8923e-05; 7.358e-06; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.2; 0.159506; 0.0597262; 0.000303976; 0.000232757; 8.1738e-05; false;0.21; 0.192456; 0.0420327; 0.00029475; 0.000195688; 7.9087e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.27; 0.210295; 0.0743814; 0.000360143; 0.000620547; 6.1668e-05; false;0.21; 0.189204; 0.0414713; 0.00030853; 0.000284752; 3.3015e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;0.24; 0.193141; 0.0658928; 0.000374547; 0.000244373; 5.6759e-05; false;0.25; 0.232678; 0.0403102; 0.000365332; 0.000289945; 3.7697e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.26; 0.213712; 0.0738092; 0.000411718; 0.00035932; 5.0191e-05; false;0.24; 0.22412; 0.0448455; 0.000384101; 0.000255164; 4.353e-05; false
