name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05755-1.mata;0.0; 5.4439e-05;0.00032116;0.000342959; 3.8311e-05; false;0.0; 5.0476e-05;0.000516979;0.000318686; 3.9551e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance05997-1.mata;0.07; 0.000188832;0.02151977;0.010990630000000001; 0.000876332; false;0.06; 0.000178561;0.014747152;0.009140609000000001; 0.000963114; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-1.mata;0.23; 0.00205608;0.068350519;0.028378706; 0.00560274; false;0.22; 0.0010312;0.06509553600000001;0.027937733; 0.00517376; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-2.mata;0.04; 0.000284517;0.012822885999999999;0.008391777; 0.00143678; false;0.03; 0.000283193;0.011819755;0.007165805; 0.000707466; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-3.mata;0.01; 0.000122473;0.006002785;0.003500751; 0.00062605; false;0.02; 0.000115692;0.006039832;0.003947269; 0.000921257; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06179-4.mata;0.05; 0.000233435;0.013370066;0.008386839; 0.00200569; false;0.07; 0.000416084;0.018948982000000003;0.011658026; 0.00140543; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-1.mata;0.13; 0.000551791;0.037758647;0.013581778; 0.00120225; false;0.15; 0.000964734;0.059801057;0.016576505000000002; 0.00122284; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;0.05; 0.000203328;0.014744014;0.009840060000000001; 0.00278175; false;0.05; 0.000348666;0.016713298;0.012193272; 0.00185121; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;0.0; 0.000124977;0.0005289730000000001;0.000397311; 5.6917e-05; false;0.0; 7.4961e-05;0.000629768;0.00029458299999999995; 3.9134e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;0.04; 0.000217116;0.01163579;0.006560926999999999; 0.00167716; false;0.03; 0.000225719;0.012286842;0.006759006999999999; 0.0017543; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;0.04; 0.00020318;0.010997419999999999;0.005062287; 0.000717202; false;0.04; 0.000191833;0.016333622;0.005406605; 0.000791151; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;0.08; 0.000453882;0.022328392000000002;0.014836071000000001; 0.0043613; false;0.07; 0.000223558;0.023689133;0.015520784; 0.00268815; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;0.04; 0.000235183;0.013024661;0.0052298150000000005; 0.00154553; false;0.04; 0.000385697;0.014772661;0.006495769; 0.000846057; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;1.19; 0.00965496;0.385585011;0.108513882; 0.0155219; false;1.15; 0.00682946;0.370766018;0.100692632; 0.0192811; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;0.0; 7.9167e-05;0.001733053;0.000495756; 0.00015012; false;0.0; 7.7038e-05;0.001745171;0.000369501; 0.000110717; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;0.01; 0.000211805;0.005330598000000001;0.001157929; 0.000475216; false;0.01; 0.000118218;0.004975712;0.001048586; 0.000287783; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;0.02; 0.000251697;0.008548396;0.00180766; 0.000541003; false;0.01; 0.00011811;0.005064967;0.001138672; 0.000424588; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-13.mata;0.0; 8.4427e-05;0.00029358;0.00019785800000000003; 3.6816e-05; false;0.0; 5.0484e-05;0.000286216;0.000176454; 3.8525e-05; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-14.mata;0.0; 0.000120505;0.0031002779999999997;0.000648189; 0.000196437; false;0.0; 7.5164e-05;0.00175778;0.000362983; 0.000104491; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-15.mata;0.01; 0.000127224;0.004772946;0.00097687; 0.000374505; false;0.02; 0.000221543;0.008311652;0.001709323; 0.00033824; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-16.mata;0.01; 0.000138603;0.00480642;0.0011760389999999998; 0.000357223; false;0.01; 0.000126518;0.004878701;0.0011139740000000002; 0.00034265; false
