name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-650-rhs.mata;0.83; 0.212478; 0.0664031; 0.480048; 0.153257; 0.000168505; false;0.81; 0.2266; 0.0440219; 0.494363; 0.144095; 0.000102929; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-700-rhs.mata;0.91; 0.236085; 0.0913813; 0.490418; 0.178485; 0.000269295; false;0.92; 0.243105; 0.0554675; 0.550345; 0.174056; 0.000178666; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;1.01; 0.23933; 0.0714841; 0.619459; 0.190784; 0.000132116; false;1.06; 0.256897; 0.0426712; 0.70778; 0.181218; 0.000119114; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;1.3; 0.278274; 0.0974326; 0.850303; 0.208327; 0.000160573; false;1.07; 0.255187; 0.0584278; 0.674779; 0.200185; 0.000130943; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;1.35; 0.273999; 0.0846328; 0.870331; 0.251384; 0.000275103; false;1.27; 0.281427; 0.0510911; 0.849318; 0.237842; 0.000232227; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;1.36; 0.305826; 0.0868119; 0.869351; 0.255562; 0.000145978; false;1.51; 0.320328; 0.0616684; 1.04082; 0.26193; 0.000319469; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;1.87; 0.298498; 0.0949795; 1.35355; 0.303247; 0.000257613; false;1.47; 0.307108; 0.0564781; 0.999603; 0.284901; 0.000158562; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;0.04; 0.0299563; 0.0100754; 0.00577763; 0.00304714; 1.1734e-05; false;0.04; 0.0303051; 0.00882037; 0.00588916; 0.00294212; 1.24e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;1.71; 0.32952; 0.0907171; 1.15053; 0.341499; 0.000113146; false;1.75; 0.327854; 0.0651561; 1.22412; 0.350812; 4.5907e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;0.08; 0.0478145; 0.0162701; 0.0149351; 0.00859532; 1.7511e-05; false;0.11; 0.0843639; 0.0176182; 0.0194939; 0.00944056; 3.6472e-05; false
