   1st Quartile / Median / 3rd Quartile   
------------------------------------------
bench    mata        mata-sim    awali
-------  ----------  ----------  ---------
aut_i    0, 0, 1     0, 0, 1     0, 0, 1
bc_co    0, 0, 0     0, 0, 0     0, 0, 0
bc_co    0, 0, 1     0, 0, 1     0, 1, 6
bc_co    0, 60, 60   60, 60, 60  0, 0, 60
bc_in    0, 0, 1     0, 0, 1     0, 0, 2
bc_in    38, 60, 60  27, 60, 60  0, 21, 60
email    0, 0, 0     0, 0, 0     0, 0, 0
presb    0, 0, 0     0, 0, 0     0, 0, 0
presb    0, 0, 0     0, 0, 0     0, 0, 0
z3_no    0, 0, 0     0, 0, 0     0, 0, 0
z3_no    0, 0, 0     0, 0, 0     0, 0, 0
