name;explicit-stats-runtime;explicit-stats-min-alph;explicit-stats-avg-alph;explicit-stats-max-alph;explicit-stats-min-states;explicit-stats-avg-states;explicit-stats-max-states;explicit-stats-min-transitions;explicit-stats-avg-transitions;explicit-stats-max-transitions;minterm-stats-runtime;minterm-stats-min-alph;minterm-stats-avg-alph;minterm-stats-max-alph;minterm-stats-min-states;minterm-stats-avg-states;minterm-stats-max-states;minterm-stats-min-transitions;minterm-stats-avg-transitions;minterm-stats-max-transitions
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06061-*.mata;0.54; 14; 63; 78; 8; 33; 81; 23; 2139; 6318;0.62; 14; 63; 78; 8; 33; 81; 23; 2139; 6318
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06066-*.mata;0.5; 18; 18; 18; 7; 20; 34; 126; 369; 612;0.71; 18; 18; 18; 7; 20; 34; 126; 369; 612
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06067-*.mata;0.53; 42; 56; 60; 19; 32; 51; 179; 447; 1140;0.58; 42; 56; 60; 19; 32; 51; 179; 447; 1140
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06070-*.mata;0.48; 43; 43; 43; 9; 24; 37; 387; 1021; 1591;0.63; 43; 43; 43; 9; 24; 37; 387; 1021; 1591
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06071-*.mata;0.49; 20; 31; 41; 17; 24; 37; 54; 633; 1517;0.78; 20; 31; 41; 17; 24; 37; 54; 633; 1517
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06076-*.mata;0.52; 21; 57; 66; 14; 60; 157; 38; 3598; 10362;0.67; 21; 57; 66; 14; 60; 157; 38; 3598; 10362
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06077-*.mata;0.48; 16; 48; 58; 20; 29; 51; 21; 1412; 2958;0.61; 16; 48; 58; 20; 29; 51; 21; 1412; 2958
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06082-*.mata;0.48; 53; 53; 53; 7; 27; 47; 371; 1431; 2491;0.77; 53; 53; 53; 7; 27; 47; 371; 1431; 2491
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06083-*.mata;0.58; 17; 57; 79; 28; 91; 288; 32; 5460; 22752;0.76; 17; 57; 79; 28; 91; 288; 32; 5460; 22752
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06084-*.mata;0.5; 73; 73; 73; 18; 18; 19; 1314; 1350; 1387;0.6; 73; 73; 73; 18; 18; 19; 1314; 1350; 1387
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06085-*.mata;0.45; 31; 46; 54; 5; 16; 35; 53; 135; 270;0.6; 31; 46; 54; 5; 16; 35; 53; 135; 270
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06088-*.mata;0.51; 12; 33; 56; 22; 30; 34; 40; 678; 1293;0.75; 12; 33; 56; 22; 30; 34; 40; 678; 1293
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06089-*.mata;0.43; 28; 28; 28; 9; 31; 53; 108; 180; 252;0.76; 28; 28; 28; 9; 31; 53; 108; 180; 252
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06092-*.mata;0.51; 23; 61; 82; 24; 40; 56; 32; 2319; 4592;0.77; 23; 61; 82; 24; 40; 56; 32; 2319; 4592
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06093-*.mata;0.54; 11; 40; 72; 6; 13; 19; 30; 538; 1080;0.77; 11; 40; 72; 6; 13; 19; 30; 538; 1080
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06094-*.mata;0.4; 78; 78; 78; 16; 31; 45; 1248; 2387; 3510;0.69; 78; 78; 78; 16; 31; 45; 1248; 2387; 3510
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06095-*.mata;0.42; 14; 46; 78; 11; 34; 55; 21; 2050; 4290;0.73; 14; 46; 78; 11; 34; 55; 21; 2050; 4290
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06098-*.mata;0.47; 11; 54; 74; 5; 13; 35; 22; 666; 2590;0.73; 11; 54; 74; 5; 13; 35; 22; 666; 2590
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06099-*.mata;0.38; 72; 72; 72; 11; 37; 78; 792; 2640; 5616;0.6; 72; 72; 72; 11; 37; 78; 792; 2640; 5616
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06102-*.mata;0.44; 19; 64; 87; 19; 32; 48; 33; 1787; 4176;0.65; 19; 64; 87; 19; 32; 48; 33; 1787; 4176
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06103-*.mata;0.5; 22; 55; 68; 13; 36; 60; 38; 1429; 4080;0.76; 22; 55; 68; 13; 36; 60; 38; 1429; 4080
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06104-*.mata;0.49; 16; 22; 29; 22; 24; 26; 23; 250; 477;0.79; 16; 22; 29; 22; 24; 26; 23; 250; 477
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06105-*.mata;0.36; 18; 42; 57; 25; 56; 90; 35; 1570; 3534;0.78; 18; 42; 57; 25; 56; 90; 35; 1570; 3534
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06108-*.mata;0.53; 73; 73; 73; 7; 20; 42; 133; 403; 730;0.66; 73; 73; 73; 7; 20; 42; 133; 403; 730
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06109-*.mata;0.45; 11; 54; 76; 12; 36; 73; 78; 2433; 5548;0.71; 11; 54; 76; 12; 36; 73; 78; 2433; 5548
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06112-*.mata;0.44; 22; 41; 65; 7; 24; 37; 35; 301; 845;0.73; 22; 41; 65; 7; 24; 37; 35; 301; 845
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06113-*.mata;0.45; 30; 30; 30; 20; 36; 53; 108; 201; 294;0.74; 30; 30; 30; 20; 36; 53; 108; 201; 294
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06114-*.mata;0.39; 37; 63; 72; 7; 24; 46; 504; 1091; 1656;0.72; 37; 63; 72; 7; 24; 46; 504; 1091; 1656
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06115-*.mata;0.53; 12; 36; 45; 6; 17; 32; 65; 392; 945;0.64; 12; 36; 45; 6; 17; 32; 65; 392; 945
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06118-*.mata;0.49; 15; 31; 51; 11; 28; 51; 66; 340; 1071;0.72; 15; 31; 51; 11; 28; 51; 66; 340; 1071
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06119-*.mata;0.44; 57; 57; 57; 12; 36; 54; 684; 2071; 3078;0.72; 57; 57; 57; 12; 36; 54; 684; 2071; 3078
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06122-*.mata;0.44; 64; 69; 71; 5; 28; 68; 355; 1895; 4828;0.69; 64; 69; 71; 5; 28; 68; 355; 1895; 4828
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06123-*.mata;0.52; 11; 29; 55; 12; 38; 78; 30; 898; 4290;0.65; 11; 29; 55; 12; 38; 78; 30; 898; 4290
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06124-*.mata;0.41; 40; 56; 60; 21; 48; 86; 112; 1275; 3240;0.7; 40; 56; 60; 21; 48; 86; 112; 1275; 3240
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06125-*.mata;0.43; 13; 51; 81; 8; 33; 76; 15; 1259; 3979;0.8; 13; 51; 81; 8; 33; 76; 15; 1259; 3979
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06128-*.mata;0.46; 64; 70; 73; 17; 30; 49; 414; 1744; 3577;0.7; 64; 70; 73; 17; 30; 49; 414; 1744; 3577
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06129-*.mata;0.41; 14; 45; 77; 6; 28; 44; 44; 160; 462;0.78; 14; 45; 77; 6; 28; 44; 44; 160; 462
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06132-*.mata;0.49; 12; 26; 43; 20; 28; 33; 40; 135; 219;0.64; 12; 26; 43; 20; 28; 33; 40; 135; 219
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06133-*.mata;0.39; 39; 39; 39; 10; 25; 40; 88; 887; 1560;0.77; 39; 39; 39; 10; 25; 40; 88; 887; 1560
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06134-*.mata;0.52; 22; 43; 67; 17; 28; 41; 49; 374; 794;0.66; 22; 43; 67; 17; 28; 41; 49; 374; 794
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06135-*.mata;0.4; 10; 17; 30; 13; 25; 48; 14; 490; 1440;0.7; 10; 17; 30; 13; 25; 48; 14; 490; 1440
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06138-*.mata;0.48; 66; 75; 78; 4; 30; 56; 312; 2199; 4368;0.76; 66; 75; 78; 4; 30; 56; 312; 2199; 4368
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06139-*.mata;0.49; 41; 71; 89; 8; 26; 39; 298; 723; 1158;0.71; 41; 71; 89; 8; 26; 39; 298; 723; 1158
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06142-*.mata;0.51; 13; 49; 71; 9; 24; 57; 93; 695; 1846;0.59; 13; 49; 71; 9; 24; 57; 93; 695; 1846
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06143-*.mata;0.42; 12; 58; 86; 10; 22; 41; 58; 633; 1806;0.73; 12; 58; 86; 10; 22; 41; 58; 633; 1806
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06144-*.mata;0.48; 58; 58; 58; 29; 40; 51; 1682; 2320; 2958;0.76; 58; 58; 58; 29; 40; 51; 1682; 2320; 2958
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06145-*.mata;0.4; 26; 55; 75; 6; 28; 44; 43; 924; 2550;0.75; 26; 55; 75; 6; 28; 44; 43; 924; 2550
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06148-*.mata;0.41; 11; 34; 50; 13; 23; 40; 14; 466; 1300;0.77; 11; 34; 50; 13; 23; 40; 14; 466; 1300
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06149-*.mata;0.52; 29; 47; 52; 12; 30; 46; 45; 1082; 2080;0.6; 29; 47; 52; 12; 30; 46; 45; 1082; 2080
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06152-*.mata;0.54; 11; 45; 54; 4; 37; 85; 41; 1151; 4590;0.61; 11; 45; 54; 4; 37; 85; 41; 1151; 4590
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06153-*.mata;0.49; 22; 38; 57; 8; 28; 51; 36; 526; 1482;0.7; 22; 38; 57; 8; 28; 51; 36; 526; 1482
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06154-*.mata;0.53; 23; 59; 77; 14; 22; 31; 39; 911; 1617;0.75; 23; 59; 77; 14; 22; 31; 39; 911; 1617
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06155-*.mata;0.51; 8; 47; 76; 9; 26; 67; 11; 476; 1824;0.62; 8; 47; 76; 9; 26; 67; 11; 476; 1824
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06158-*.mata;0.48; 24; 61; 79; 13; 19; 29; 108; 747; 1106;0.67; 24; 61; 79; 13; 19; 29; 108; 747; 1106
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06159-*.mata;0.52; 13; 33; 40; 16; 25; 33; 105; 866; 1320;0.72; 13; 33; 40; 16; 25; 33; 105; 866; 1320
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06162-*.mata;0.41; 19; 29; 53; 13; 34; 55; 38; 760; 2915;0.72; 19; 29; 53; 13; 34; 55; 38; 760; 2915
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/intersection/instance06163-*.mata;0.43; 32; 32; 32; 11; 28; 45; 198; 819; 1440;0.74; 32; 32; 32; 11; 28; 45; 198; 819; 1440
